"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","GRADE GROUP","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL HOMELESS STUDENTS","SUM_HOMELESS","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2017-2018",227803,"WAYSIDE SCHOOLS",227803001,"SCI-TECH PREPARATORY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,580,0,152,187,0,184,320,580,335,-9999999,-9999999,61,0,31
"COUNTY","CAMPUS","2017-2018",227803,"WAYSIDE SCHOOLS",227803101,"EDEN PARK ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,399,0,0,38,0,38,175,399,145,0,-9999999,17,0,6
"COUNTY","CAMPUS","2017-2018",227803,"WAYSIDE SCHOOLS",227803102,"REAL LEARNING ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,678,0,0,309,263,46,526,678,380,-9999999,-9999999,19,0,16
"COUNTY","CAMPUS","2017-2018",227803,"WAYSIDE SCHOOLS",227803103,"ALTAMIRA ACADEMY","ELEMENTARY",227,"TRAVIS COUNTY",13,459,0,0,141,119,29,314,459,296,-9999999,-9999999,16,-9999999,0
"COUNTY","CAMPUS","2017-2018",227804,"NYOS CHARTER SCHOOL",227804101,"NYOS CHARTER SCHOOL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,641,11,143,74,0,74,190,641,238,7,0,64,0,18
"COUNTY","CAMPUS","2017-2018",227804,"NYOS CHARTER SCHOOL",227804102,"NYOS - MAGNOLIA MCCULLOUGH CAMPUS","ELEMENTARY",227,"TRAVIS COUNTY",13,355,0,0,127,0,122,144,355,209,0,0,19,0,-9999999
"COUNTY","CAMPUS","2017-2018",227805,"TEXAS EMPOWERMENT ACADEMY",227805041,"TEXAS EMPOWERMENT ACADEMY","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,197,0,0,0,0,0,162,197,70,0,0,18,0,0
"COUNTY","CAMPUS","2017-2018",227805,"TEXAS EMPOWERMENT ACADEMY",227805101,"TEXAS EMPOWERMENT ACADEMY EL","ELEMENTARY",227,"TRAVIS COUNTY",13,106,0,0,0,0,0,86,106,60,0,0,5,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806005,"SETTLEMENT HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,39,0,-9999999,0,0,0,39,-9999999,39,0,39,23,0,-9999999
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806009,"PATHFINDER CAMP","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,20,0,18,-9999999,0,-9999999,20,0,20,0,20,15,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806015,"GEORGE M KOZMETSKY SCHOOL","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,16,0,0,9,0,9,8,16,16,0,-9999999,-9999999,11,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806017,"ANNUNCIATION MATERNITY HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,8,0,0,-9999999,0,-9999999,-9999999,0,8,0,0,-9999999,0,-9999999
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806023,"PATHWAYS 3H CAMPUS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,29,0,0,0,0,0,29,0,29,0,29,13,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806024,"TNC CAMPUS (TEXAS NEUROREHABILITAT","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,57,0,41,0,0,0,22,0,57,0,0,48,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806025,"METHODIST CHILDREN'S HOME","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,133,0,73,9,0,9,124,0,133,-9999999,16,22,0,5
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806029,"DEPELCHIN-RICHMOND","ELEMENTARY",227,"TRAVIS COUNTY",13,17,0,0,0,0,0,16,0,17,0,17,9,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806030,"LAUREL RIDGE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,40,0,-9999999,0,0,0,-9999999,0,40,-9999999,6,19,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806031,"OLYMPIA HILLS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,17,0,0,-9999999,0,-9999999,0,0,-9999999,0,0,0,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806032,"HELPING HAND","ELEMENTARY",227,"TRAVIS COUNTY",13,24,0,0,0,0,0,21,0,24,0,21,17,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806034,"UT - UNIVERSITY CHARTER SCHOOL AT","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,25,0,0,0,0,0,0,0,10,-9999999,-9999999,7,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806037,"SHRINERS HOSPITALS FOR CHILDREN","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,-9999999,0,0,-9999999,0,-9999999,0,0,-9999999,0,0,0,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806040,"AUSTIN OAKS","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,26,0,0,-9999999,0,-9999999,8,0,-9999999,0,-9999999,6,0,-9999999
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806041,"UNLIMITED VISIONS AFTERCARE","ELEMENTARY / SECONDARY",227,"TRAVIS COUNTY",13,42,0,0,5,0,5,20,0,42,0,0,10,0,0
"COUNTY","CAMPUS","2017-2018",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806043,"UNIVERSITY H S","HIGH SCHOOL",227,"TRAVIS COUNTY",13,22,0,-9999999,0,0,0,5,0,21,-9999999,0,-9999999,0,0
