"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806039,"LIFEHOUSE",227,"TRAVIS COUNTY",13,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,0,0
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806040,"AUSTIN OAKS",227,"TRAVIS COUNTY",13,-9999999,0,0,0,0,0,-9999999,0,-9999999,0,0,0,0
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806041,"UNLIMITED VISIONS AFTERCARE",227,"TRAVIS COUNTY",13,24,0,0,-9999999,0,-9999999,17,0,22,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806042,"HOUSTON BEHAVIORAL HEALTHCARE",227,"TRAVIS COUNTY",13,12,0,0,0,0,0,0,0,12,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2015-2016",227806,"UNIVERSITY OF TEXAS UNIVERSITY CHA",227806043,"UNIVERSITY H S",227,"TRAVIS COUNTY",13,10,0,0,-9999999,0,-9999999,0,0,9,0,0,-9999999,-9999999
"COUNTY","CAMPUS","2015-2016",227814,"CHAPARRAL STAR ACADEMY",227814001,"CHAPARRAL STAR ACADEMY",227,"TRAVIS COUNTY",13,357,0,101,11,0,10,0,0,72,0,0,16,0
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816001,"HARMONY SCIENCE ACADEMY - AUSTIN",227,"TRAVIS COUNTY",13,562,22,0,328,0,324,485,562,407,0,0,44,8
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816002,"HARMONY SCIENCE ACADEMY NORTH AUST",227,"TRAVIS COUNTY",13,808,65,171,132,0,127,397,808,326,0,0,42,14
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816003,"HARMONY SCHOOL OF SCIENCE - AUSTIN",227,"TRAVIS COUNTY",13,532,48,0,167,0,165,225,532,198,0,0,28,-9999999
"COUNTY","CAMPUS","2015-2016",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816004,"HARMONY SCHOOL OF POLITICAL SCIENC",227,"TRAVIS COUNTY",13,906,102,36,137,0,125,249,0,278,0,0,42,11
