PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Grade Level Name","Enrollment by Grade Level"
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 10",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 11",-9999999
"2016-2017",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"ELEMENTARY / SECONDARY","Grade 12",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  6",165
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  7",166
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  8",145
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade  9",132
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"ELEMENTARY / SECONDARY","Grade 10",94
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Kindergarten",78
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  1",83
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  2",87
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  3",64
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  4",65
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  5",73
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  6",60
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  7",31
"2016-2017",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"ELEMENTARY","Grade  8",16
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade  9",637
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 10",533
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 11",515
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Grade 12",460
