PEIMS DATA FOR SCHOOL YEAR 2012-2013
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade  9",770
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 10",665
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 11",587
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 12",561
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLAN EL",227901142,"Pre-kindergarten",44
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Early Education",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Pre-kindergarten",73
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Kindergarten",87
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  1",72
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  2",74
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  3",65
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  4",66
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  5",62
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  6",7
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  7",21
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  8",20
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  9",49
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 10",21
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 11",25
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 12",6
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade  9",-9999999
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 10",8
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 11",30
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 12",84
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade  9",627
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 10",538
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 11",556
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 12",455
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Early Education",5
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Pre-kindergarten",97
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Kindergarten",126
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  1",122
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  2",80
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  3",102
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  4",71
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  5",68
"2012-2013",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade  9",-9999999
"2012-2013",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 10",-9999999
"2012-2013",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 11",5
"2012-2013",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 12",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  6",118
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade  9",157
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 10",100
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 11",82
"2012-2013",13,"TRAVIS COUNTY","AUSTIN CAN ACADEMY CHARTER SCHOOL",227818,"AUSTIN CAN ACADEMY CHARTER SCHOOL",227818001,"Grade 12",51
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Kindergarten",69
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  1",70
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  2",66
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  3",61
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  4",52
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  5",44
"2012-2013",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  6",33
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade  9",574
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 10",564
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 11",517
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 12",504
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  1",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  3",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  5",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  6",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  7",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  8",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  9",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 10",5
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 11",-9999999
"2012-2013",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade 12",-9999999
