PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"White",12
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Black or African American",41
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Asian",42
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Hispanic",479
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Native Hawaiian/Other or Pacific Islander",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Two or More Races",33
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"White",350
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Black or African American",6
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Asian",56
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Hispanic",179
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Two or More Races",37
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"White",468
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Black or African American",20
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"American Indian or Alaska Native",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Asian",63
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Hispanic",341
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Two or More Races",51
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"White",526
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Black or African American",45
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"American Indian or Alaska Native",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Asian",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Hispanic",474
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Native Hawaiian/Other or Pacific Islander",0
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Two or More Races",11
