,year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate
69,2014-2015,AUSTIN ISD,Pecan Springs Elementary School,452,439,452,336,Elementary,100.0
70,2014-2015,AUSTIN ISD,Pleasant Hill Elementary School,527,475,527,359,Elementary,100.0
71,2014-2015,AUSTIN ISD,Read Pre-K Demonstration Sch,314,304,2,210,Other,0.6369426751592356
72,2014-2015,AUSTIN ISD,Reilly Elementary School,277,249,277,216,Elementary,100.0
73,2014-2015,AUSTIN ISD,Ridgetop Elementary School,302,135,16,177,Elementary,5.298013245033113
74,2014-2015,AUSTIN ISD,St Elementary Schoolmo Elementary School,292,262,292,179,Elementary,100.0
75,2014-2015,AUSTIN ISD,Summitt Elementary School,774,271,2,369,Elementary,0.25839793281653745
76,2014-2015,AUSTIN ISD,Sims Elementary School,228,217,228,139,Elementary,100.0
77,2014-2015,AUSTIN ISD,Travis Hts Elementary School,498,363,498,306,Elementary,100.0
78,2014-2015,AUSTIN ISD,Walnut Creek Elementary School,661,605,661,554,Elementary,100.0
79,2014-2015,AUSTIN ISD,Patton Elementary School,945,215,2,346,Elementary,0.21164021164021163
80,2014-2015,AUSTIN ISD,Wooten Elementary School,725,683,725,628,Elementary,100.0
81,2014-2015,AUSTIN ISD,Zavala Elementary School,400,388,400,233,Elementary,100.0
82,2014-2015,AUSTIN ISD,Zilker Elementary School,567,156,5,150,Elementary,0.8818342151675485
83,2014-2015,AUSTIN ISD,Menchaca Elementary School,717,354,33,279,Elementary,4.602510460251046
84,2014-2015,AUSTIN ISD,Oak Hill Elementary School,803,330,282,366,Elementary,35.118306351183065
85,2014-2015,AUSTIN ISD,Barrington Elementary School,588,571,588,477,Elementary,100.0
86,2014-2015,AUSTIN ISD,Norman Elementary School,299,287,299,183,Elementary,100.0
87,2014-2015,AUSTIN ISD,Pillow Elementary School,582,422,139,369,Elementary,23.883161512027492
88,2014-2015,AUSTIN ISD,Wooldridge Elementary School,572,550,572,497,Elementary,100.0
89,2014-2015,AUSTIN ISD,Doss Elementary School,919,120,2,224,Elementary,0.2176278563656148
90,2014-2015,AUSTIN ISD,Hill Elementary School,890,82,0,177,Elementary,0.0
91,2014-2015,AUSTIN ISD,Odom Elementary School,546,499,546,352,Elementary,100.0
92,2014-2015,AUSTIN ISD,Winn Elementary School,338,328,338,261,Elementary,100.0
93,2014-2015,AUSTIN ISD,Sunset Valley Elementary School,518,339,123,300,Elementary,23.745173745173744
94,2014-2015,AUSTIN ISD,Graham Elementary School,768,674,768,539,Elementary,100.0
95,2014-2015,AUSTIN ISD,Linder Elementary School,412,396,412,314,Elementary,100.0
96,2014-2015,AUSTIN ISD,Cook Elementary School,643,619,643,556,Elementary,100.0
97,2014-2015,AUSTIN ISD,Houston Elementary School,765,743,765,563,Elementary,100.0
98,2014-2015,AUSTIN ISD,Hart Elementary School,717,695,717,638,Elementary,100.0
99,2014-2015,AUSTIN ISD,Pickle Elementary School,746,725,746,670,Elementary,100.0
100,2014-2015,AUSTIN ISD,Mcbee Elementary School,531,507,531,451,Elementary,100.0
101,2014-2015,AUSTIN ISD,Williams Elementary School,513,429,513,282,Elementary,100.0
102,2014-2015,AUSTIN ISD,Langford Elementary School,741,701,741,587,Elementary,100.0
103,2014-2015,AUSTIN ISD,Boone Elementary School,499,219,5,114,Elementary,1.002004008016032
104,2014-2015,AUSTIN ISD,Palm Elementary School,516,430,516,327,Elementary,100.0
105,2014-2015,AUSTIN ISD,Kocurek Elementary School,539,379,2,258,Elementary,0.37105751391465674
106,2014-2015,AUSTIN ISD,Casey Elementary School,665,451,127,287,Elementary,19.097744360902254
107,2014-2015,AUSTIN ISD,Rodriguez Elementary School,793,772,793,633,Elementary,100.0
108,2014-2015,AUSTIN ISD,Widen Elementary School,589,559,589,447,Elementary,100.0
109,2014-2015,AUSTIN ISD,Galindo Elementary School,591,544,591,429,Elementary,100.0
