year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2015-2016,AUSTIN ISD,Small Middle School,1006,310,5,351,Middle,0.4970178926441352,30.233706,-97.84200000000001,public,4801 MONTEREY OAKS BLVD,78749.0,Small Middle School
2015-2016,AUSTIN ISD,Paredes Middle School,997,723,997,613,Middle,100.0,30.165659,-97.81159,public,10100 S MARY MOORE SEARIGHT DR,78748.0,Paredes Middle School
2015-2016,AUSTIN ISD,Gorzycki Middle,1341,64,0,192,Middle,0.0,,,,7412 SLAUGHTER LN,78749.0,Gorzycki Middle
2015-2016,AUSTIN ISD,Garcia Ymla,425,399,425,339,Other,100.0,30.311397999999997,-97.64303000000001,public,7414 JOHNNY MORRIS RD,78724.0,Garcia Ymla
2015-2016,AUSTIN ISD,Sadler Means Ywla,369,328,369,297,Middle,100.0,30.313578000000003,-97.68073000000001,public,6401 N HAMPTON DR,78723.0,Sadler Means Ywla
2015-2016,AUSTIN ISD,Allison Elementary School,545,521,545,412,Elementary,100.0,30.235784999999996,-97.69203,public,515 VARGAS RD,78741.0,Allison Elementary School
2015-2016,AUSTIN ISD,Andrews Elementary School,594,570,594,524,Elementary,100.0,30.317553999999998,-97.679665,public,6801 NE DR,78723.0,Andrews Elementary School
2015-2016,AUSTIN ISD,Barton Hills Elementary School,407,31,2,81,Elementary,0.4914004914004914,30.254395000000002,-97.78335600000001,public,2108 BARTON HILLS DR,78704.0,Barton Hills Elementary School
2015-2016,AUSTIN ISD,Becker Elementary School,377,161,377,153,Elementary,100.0,30.250395,-97.75945,public,906 W MILTON,78704.0,Becker Elementary School
2015-2016,AUSTIN ISD,Blackshear Elementary School,291,236,291,158,Elementary,100.0,30.266968,-97.72216999999999,public,1712 E 11TH ST,78702.0,Blackshear Elementary School
2015-2016,AUSTIN ISD,Blanton Elementary School,479,392,479,368,Elementary,100.0,30.306929999999998,-97.69063,public,5408 WESTMINSTER DR,78723.0,Blanton Elementary School
2015-2016,AUSTIN ISD,Brentwood Elementary School,617,161,2,242,Elementary,0.3241491085899514,30.339640000000003,-97.731445,public,6700 ARROYO SECO ST,78757.0,Brentwood Elementary School
2015-2016,AUSTIN ISD,Brooke Elementary School,254,239,254,172,Elementary,100.0,30.254821999999997,-97.70851,public,3100 E 4TH ST,78702.0,Brooke Elementary School
2015-2016,AUSTIN ISD,Brown Elementary School,358,343,358,313,Elementary,100.0,30.344769,-97.71034,public,505 W ANDERSON LN,78752.0,Brown Elementary School
2015-2016,AUSTIN ISD,Bryker Woods Elementary School,400,39,0,99,Elementary,0.0,30.304869,-97.750626,public,3309 KERBEY LN,78703.0,Bryker Woods Elementary School
2015-2016,AUSTIN ISD,Campbelementary Schooll Elementary School,220,206,220,130,Elementary,100.0,,,,2613 ROGERS AVE,78722.0,Campbelementary Schooll Elementary School
2015-2016,AUSTIN ISD,Casis Elementary School,793,17,2,119,Elementary,0.2522068095838588,30.304344,-97.76505,public,2710 EXPOSITION BLVD,78703.0,Casis Elementary School
2015-2016,AUSTIN ISD,Cunningham Elementary School,415,262,415,211,Elementary,100.0,30.210476,-97.80581,public,2200 BERKELEY AVE,78745.0,Cunningham Elementary School
2015-2016,AUSTIN ISD,Dawson Elementary School,382,316,382,234,Elementary,100.0,30.234061999999998,-97.76337,public,3001 S 1ST ST,78704.0,Dawson Elementary School
2015-2016,AUSTIN ISD,Daep- Elementary School,16,14,0,13,Elementary,0.0,,,,906 W MILTON,78704.0,Daep- Elementary School
2015-2016,AUSTIN ISD,Govalle Elementary School,501,449,501,336,Elementary,100.0,30.210511999999998,-97.65354,public,3601 VALLE AVE,78702.0,Govalle Elementary School
2015-2016,AUSTIN ISD,Gullett Elementary School,574,37,2,97,Elementary,0.3484320557491289,30.343542,-97.74866999999999,public,6310 TREADWELL BLVD,78731.0,Gullett Elementary School
2015-2016,AUSTIN ISD,Harris Elementary School,629,607,629,561,Elementary,100.0,30.314829,-97.690765,public,1711 WHELESS LN,78723.0,Harris Elementary School
2015-2016,AUSTIN ISD,Highland Park Elementary School,622,30,0,134,Elementary,0.0,30.330692,-97.76005,public,4900 FAIRVIEW DR,78731.0,Highland Park Elementary School
2015-2016,AUSTIN ISD,Joslin Elementary School,282,210,282,163,Elementary,100.0,30.228037,-97.79054000000001,public,4500 MANCHACA RD,78745.0,Joslin Elementary School
2015-2016,AUSTIN ISD,Lee Elementary School,375,51,0,87,Elementary,0.0,30.29305,-97.72763,public,3308 HAMPTON RD,78705.0,Lee Elementary School
2015-2016,AUSTIN ISD,Maplewood Elementary School,462,199,8,150,Elementary,1.7316017316017316,30.293337,-97.714905,public,3808 MAPLEWOOD AVE,78722.0,Maplewood Elementary School
2015-2016,AUSTIN ISD,Mathews Elementary School,425,153,425,164,Elementary,100.0,30.278215000000003,-97.760796,public,906 W LYNN ST,78703.0,Mathews Elementary School
2015-2016,AUSTIN ISD,Metz Elementary School,305,265,305,222,Elementary,100.0,30.254284000000002,-97.721725,public,84 ROBERT MARTINEZ JR ST,78702.0,Metz Elementary School
2015-2016,AUSTIN ISD,Oak Springs Elementary School,333,315,333,200,Elementary,100.0,30.271786,-97.70484,public,3601 WEBBERVILLE RD,78702.0,Oak Springs Elementary School
2015-2016,AUSTIN ISD,Ortega Elementary School,316,283,316,216,Elementary,100.0,30.269996999999996,-97.68428,public,1135 GARLAND AVE,78721.0,Ortega Elementary School
2015-2016,AUSTIN ISD,Sanchez Elementary School,407,384,407,355,Elementary,100.0,30.257991999999998,-97.735054,public,73 SAN MARCOS ST,78702.0,Sanchez Elementary School
2015-2016,AUSTIN ISD,Pease Elementary School,267,41,0,67,Elementary,0.0,30.275290999999996,-97.74803,public,1106 RIO GRANDE ST,78701.0,Pease Elementary School
2015-2016,AUSTIN ISD,Pecan Springs Elementary School,464,447,464,359,Elementary,100.0,30.303139,-97.676315,public,3100 ROGGE LN,78723.0,Pecan Springs Elementary School
2015-2016,AUSTIN ISD,Pleasant Hill Elementary School,566,495,566,386,Elementary,100.0,30.196213,-97.77649,public,6405 CIR S RD,78745.0,Pleasant Hill Elementary School
2015-2016,AUSTIN ISD,Read Pre-K Center,304,278,0,229,Other,0.0,,,,2608 RICHCREEK RD,78757.0,Read Pre-K Center
2015-2016,AUSTIN ISD,Reilly Elementary School,274,249,274,224,Elementary,100.0,30.327883,-97.71982,public,405 DENSON DR,78752.0,Reilly Elementary School
2015-2016,AUSTIN ISD,Ridgetop Elementary School,292,123,292,169,Elementary,100.0,30.311796,-97.716255,public,5005 CASWELL AVE,78751.0,Ridgetop Elementary School
2015-2016,AUSTIN ISD,St Elementary Schoolmo Elementary School,307,262,307,206,Elementary,100.0,,,,600 W ST ELMO RD,78745.0,St Elementary Schoolmo Elementary School
2015-2016,AUSTIN ISD,Summitt Elementary School,815,301,2,430,Elementary,0.24539877300613494,30.418608000000003,-97.71907,public,12207 BRIGADOON LN,78727.0,Summitt Elementary School
2015-2016,AUSTIN ISD,Sims Elementary School,267,251,267,187,Elementary,100.0,30.27941,-97.6854,public,1203 SPRINGDALE RD,78721.0,Sims Elementary School
2015-2016,AUSTIN ISD,Travis Hts Elementary School,522,348,522,337,Elementary,100.0,,,,2010 ALAMEDA DR,78704.0,Travis Hts Elementary School
2015-2016,AUSTIN ISD,Walnut Creek Elementary School,634,562,634,550,Elementary,100.0,30.379194000000002,-97.68413000000001,public,401 W BRAKER LN,78753.0,Walnut Creek Elementary School
2015-2016,AUSTIN ISD,Patton Elementary School,973,233,2,411,Elementary,0.2055498458376156,30.2318,-97.84553000000001,public,6001 WESTCREEK DR,78749.0,Patton Elementary School
2015-2016,AUSTIN ISD,Wooten Elementary School,613,572,613,546,Elementary,100.0,30.352916999999998,-97.71915,public,1406 DALE DR,78757.0,Wooten Elementary School
2015-2016,AUSTIN ISD,Zavala Elementary School,382,371,382,265,Elementary,100.0,30.258271999999998,-97.71954000000001,public,310 ROBERT MARTINEZ JR ST,78702.0,Zavala Elementary School
2015-2016,AUSTIN ISD,Zilker Elementary School,538,111,2,158,Elementary,0.3717472118959108,30.252544,-97.77457,public,1900 BLUEBONNET LN,78704.0,Zilker Elementary School
2015-2016,AUSTIN ISD,Menchaca Elementary School,719,340,719,276,Elementary,100.0,,,,P O BOX 759,78652.0,Menchaca Elementary School
2015-2016,AUSTIN ISD,Oak Hill Elementary School,841,332,841,426,Elementary,100.0,30.237990999999997,-97.858765,public,6101 PATTON RANCH RD,78735.0,Oak Hill Elementary School
2015-2016,AUSTIN ISD,Barrington Elementary School,627,594,627,527,Elementary,100.0,30.360529,-97.69606999999999,public,400 COOPER DR,78753.0,Barrington Elementary School
2015-2016,AUSTIN ISD,Norman Elementary School,319,309,319,205,Elementary,100.0,30.278323999999998,-97.67397,public,4001 TANNEHILL LN,78721.0,Norman Elementary School
2015-2016,AUSTIN ISD,Pillow Elementary School,518,392,518,332,Elementary,100.0,30.369263,-97.73339,public,3025 CROSSCREEK DR,78757.0,Pillow Elementary School
2015-2016,AUSTIN ISD,Wooldridge Elementary School,630,603,630,563,Elementary,100.0,30.364952000000002,-97.70985,public,1412 NORSEMAN TER,78758.0,Wooldridge Elementary School
2015-2016,AUSTIN ISD,Doss Elementary School,884,144,0,247,Elementary,0.0,30.356087,-97.76281,public,7005 NORTHLEDGE DR,78731.0,Doss Elementary School
2015-2016,AUSTIN ISD,Hill Elementary School,970,95,2,245,Elementary,0.20618556701030927,30.376625,-97.74854,public,8601 TALLWOOD DR,78759.0,Hill Elementary School
2015-2016,AUSTIN ISD,Odom Elementary School,542,496,542,370,Elementary,100.0,30.20562,-97.78878,public,1010 TURTLE CREEK BLVD,78745.0,Odom Elementary School
2015-2016,AUSTIN ISD,Winn Elementary School,304,295,304,243,Elementary,100.0,30.314882,-97.66498,public,3500 SUSQUEHANNA LN,78723.0,Winn Elementary School
2015-2016,AUSTIN ISD,Sunset Valley Elementary School,531,328,531,319,Elementary,100.0,,,,3000 JONES RD,78745.0,Sunset Valley Elementary School
2015-2016,AUSTIN ISD,Graham Elementary School,697,609,697,526,Elementary,100.0,30.372359999999997,-97.66886,public,11211 TOM ADAMS DR,78753.0,Graham Elementary School
2015-2016,AUSTIN ISD,Linder Elementary School,364,326,364,292,Elementary,100.0,30.224209000000002,-97.73794000000001,public,2800 METCALFE RD,78741.0,Linder Elementary School
2015-2016,AUSTIN ISD,Cook Elementary School,553,537,553,473,Elementary,100.0,30.378002000000002,-97.70482,public,1511 CRIPPLE CREEK DR,78758.0,Cook Elementary School
2015-2016,AUSTIN ISD,Houston Elementary School,705,671,705,557,Elementary,100.0,30.196468,-97.75506999999999,public,5409 PONCIANA DR,78744.0,Houston Elementary School
2015-2016,AUSTIN ISD,Hart Elementary School,692,668,692,638,Elementary,100.0,30.342451,-97.68871,public,8301 FURNESS,78753.0,Hart Elementary School
2015-2016,AUSTIN ISD,Pickle Elementary School,695,669,695,630,Elementary,100.0,30.333408000000002,-97.693825,public,1101 WHEATLEY,78752.0,Pickle Elementary School
2015-2016,AUSTIN ISD,Mcbee Elementary School,490,467,490,438,Elementary,100.0,30.38325,-97.69106,public,1101 W BRAKER LN,78758.0,Mcbee Elementary School
2015-2016,AUSTIN ISD,Williams Elementary School,458,376,458,293,Elementary,100.0,30.180972999999998,-97.79151,public,500 MAIRO ST,78748.0,Williams Elementary School
2015-2016,AUSTIN ISD,Langford Elementary School,687,651,687,571,Elementary,100.0,30.182083000000002,-97.76337,public,2206 BLUE MEADOW DR,78744.0,Langford Elementary School
2015-2016,AUSTIN ISD,Boone Elementary School,573,276,573,188,Elementary,100.0,30.203723999999998,-97.840225,public,8101 CROFTWOOD RD,78749.0,Boone Elementary School
2015-2016,AUSTIN ISD,Palm Elementary School,481,400,481,331,Elementary,100.0,30.164824,-97.743675,public,7601 DIXIE DR,78744.0,Palm Elementary School
2015-2016,AUSTIN ISD,Kocurek Elementary School,491,317,491,253,Elementary,100.0,30.177746000000003,-97.83525,public,9800 CURLEW DR,78748.0,Kocurek Elementary School
2015-2016,AUSTIN ISD,Casey Elementary School,606,377,606,277,Elementary,100.0,30.177266999999997,-97.81461,public,9400 TEXAS OAKS DR,78748.0,Casey Elementary School
2015-2016,AUSTIN ISD,Rodriguez Elementary School,701,680,701,586,Elementary,100.0,30.200659,-97.74725,public,4400 FRANKLIN PARK DR,78744.0,Rodriguez Elementary School
2015-2016,AUSTIN ISD,Widen Elementary School,566,535,566,434,Elementary,100.0,30.188713,-97.74008,public,5605 NUCKOLS CROSSING RD,78744.0,Widen Elementary School
2015-2016,AUSTIN ISD,Galindo Elementary School,585,551,585,440,Elementary,100.0,30.229516999999998,-97.7719,public,3800 S 2ND ST,78704.0,Galindo Elementary School
2015-2016,AUSTIN ISD,Uphaus Early Childhood Center,271,258,271,186,Elementary,100.0,,,,5200 FREIDRICH LN,78744.0,Uphaus Early Childhood Center
2015-2016,AUSTIN ISD,Jordan Elementary School,674,654,674,563,Elementary,100.0,30.301088,-97.646774,public,6711 JOHNNY MORRIS RD,78724.0,Jordan Elementary School
2015-2016,AUSTIN ISD,Davis Elementary School,798,233,2,310,Elementary,0.2506265664160401,30.418246999999997,-97.74218,public,5214 DUVAL RD,78727.0,Davis Elementary School
2015-2016,AUSTIN ISD,Kiker Elementary School,998,44,0,268,Elementary,0.0,30.191557,-97.88125600000001,public,5913 LA CROSSE AVE,78739.0,Kiker Elementary School
2015-2016,AUSTIN ISD,Mills Elementary School,812,67,2,212,Elementary,0.24630541871921185,30.210917,-97.8782,public,6201 DAVIS LN,78749.0,Mills Elementary School
2015-2016,AUSTIN ISD,Baranoff Elementary School,984,112,7,301,Elementary,0.7113821138211383,30.153902000000002,-97.852165,public,12009 BUCKINGHAM GATE RD,78748.0,Baranoff Elementary School
2015-2016,AUSTIN ISD,Cowan Elementary School,790,240,11,269,Elementary,1.3924050632911391,30.188688,-97.83348000000001,public,2817 KENTISH DR,78748.0,Cowan Elementary School
2015-2016,AUSTIN ISD,Clayton Elementary School,876,13,0,160,Elementary,0.0,30.194855,-97.906334,public,7525 LA CROSSE AVE,78739.0,Clayton Elementary School
2015-2016,AUSTIN ISD,Blazier Elementary School,842,627,842,543,Elementary,100.0,30.158,-97.754295,public,8601 NUCKOLS CROSSING RD,78744.0,Blazier Elementary School
2015-2016,AUSTIN ISD,Guerrero Thompson,673,655,673,624,Middle,100.0,30.363888,-97.691666,public,102 E RUNDBERG,78753.0,Guerrero Thompson
2015-2016,AUSTIN ISD,Baldwin Elementary School,787,103,2,221,Elementary,0.25412960609911056,30.184890000000003,-97.923454,public,12200 MERIDIAN PARK BLVD,78739.0,Baldwin Elementary School
2015-2016,AUSTIN ISD,Padron Elementary School,772,754,772,668,Elementary,100.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Padron Elementary School
2015-2016,AUSTIN ISD,Overton Elementary School,718,675,718,600,Elementary,100.0,30.300186,-97.6367,public,7201 COLONY LOOP DR,78724.0,Overton Elementary School
2015-2016,AUSTIN ISD,Perez Elementary School,752,678,752,564,Elementary,100.0,30.17085,-97.75624,public,7500 S PLEASANT VLY RD,78744.0,Perez Elementary School
2015-2016,AUSTIN ISD,Dobie Pk Center,274,264,2,173,Other,0.7299270072992701,,,,1200 RUNDBERG LN,78753.0,Dobie Pk Center
2015-2016,AUSTIN ISD,Webb Pri Center,217,211,217,206,Elementary,100.0,,,,601 E ST JOHNS AVE,78752.0,Webb Pri Center
2015-2016,AUSTIN ISD,Austin Isd Child Develementary Schoolopment Cente,62,61,0,0,Elementary,0.0,,,,,,
2015-2016,AUSTIN ISD,Delementary Schooll Children'S Medical Center,2,0,0,2,Elementary,0.0,,,,4900 MUELLER BLVD,78723.0,Delementary Schooll Children'S Medical Center
2015-2016,AUSTIN ISD,Austin St Hospital,19,0,0,19,High,0.0,30.272375,-97.756516,public,1111 W 6TH ST,78703.0,Austin St Hospital
2015-2016,AUSTIN ISD,Rosedale,263,65,2,128,Elementary,0.7604562737642585,30.320051,-97.74019,public,2117 W 49TH ST,78756.0,Rosedale
2016-2017,AUSTIN ISD,Allison Elementary School,460,392,460,332,Elementary,100.0,30.235784999999996,-97.69203,public,515 VARGAS RD,78741.0,Allison Elementary School
2016-2017,AUSTIN ISD,Andrews Elementary School,572,537,572,495,Elementary,100.0,30.317553999999998,-97.679665,public,6801 NE DR,78723.0,Andrews Elementary School
2016-2017,AUSTIN ISD,Barton Hills Elementary School,427,25,0,81,Elementary,0.0,30.254395000000002,-97.78335600000001,public,2108 BARTON HILLS DR,78704.0,Barton Hills Elementary School
2016-2017,AUSTIN ISD,Becker Elementary School,431,166,431,176,Elementary,100.0,30.250395,-97.75945,public,906 W MILTON,78704.0,Becker Elementary School
2016-2017,AUSTIN ISD,Blackshear Elementary School,381,268,381,197,Elementary,100.0,30.266968,-97.72216999999999,public,1712 E 11TH ST,78702.0,Blackshear Elementary School
2016-2017,AUSTIN ISD,Blanton Elementary School,486,363,486,325,Elementary,100.0,30.306929999999998,-97.69063,public,5408 WESTMINSTER DR,78723.0,Blanton Elementary School
2016-2017,AUSTIN ISD,Brentwood Elementary School,644,140,2,192,Elementary,0.3105590062111801,30.339640000000003,-97.731445,public,6700 ARROYO SECO ST,78757.0,Brentwood Elementary School
2016-2017,AUSTIN ISD,Brooke Elementary School,272,250,272,168,Elementary,100.0,30.254821999999997,-97.70851,public,3100 E 4TH ST,78702.0,Brooke Elementary School
2016-2017,AUSTIN ISD,Brown Elementary School,354,306,354,297,Elementary,100.0,30.344769,-97.71034,public,505 W ANDERSON LN,78752.0,Brown Elementary School
2016-2017,AUSTIN ISD,Bryker Woods Elementary School,443,43,0,95,Elementary,0.0,30.304869,-97.750626,public,3309 KERBEY LN,78703.0,Bryker Woods Elementary School
2016-2017,AUSTIN ISD,Campbelementary Schooll Elementary School,194,171,194,120,Elementary,100.0,,,,2613 ROGERS AVE,78722.0,Campbelementary Schooll Elementary School
2016-2017,AUSTIN ISD,Casis Elementary School,817,21,0,85,Elementary,0.0,30.304344,-97.76505,public,2710 EXPOSITION BLVD,78703.0,Casis Elementary School
2016-2017,AUSTIN ISD,Cunningham Elementary School,412,233,412,188,Elementary,100.0,30.210476,-97.80581,public,2200 BERKELEY AVE,78745.0,Cunningham Elementary School
2016-2017,AUSTIN ISD,Dawson Elementary School,340,272,340,194,Elementary,100.0,30.234061999999998,-97.76337,public,3001 S 1ST ST,78704.0,Dawson Elementary School
2016-2017,AUSTIN ISD,Daep- Elementary School,5,5,0,5,Elementary,0.0,,,,906 W MILTON,78704.0,Daep- Elementary School
2016-2017,AUSTIN ISD,Govalle Elementary School,470,415,470,329,Elementary,100.0,30.210511999999998,-97.65354,public,3601 VALLE AVE,78702.0,Govalle Elementary School
2016-2017,AUSTIN ISD,Gullett Elementary School,554,49,2,58,Elementary,0.36101083032490977,30.343542,-97.74866999999999,public,6310 TREADWELL BLVD,78731.0,Gullett Elementary School
2016-2017,AUSTIN ISD,Harris Elementary School,615,586,615,509,Elementary,100.0,30.314829,-97.690765,public,1711 WHELESS LN,78723.0,Harris Elementary School
2016-2017,AUSTIN ISD,Highland Park Elementary School,652,29,0,94,Elementary,0.0,30.330692,-97.76005,public,4900 FAIRVIEW DR,78731.0,Highland Park Elementary School
2016-2017,AUSTIN ISD,Joslin Elementary School,261,174,261,130,Elementary,100.0,30.228037,-97.79054000000001,public,4500 MANCHACA RD,78745.0,Joslin Elementary School
2016-2017,AUSTIN ISD,Lee Elementary School,402,62,2,99,Elementary,0.4975124378109453,30.29305,-97.72763,public,3308 HAMPTON RD,78705.0,Lee Elementary School
2016-2017,AUSTIN ISD,Maplewood Elementary School,498,201,9,186,Elementary,1.8072289156626504,30.293337,-97.714905,public,3808 MAPLEWOOD AVE,78722.0,Maplewood Elementary School
2016-2017,AUSTIN ISD,Mathews Elementary School,442,126,442,151,Elementary,100.0,30.278215000000003,-97.760796,public,906 W LYNN ST,78703.0,Mathews Elementary School
2016-2017,AUSTIN ISD,Metz Elementary School,305,251,305,221,Elementary,100.0,30.254284000000002,-97.721725,public,84 ROBERT MARTINEZ JR ST,78702.0,Metz Elementary School
2016-2017,AUSTIN ISD,Oak Springs Elementary School,324,298,324,198,Elementary,100.0,30.271786,-97.70484,public,3601 WEBBERVILLE RD,78702.0,Oak Springs Elementary School
2016-2017,AUSTIN ISD,Ortega Elementary School,306,256,306,181,Elementary,100.0,30.269996999999996,-97.68428,public,1135 GARLAND AVE,78721.0,Ortega Elementary School
2016-2017,AUSTIN ISD,Sanchez Elementary School,353,331,353,290,Elementary,100.0,30.257991999999998,-97.735054,public,73 SAN MARCOS ST,78702.0,Sanchez Elementary School
2016-2017,AUSTIN ISD,Pease Elementary School,242,39,2,48,Elementary,0.8264462809917356,30.275290999999996,-97.74803,public,1106 RIO GRANDE ST,78701.0,Pease Elementary School
2016-2017,AUSTIN ISD,Pecan Springs Elementary School,470,420,470,318,Elementary,100.0,30.303139,-97.676315,public,3100 ROGGE LN,78723.0,Pecan Springs Elementary School
2016-2017,AUSTIN ISD,Pleasant Hill Elementary School,502,410,502,336,Elementary,100.0,30.196213,-97.77649,public,6405 CIR S RD,78745.0,Pleasant Hill Elementary School
2016-2017,AUSTIN ISD,Read Pre-K Center,320,243,0,215,Other,0.0,,,,2608 RICHCREEK RD,78757.0,Read Pre-K Center
2016-2017,AUSTIN ISD,Reilly Elementary School,268,186,268,230,Elementary,100.0,30.327883,-97.71982,public,405 DENSON DR,78752.0,Reilly Elementary School
2016-2017,AUSTIN ISD,Ridgetop Elementary School,331,112,331,151,Elementary,100.0,30.311796,-97.716255,public,5005 CASWELL AVE,78751.0,Ridgetop Elementary School
2016-2017,AUSTIN ISD,St Elementary Schoolmo Elementary School,284,223,284,181,Elementary,100.0,,,,600 W ST ELMO RD,78745.0,St Elementary Schoolmo Elementary School
2016-2017,AUSTIN ISD,Summitt Elementary School,833,253,5,370,Elementary,0.6002400960384153,30.418608000000003,-97.71907,public,12207 BRIGADOON LN,78727.0,Summitt Elementary School
2016-2017,AUSTIN ISD,Sims Elementary School,232,214,232,139,Elementary,100.0,30.27941,-97.6854,public,1203 SPRINGDALE RD,78721.0,Sims Elementary School
2016-2017,AUSTIN ISD,Travis Hts Elementary School,548,347,548,290,Elementary,100.0,,,,2010 ALAMEDA DR,78704.0,Travis Hts Elementary School
2016-2017,AUSTIN ISD,Walnut Creek Elementary School,605,501,605,513,Elementary,100.0,30.379194000000002,-97.68413000000001,public,401 W BRAKER LN,78753.0,Walnut Creek Elementary School
2016-2017,AUSTIN ISD,Patton Elementary School,982,196,2,288,Elementary,0.20366598778004075,30.2318,-97.84553000000001,public,6001 WESTCREEK DR,78749.0,Patton Elementary School
2016-2017,AUSTIN ISD,Wooten Elementary School,568,475,568,489,Elementary,100.0,30.352916999999998,-97.71915,public,1406 DALE DR,78757.0,Wooten Elementary School
2016-2017,AUSTIN ISD,Zavala Elementary School,357,297,357,214,Elementary,100.0,30.258271999999998,-97.71954000000001,public,310 ROBERT MARTINEZ JR ST,78702.0,Zavala Elementary School
2016-2017,AUSTIN ISD,Zilker Elementary School,562,114,0,110,Elementary,0.0,30.252544,-97.77457,public,1900 BLUEBONNET LN,78704.0,Zilker Elementary School
2016-2017,AUSTIN ISD,Menchaca Elementary School,740,290,740,340,Elementary,100.0,,,,P O BOX 759,78652.0,Menchaca Elementary School
2016-2017,AUSTIN ISD,Oak Hill Elementary School,832,298,832,402,Elementary,100.0,30.237990999999997,-97.858765,public,6101 PATTON RANCH RD,78735.0,Oak Hill Elementary School
2016-2017,AUSTIN ISD,Barrington Elementary School,542,420,542,446,Elementary,100.0,30.360529,-97.69606999999999,public,400 COOPER DR,78753.0,Barrington Elementary School
2016-2017,AUSTIN ISD,Norman Elementary School,263,244,263,169,Elementary,100.0,30.278323999999998,-97.67397,public,4001 TANNEHILL LN,78721.0,Norman Elementary School
2016-2017,AUSTIN ISD,Pillow Elementary School,509,365,509,329,Elementary,100.0,30.369263,-97.73339,public,3025 CROSSCREEK DR,78757.0,Pillow Elementary School
2016-2017,AUSTIN ISD,Wooldridge Elementary School,612,568,612,508,Elementary,100.0,30.364952000000002,-97.70985,public,1412 NORSEMAN TER,78758.0,Wooldridge Elementary School
2016-2017,AUSTIN ISD,Doss Elementary School,882,128,2,204,Elementary,0.2267573696145125,30.356087,-97.76281,public,7005 NORTHLEDGE DR,78731.0,Doss Elementary School
2016-2017,AUSTIN ISD,Hill Elementary School,939,71,5,183,Elementary,0.5324813631522897,30.376625,-97.74854,public,8601 TALLWOOD DR,78759.0,Hill Elementary School
2016-2017,AUSTIN ISD,Odom Elementary School,509,437,509,343,Elementary,100.0,30.20562,-97.78878,public,1010 TURTLE CREEK BLVD,78745.0,Odom Elementary School
2016-2017,AUSTIN ISD,Winn Elementary School,241,205,241,199,Elementary,100.0,30.314882,-97.66498,public,3500 SUSQUEHANNA LN,78723.0,Winn Elementary School
2016-2017,AUSTIN ISD,Sunset Valley Elementary School,533,269,533,309,Elementary,100.0,,,,3000 JONES RD,78745.0,Sunset Valley Elementary School
2016-2017,AUSTIN ISD,Graham Elementary School,686,575,686,523,Elementary,100.0,30.372359999999997,-97.66886,public,11211 TOM ADAMS DR,78753.0,Graham Elementary School
2016-2017,AUSTIN ISD,Linder Elementary School,320,296,320,245,Elementary,100.0,30.224209000000002,-97.73794000000001,public,2800 METCALFE RD,78741.0,Linder Elementary School
2016-2017,AUSTIN ISD,Cook Elementary School,521,492,521,446,Elementary,100.0,30.378002000000002,-97.70482,public,1511 CRIPPLE CREEK DR,78758.0,Cook Elementary School
2016-2017,AUSTIN ISD,Houston Elementary School,680,565,680,532,Elementary,100.0,30.196468,-97.75506999999999,public,5409 PONCIANA DR,78744.0,Houston Elementary School
2016-2017,AUSTIN ISD,Hart Elementary School,700,672,700,631,Elementary,100.0,30.342451,-97.68871,public,8301 FURNESS,78753.0,Hart Elementary School
2016-2017,AUSTIN ISD,Pickle Elementary School,638,577,638,570,Elementary,100.0,30.333408000000002,-97.693825,public,1101 WHEATLEY,78752.0,Pickle Elementary School
2016-2017,AUSTIN ISD,Mcbee Elementary School,450,424,450,397,Elementary,100.0,30.38325,-97.69106,public,1101 W BRAKER LN,78758.0,Mcbee Elementary School
2016-2017,AUSTIN ISD,Williams Elementary School,458,355,458,255,Elementary,100.0,30.180972999999998,-97.79151,public,500 MAIRO ST,78748.0,Williams Elementary School
2016-2017,AUSTIN ISD,Langford Elementary School,619,581,619,520,Elementary,100.0,30.182083000000002,-97.76337,public,2206 BLUE MEADOW DR,78744.0,Langford Elementary School
2016-2017,AUSTIN ISD,Boone Elementary School,568,225,568,186,Elementary,100.0,30.203723999999998,-97.840225,public,8101 CROFTWOOD RD,78749.0,Boone Elementary School
2016-2017,AUSTIN ISD,Palm Elementary School,470,378,470,306,Elementary,100.0,30.164824,-97.743675,public,7601 DIXIE DR,78744.0,Palm Elementary School
2016-2017,AUSTIN ISD,Kocurek Elementary School,539,334,539,244,Elementary,100.0,30.177746000000003,-97.83525,public,9800 CURLEW DR,78748.0,Kocurek Elementary School
2016-2017,AUSTIN ISD,Casey Elementary School,633,377,633,275,Elementary,100.0,30.177266999999997,-97.81461,public,9400 TEXAS OAKS DR,78748.0,Casey Elementary School
2016-2017,AUSTIN ISD,Rodriguez Elementary School,591,563,591,446,Elementary,100.0,30.200659,-97.74725,public,4400 FRANKLIN PARK DR,78744.0,Rodriguez Elementary School
2016-2017,AUSTIN ISD,Widen Elementary School,558,479,558,418,Elementary,100.0,30.188713,-97.74008,public,5605 NUCKOLS CROSSING RD,78744.0,Widen Elementary School
2016-2017,AUSTIN ISD,Galindo Elementary School,590,500,590,436,Elementary,100.0,30.229516999999998,-97.7719,public,3800 S 2ND ST,78704.0,Galindo Elementary School
