year,district,campus,total_enroll,total_disadvtg,total_title1,total_atrisk,school_type,title1_rate,lat,lon,type,Street Address,ZIP,school_name
2014-2015,AUSTIN ISD,Gorzycki Middle,1330,61,2,148,Middle,0.15037593984962405,,,,7412 SLAUGHTER LN,78749.0,Gorzycki Middle
2014-2015,AUSTIN ISD,School For Young Men,391,377,166,290,Other,42.455242966751925,,,,,,
2014-2015,AUSTIN ISD,Sadler Means Ywla,341,319,166,262,Middle,48.680351906158364,30.313578000000003,-97.68073000000001,public,6401 N HAMPTON DR,78723.0,Sadler Means Ywla
2014-2015,AUSTIN ISD,Allison Elementary School,487,466,487,350,Elementary,100.0,30.235784999999996,-97.69203,public,515 VARGAS RD,78741.0,Allison Elementary School
2014-2015,AUSTIN ISD,Andrews Elementary School,657,640,657,562,Elementary,100.0,30.317553999999998,-97.679665,public,6801 NE DR,78723.0,Andrews Elementary School
2014-2015,AUSTIN ISD,Barton Hills Elementary School,419,34,2,77,Elementary,0.47732696897374705,30.254395000000002,-97.78335600000001,public,2108 BARTON HILLS DR,78704.0,Barton Hills Elementary School
2014-2015,AUSTIN ISD,Becker Elementary School,344,169,344,154,Elementary,100.0,30.250395,-97.75945,public,906 W MILTON,78704.0,Becker Elementary School
2014-2015,AUSTIN ISD,Blackshear Elementary School,276,252,276,167,Elementary,100.0,30.266968,-97.72216999999999,public,1712 E 11TH ST,78702.0,Blackshear Elementary School
2014-2015,AUSTIN ISD,Blanton Elementary School,542,472,542,405,Elementary,100.0,30.306929999999998,-97.69063,public,5408 WESTMINSTER DR,78723.0,Blanton Elementary School
2014-2015,AUSTIN ISD,Brentwood Elementary School,581,173,2,198,Elementary,0.3442340791738382,30.339640000000003,-97.731445,public,6700 ARROYO SECO ST,78757.0,Brentwood Elementary School
2014-2015,AUSTIN ISD,Brooke Elementary School,347,317,347,218,Elementary,100.0,30.254821999999997,-97.70851,public,3100 E 4TH ST,78702.0,Brooke Elementary School
2014-2015,AUSTIN ISD,Brown Elementary School,411,392,411,330,Elementary,100.0,30.344769,-97.71034,public,505 W ANDERSON LN,78752.0,Brown Elementary School
2014-2015,AUSTIN ISD,Bryker Woods Elementary School,393,40,2,67,Elementary,0.5089058524173028,30.304869,-97.750626,public,3309 KERBEY LN,78703.0,Bryker Woods Elementary School
2014-2015,AUSTIN ISD,Campbelementary Schooll Elementary School,253,243,253,149,Elementary,100.0,,,,2613 ROGERS AVE,78722.0,Campbelementary Schooll Elementary School
2014-2015,AUSTIN ISD,Casis Elementary School,806,23,0,124,Elementary,0.0,30.304344,-97.76505,public,2710 EXPOSITION BLVD,78703.0,Casis Elementary School
2014-2015,AUSTIN ISD,Cunningham Elementary School,405,278,36,220,Elementary,8.888888888888891,30.210476,-97.80581,public,2200 BERKELEY AVE,78745.0,Cunningham Elementary School
2014-2015,AUSTIN ISD,Dawson Elementary School,335,289,335,195,Elementary,100.0,30.234061999999998,-97.76337,public,3001 S 1ST ST,78704.0,Dawson Elementary School
2014-2015,AUSTIN ISD,Daep- Elementary School,10,9,2,10,Elementary,20.0,,,,906 W MILTON,78704.0,Daep- Elementary School
2014-2015,AUSTIN ISD,Govalle Elementary School,547,497,547,394,Elementary,100.0,30.210511999999998,-97.65354,public,3601 VALLE AVE,78702.0,Govalle Elementary School
2014-2015,AUSTIN ISD,Gullett Elementary School,557,43,2,75,Elementary,0.3590664272890485,30.343542,-97.74866999999999,public,6310 TREADWELL BLVD,78731.0,Gullett Elementary School
2014-2015,AUSTIN ISD,Harris Elementary School,667,651,667,568,Elementary,100.0,30.314829,-97.690765,public,1711 WHELESS LN,78723.0,Harris Elementary School
2014-2015,AUSTIN ISD,Highland Park Elementary School,640,37,0,98,Elementary,0.0,30.330692,-97.76005,public,4900 FAIRVIEW DR,78731.0,Highland Park Elementary School
2014-2015,AUSTIN ISD,Joslin Elementary School,289,236,289,167,Elementary,100.0,30.228037,-97.79054000000001,public,4500 MANCHACA RD,78745.0,Joslin Elementary School
2014-2015,AUSTIN ISD,Lee Elementary School,390,68,2,97,Elementary,0.5128205128205128,30.29305,-97.72763,public,3308 HAMPTON RD,78705.0,Lee Elementary School
2014-2015,AUSTIN ISD,Maplewood Elementary School,417,192,8,125,Elementary,1.9184652278177456,30.293337,-97.714905,public,3808 MAPLEWOOD AVE,78722.0,Maplewood Elementary School
2014-2015,AUSTIN ISD,Mathews Elementary School,410,156,73,131,Elementary,17.804878048780488,30.278215000000003,-97.760796,public,906 W LYNN ST,78703.0,Mathews Elementary School
2014-2015,AUSTIN ISD,Metz Elementary School,360,324,360,260,Elementary,100.0,30.254284000000002,-97.721725,public,84 ROBERT MARTINEZ JR ST,78702.0,Metz Elementary School
2014-2015,AUSTIN ISD,Oak Springs Elementary School,306,303,306,170,Elementary,100.0,30.271786,-97.70484,public,3601 WEBBERVILLE RD,78702.0,Oak Springs Elementary School
2014-2015,AUSTIN ISD,Ortega Elementary School,326,308,326,192,Elementary,100.0,30.269996999999996,-97.68428,public,1135 GARLAND AVE,78721.0,Ortega Elementary School
2014-2015,AUSTIN ISD,Sanchez Elementary School,436,418,436,363,Elementary,100.0,30.257991999999998,-97.735054,public,73 SAN MARCOS ST,78702.0,Sanchez Elementary School
2014-2015,AUSTIN ISD,Pease Elementary School,257,49,2,72,Elementary,0.7782101167315175,30.275290999999996,-97.74803,public,1106 RIO GRANDE ST,78701.0,Pease Elementary School
2014-2015,AUSTIN ISD,Pecan Springs Elementary School,452,439,452,336,Elementary,100.0,30.303139,-97.676315,public,3100 ROGGE LN,78723.0,Pecan Springs Elementary School
2014-2015,AUSTIN ISD,Pleasant Hill Elementary School,527,475,527,359,Elementary,100.0,30.196213,-97.77649,public,6405 CIR S RD,78745.0,Pleasant Hill Elementary School
2014-2015,AUSTIN ISD,Read Pre-K Demonstration Sch,314,304,2,210,Other,0.6369426751592356,,,,,,
2014-2015,AUSTIN ISD,Reilly Elementary School,277,249,277,216,Elementary,100.0,30.327883,-97.71982,public,405 DENSON DR,78752.0,Reilly Elementary School
2014-2015,AUSTIN ISD,Ridgetop Elementary School,302,135,16,177,Elementary,5.298013245033113,30.311796,-97.716255,public,5005 CASWELL AVE,78751.0,Ridgetop Elementary School
