"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","GRADEGRP1X","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL HOMELESS STUDENTS","TOTAL DYSLEXIC STUDENTS"
"2016-2017","READ PRE-K CENTER",227901131,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",320,0,0,215,191,23,243,0,215,0,-9999999,44,0,0
"2016-2017","REILLY EL",227901132,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",268,11,0,197,143,49,186,268,230,0,-9999999,39,7,15
"2016-2017","RIDGETOP EL",227901133,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",331,39,0,89,327,-9999999,112,331,151,0,-9999999,27,9,10
"2016-2017","ST ELMO EL",227901136,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",284,16,0,143,124,15,223,284,181,0,0,28,24,8
"2016-2017","SUMMITT EL",227901138,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",833,48,0,251,243,38,253,5,370,7,0,81,5,24
"2016-2017","SIMS EL",227901139,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",232,-9999999,0,69,66,-9999999,214,232,139,0,0,18,7,7
"2016-2017","TRAVIS HTS EL",227901140,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",548,40,0,138,172,48,347,548,290,0,-9999999,68,-9999999,32
"2016-2017","WALNUT CREEK EL",227901141,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",605,10,0,434,368,64,501,605,513,-9999999,0,58,12,16
"2016-2017","PATTON EL",227901143,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",982,108,0,167,0,166,196,-9999999,288,-9999999,-9999999,69,-9999999,38
"2016-2017","WOOTEN EL",227901144,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",568,19,0,439,415,42,475,568,489,0,0,65,6,15
"2016-2017","ZAVALA EL",227901145,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",357,9,0,121,98,21,297,357,214,0,-9999999,66,27,15
"2016-2017","ZILKER EL",227901146,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",562,69,0,33,26,7,114,0,110,-9999999,0,52,0,36
"2016-2017","MENCHACA EL",227901147,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",740,24,0,151,161,39,290,740,340,-9999999,-9999999,86,-9999999,31
"2016-2017","OAK HILL EL",227901148,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",832,57,0,257,268,38,298,832,402,5,10,88,-9999999,27
"2016-2017","BARRINGTON EL",227901149,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",542,28,0,380,356,25,420,542,446,0,0,54,-9999999,7
"2016-2017","NORMAN EL",227901150,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",263,22,0,64,59,5,244,263,169,0,0,33,18,-9999999
"2016-2017","PILLOW EL",227901151,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",509,17,0,214,140,74,365,509,329,0,-9999999,48,14,26
"2016-2017","WOOLDRIDGE EL",227901152,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",612,25,0,431,371,57,568,612,508,0,0,35,-9999999,18
"2016-2017","DOSS EL",227901154,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",882,52,0,122,0,117,128,-9999999,204,0,0,39,-9999999,49
"2016-2017","HILL EL",227901155,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",939,70,0,68,-9999999,64,71,5,183,9,-9999999,45,5,28
"2016-2017","ODOM EL",227901156,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",509,15,0,212,198,10,437,509,343,-9999999,-9999999,36,24,13
"2016-2017","WINN EL",227901157,"AUSTIN ISD",227901,"ELEMENTARY",13,227,"TRAVIS COUNTY",241,13,0,148,144,-9999999,205,241,199,0,0,33,11,-9999999
