"YEAR","CAMPUS NAME","CAMPUS NUMBER","DISTRICT NAME","DISTRICT NUMBER","REGION","COUNTY NUMBER","COUNTY NAME","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL ELL STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"2015-2016","DOBIE MIDDLE",227901055,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",634,19,295,282,0,278,579,634,492,0,0,114,46
"2015-2016","COVINGTON M S",227901057,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",641,47,257,104,0,99,400,7,354,0,-9999999,117,85
"2015-2016","MENDEZ M S",227901058,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",790,30,279,344,-9999999,333,741,790,652,0,0,104,73
"2015-2016","BAILEY M S",227901059,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",872,55,368,32,0,27,234,-9999999,288,0,-9999999,113,75
"2015-2016","SMALL M S",227901060,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1006,114,635,87,0,83,310,5,351,16,-9999999,107,68
"2015-2016","PAREDES M S",227901061,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",997,71,307,219,0,211,723,997,613,0,-9999999,120,82
"2015-2016","GORZYCKI MIDDLE",227901062,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",1341,179,611,32,0,30,64,0,192,8,0,114,105
"2015-2016","GARCIA YMLA",227901064,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",425,33,272,170,0,168,399,425,339,0,-9999999,81,58
"2015-2016","SADLER MEANS YWLA",227901065,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",369,27,133,170,0,166,328,369,297,0,-9999999,48,22
"2015-2016","ALLISON EL",227901101,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",545,10,0,249,227,19,521,545,412,0,0,53,19
"2015-2016","ANDREWS EL",227901102,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",594,16,0,424,391,32,570,594,524,0,0,49,19
"2015-2016","BARTON HILLS EL",227901103,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",407,19,0,6,0,-9999999,31,-9999999,81,-9999999,0,17,15
"2015-2016","BECKER EL",227901104,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",377,67,0,66,253,5,161,377,153,0,-9999999,15,16
"2015-2016","BLACKSHEAR EL",227901105,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",291,10,0,86,34,51,236,291,158,0,-9999999,24,18
"2015-2016","BLANTON EL",227901106,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",479,23,0,283,335,11,392,479,368,0,0,45,12
"2015-2016","BRENTWOOD EL",227901107,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",617,63,0,70,111,16,161,-9999999,242,-9999999,-9999999,68,35
"2015-2016","BROOKE EL",227901108,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",254,8,0,73,64,9,239,254,172,0,0,31,12
"2015-2016","BROWN EL",227901109,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",358,13,0,259,241,17,343,358,313,0,0,37,7
"2015-2016","BRYKER WOODS EL",227901110,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",400,23,0,14,0,13,39,0,99,0,0,23,20
"2015-2016","CAMPBELL EL",227901111,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",220,6,0,43,38,-9999999,206,220,130,0,0,31,12
"2015-2016","CASIS EL",227901112,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",793,33,0,9,0,8,17,-9999999,119,-9999999,-9999999,47,39
"2015-2016","CUNNINGHAM EL",227901113,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",415,8,0,76,87,14,262,415,211,-9999999,8,62,26
"2015-2016","DAWSON EL",227901114,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",382,27,0,117,150,25,316,382,234,-9999999,0,66,19
"2015-2016","DAEP- EL",227901115,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",16,0,0,-9999999,-9999999,-9999999,14,0,13,0,0,-9999999,-9999999
"2015-2016","GOVALLE EL",227901116,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",501,32,0,172,163,7,449,501,336,-9999999,5,59,16
"2015-2016","GULLETT EL",227901117,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",574,25,0,8,0,7,37,-9999999,97,-9999999,0,40,21
"2015-2016","HARRIS EL",227901118,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",629,-9999999,0,452,369,83,607,629,561,0,-9999999,58,11
"2015-2016","HIGHLAND PARK EL",227901119,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",622,92,0,8,0,6,30,0,134,-9999999,-9999999,40,35
"2015-2016","JOSLIN EL",227901120,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",282,17,0,97,74,20,210,282,163,-9999999,0,36,18
"2015-2016","LEE EL",227901121,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",375,21,0,10,0,10,51,0,87,-9999999,0,35,12
"2015-2016","MAPLEWOOD EL",227901122,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",462,25,0,47,96,10,199,8,150,0,0,49,17
"2015-2016","MATHEWS EL",227901123,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",425,35,0,60,7,51,153,425,164,-9999999,0,37,23
"2015-2016","METZ EL",227901124,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",305,10,0,133,107,26,265,305,222,0,-9999999,41,20
"2015-2016","OAK SPRINGS EL",227901125,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",333,12,0,93,73,19,315,333,200,0,0,49,14
"2015-2016","ORTEGA EL",227901126,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",316,15,0,121,102,18,283,316,216,-9999999,0,30,20
"2015-2016","SANCHEZ EL",227901127,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",407,9,0,294,268,25,384,407,355,-9999999,0,34,7
"2015-2016","PEASE EL",227901128,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",267,32,0,-9999999,0,-9999999,41,0,67,0,0,16,18
"2015-2016","PECAN SPRINGS EL",227901129,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",464,17,0,214,198,16,447,464,359,0,-9999999,38,17
"2015-2016","PLEASANT HILL EL",227901130,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",566,-9999999,0,242,211,28,495,566,386,0,0,55,20
"2015-2016","READ PRE-K CENTER",227901131,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",304,0,0,228,194,33,278,0,229,-9999999,0,43,0
"2015-2016","REILLY EL",227901132,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",274,8,0,194,160,28,249,274,224,0,0,48,13
"2015-2016","RIDGETOP EL",227901133,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",292,42,0,81,282,-9999999,123,292,169,0,0,31,9
"2015-2016","ST ELMO EL",227901136,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",307,18,0,143,125,16,262,307,206,-9999999,-9999999,28,8
"2015-2016","SUMMITT EL",227901138,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",815,30,0,254,237,39,301,-9999999,430,10,-9999999,66,19
"2015-2016","SIMS EL",227901139,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",267,9,0,85,82,-9999999,251,267,187,-9999999,-9999999,24,12
"2015-2016","TRAVIS HTS EL",227901140,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",522,38,0,130,180,36,348,522,337,0,0,70,27
"2015-2016","WALNUT CREEK EL",227901141,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",634,8,0,453,395,56,562,634,550,-9999999,0,47,12
"2015-2016","PATTON EL",227901143,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",973,112,0,167,0,162,233,-9999999,411,-9999999,5,72,37
"2015-2016","WOOTEN EL",227901144,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",613,17,0,492,480,46,572,613,546,0,0,65,15
"2015-2016","ZAVALA EL",227901145,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",382,5,0,140,108,29,371,382,265,0,5,68,21
"2015-2016","ZILKER EL",227901146,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",538,67,0,35,27,6,111,-9999999,158,-9999999,0,46,28
"2015-2016","MENCHACA EL",227901147,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",719,27,0,137,141,39,340,719,276,-9999999,0,78,22
"2015-2016","OAK HILL EL",227901148,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",841,76,0,271,282,44,332,841,426,7,0,94,35
"2015-2016","BARRINGTON EL",227901149,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",627,24,0,435,415,19,594,627,527,-9999999,5,79,10
"2015-2016","NORMAN EL",227901150,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",319,6,0,80,67,13,309,319,205,0,0,43,8
"2015-2016","PILLOW EL",227901151,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",518,17,0,209,130,79,392,518,332,-9999999,0,37,17
"2015-2016","WOOLDRIDGE EL",227901152,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",630,14,0,478,395,78,603,630,563,0,0,40,19
"2015-2016","DOSS EL",227901154,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",884,51,0,135,0,132,144,0,247,6,0,43,42
"2015-2016","HILL EL",227901155,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",970,56,0,67,-9999999,61,95,-9999999,245,6,-9999999,49,20
"2015-2016","ODOM EL",227901156,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",542,19,0,233,211,16,496,542,370,0,0,47,19
"2015-2016","WINN EL",227901157,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",304,11,0,182,179,-9999999,295,304,243,0,-9999999,40,6
"2015-2016","SUNSET VALLEY EL",227901158,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",531,48,0,215,395,11,328,531,319,-9999999,0,36,8
"2015-2016","GRAHAM EL",227901159,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",697,30,0,408,385,21,609,697,526,0,0,56,21
"2015-2016","LINDER EL",227901160,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",364,11,0,198,171,26,326,364,292,0,0,55,15
"2015-2016","COOK EL",227901161,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",553,13,0,353,327,24,537,553,473,0,0,37,25
"2015-2016","HOUSTON EL",227901162,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",705,10,0,374,355,17,671,705,557,0,-9999999,55,12
"2015-2016","HART EL",227901163,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",692,12,0,555,452,100,668,692,638,0,-9999999,53,17
"2015-2016","PICKLE EL",227901164,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",695,5,0,532,513,18,669,695,630,-9999999,0,46,11
"2015-2016","MCBEE EL",227901165,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",490,5,0,356,333,23,467,490,438,0,-9999999,54,39
"2015-2016","WILLIAMS EL",227901166,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",458,17,0,128,99,19,376,458,293,-9999999,-9999999,75,23
"2015-2016","LANGFORD EL",227901168,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",687,14,0,445,423,21,651,687,571,0,0,46,20
"2015-2016","BOONE EL",227901170,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",573,36,0,68,15,53,276,573,188,-9999999,8,69,27
"2015-2016","PALM EL",227901171,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",481,21,0,211,192,17,400,481,331,-9999999,0,47,17
"2015-2016","KOCUREK EL",227901172,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",491,22,0,83,68,12,317,491,253,-9999999,-9999999,53,9
"2015-2016","CASEY EL",227901173,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",606,22,0,105,170,13,377,606,277,-9999999,0,56,10
"2015-2016","RODRIGUEZ EL",227901174,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",701,19,0,425,401,19,680,701,586,0,-9999999,46,11
"2015-2016","WIDEN EL",227901175,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",566,15,0,279,236,42,535,566,434,0,0,63,18
"2015-2016","GALINDO EL",227901176,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",585,13,0,327,295,32,551,585,440,0,5,64,35
"2015-2016","UPHAUS EARLY CHILDHOOD CENTER",227901177,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",271,0,0,165,150,13,258,271,186,0,0,47,0
"2015-2016","JORDAN EL",227901178,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",674,6,0,436,425,8,654,674,563,-9999999,-9999999,68,24
"2015-2016","DAVIS EL",227901179,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",798,73,0,132,29,98,233,-9999999,310,9,-9999999,62,16
"2015-2016","KIKER EL",227901180,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",998,135,0,70,0,66,44,0,268,0,0,71,101
"2015-2016","MILLS EL",227901181,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",812,56,0,87,0,80,67,-9999999,212,-9999999,-9999999,63,28
"2015-2016","BARANOFF EL",227901182,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",984,49,0,52,8,40,112,7,301,16,-9999999,62,50
"2015-2016","COWAN EL",227901183,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",790,58,0,55,17,35,240,11,269,8,5,58,37
"2015-2016","CLAYTON EL",227901184,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",876,117,0,56,0,53,13,0,160,-9999999,0,68,21
"2015-2016","BLAZIER EL",227901185,"AUSTIN ISD",227901,13,227,"TRAVIS COUNTY",842,27,0,289,318,38,627,842,543,11,0,70,24
