"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","CAMPUS NUMBER","CAMPUS NAME","COUNTY NUMBER","COUNTY NAME","REGION","TOTAL  ENROLLMENT","TOTAL  G & T  STUDENTS","TOTAL  CTE  STUDENTS","TOTAL  ELL  STUDENTS","TOTAL  BILINGUAL  STUDENTS","TOTAL  ESL  STUDENTS","TOTAL  ECONOMICALLY  DISADVANTAGED  STUDENTS","TOTAL  TITLE I  STUDENTS","TOTAL  AT RISK  STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"COUNTY","CAMPUS","2014-2015",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816003,"HARMONY SCHOOL OF SCIENCE - AUSTIN",227,"TRAVIS COUNTY",13,564,66,0,150,0,148,231,564,201,0,0,25,-9999999
"COUNTY","CAMPUS","2014-2015",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816004,"HARMONY SCHOOL OF POLITICAL SCIENC",227,"TRAVIS COUNTY",13,816,72,20,125,0,108,221,0,247,0,0,32,10
"COUNTY","CAMPUS","2014-2015",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816005,"HARMONY SCHOOL OF INNOVATION - AUS",227,"TRAVIS COUNTY",13,394,16,0,194,0,189,265,0,217,0,0,23,0
"COUNTY","CAMPUS","2014-2015",227816,"HARMONY SCIENCE ACADEMY (AUSTIN)",227816101,"HARMONY SCHOOL OF EXCELLENCE",227,"TRAVIS COUNTY",13,610,28,49,145,0,143,401,610,351,0,0,53,18
"COUNTY","CAMPUS","2014-2015",227817,"CEDARS INTERNATIONAL ACADEMY",227817101,"CEDARS INTERNATIONAL ACADEMY",227,"TRAVIS COUNTY",13,392,12,0,127,0,126,325,392,171,-9999999,0,15,-9999999
"COUNTY","CAMPUS","2014-2015",227819,"UNIVERSITY OF TEXAS ELEMENTARY CHA",227819101,"UNIVERSITY OF TEXAS EL CHARTER SCH",227,"TRAVIS COUNTY",13,304,9,0,61,0,57,168,51,122,7,0,18,9
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820001,"KIPP AUSTIN COLLEGIATE",227,"TRAVIS COUNTY",13,566,0,0,133,0,128,525,566,317,0,0,53,-9999999
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820041,"KIPP AUSTIN COLLEGE PREP",227,"TRAVIS COUNTY",13,415,0,0,203,0,199,384,415,254,0,0,43,6
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820042,"KIPP AUSTIN ACADEMY OF ARTS & LETT",227,"TRAVIS COUNTY",13,412,0,0,162,0,157,376,412,219,0,0,24,-9999999
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820043,"KIPP AUSTIN BEACON PREP",227,"TRAVIS COUNTY",13,335,0,0,194,0,189,304,335,290,0,0,26,-9999999
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820044,"KIPP AUSTIN VISTA MIDDLE SCHOOLS",227,"TRAVIS COUNTY",13,337,0,0,183,0,179,296,336,234,0,0,38,7
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820101,"KIPP AUSTIN COMUNIDAD",227,"TRAVIS COUNTY",13,603,0,0,399,399,0,529,603,477,0,0,48,-9999999
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820102,"KIPP AUSTIN CONNECTIONS EL",227,"TRAVIS COUNTY",13,482,0,0,333,333,0,419,482,348,0,0,30,0
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820103,"KIPP AUSTIN OBRAS",227,"TRAVIS COUNTY",13,356,0,0,220,220,0,303,356,233,0,0,22,0
"COUNTY","CAMPUS","2014-2015",227820,"KIPP AUSTIN PUBLIC SCHOOLS INC",227820104,"KIPP AUSTIN LEADERSHIP EL",227,"TRAVIS COUNTY",13,355,0,0,202,202,0,302,355,234,0,0,21,0
"COUNTY","CAMPUS","2014-2015",227821,"AUSTIN DISCOVERY SCHOOL",227821101,"AUSTIN DISCOVERY SCH",227,"TRAVIS COUNTY",13,491,0,0,12,0,10,102,0,208,-9999999,-9999999,34,24
"COUNTY","CAMPUS","2014-2015",227824,"THE EAST AUSTIN COLLEGE PREP ACADE",227824001,"THE EAST AUSTIN COLLEGE PREP ACADE",227,"TRAVIS COUNTY",13,272,0,0,54,0,54,243,0,116,0,0,23,0
"COUNTY","CAMPUS","2014-2015",227824,"THE EAST AUSTIN COLLEGE PREP ACADE",227824002,"THE EAST AUSTIN COLLEGE PREP AT ML",227,"TRAVIS COUNTY",13,575,0,285,141,0,134,485,0,404,0,0,63,0
"COUNTY","CAMPUS","2014-2015",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227,"TRAVIS COUNTY",13,411,0,0,180,0,178,384,411,288,0,0,52,0
