,Campus Name,2011-2012 Enrollment,2012-2013 Enrollment,2013-2014 Enrollment,2014-2015 Enrollment,2015-2016 Enrollment,2016-2017 Enrollment,2017-2018 Enrollment,2011 Enroll. Y-Y,2012 Enroll. Y-Y,2013 Enroll. Y-Y,2014 Enroll. Y-Y,2015 Enroll. Y-Y,2016 Enroll. Y-Y,2012,2013,2014,2015,2016,2017
135,SCHOOL FOR YOUNG MEN,0.0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,-391.0,391.0,0.0,0.0,0.0,0.0,391.0,0.0,0.0,0.0
136,AUSTIN ISD CHILD DEVELOPMENT CENTE,0.0,0.0,0.0,0.0,62.0,78.0,170.0,0.0,0.0,0.0,-62.0,-16.0,-92.0,0.0,0.0,0.0,62.0,78.0,170.0
137,BEDICHEK MIDDLE,0.0,0.0,0.0,0.0,908.0,883.0,846.0,0.0,0.0,0.0,-908.0,25.0,37.0,0.0,0.0,0.0,908.0,883.0,846.0
138,DOBIE MIDDLE,0.0,0.0,0.0,0.0,634.0,598.0,579.0,0.0,0.0,0.0,-634.0,36.0,19.0,0.0,0.0,0.0,634.0,598.0,579.0
139,GARCIA YMLA,0.0,0.0,0.0,0.0,425.0,421.0,390.0,0.0,0.0,0.0,-425.0,4.0,31.0,0.0,0.0,0.0,425.0,421.0,390.0
140,GRADUATION PREP ACADEMY LANIER,0.0,0.0,0.0,0.0,124.0,122.0,77.0,0.0,0.0,0.0,-124.0,2.0,45.0,0.0,0.0,0.0,124.0,122.0,77.0
141,GRADUATION PREP ACADEMY TRAVIS,0.0,0.0,0.0,0.0,123.0,157.0,164.0,0.0,0.0,0.0,-123.0,-34.0,-7.0,0.0,0.0,0.0,123.0,157.0,164.0
142,MURCHISON MIDDLE,0.0,0.0,0.0,0.0,1365.0,1328.0,1392.0,0.0,0.0,0.0,-1365.0,37.0,-64.0,0.0,0.0,0.0,1365.0,1328.0,1392.0
143,READ PRE-K CENTER,0.0,0.0,0.0,0.0,304.0,320.0,304.0,0.0,0.0,0.0,-304.0,-16.0,16.0,0.0,0.0,0.0,304.0,320.0,304.0
144,COVINGTON MIDDLE,0.0,0.0,0.0,0.0,0.0,615.0,660.0,0.0,0.0,0.0,0.0,-615.0,-45.0,0.0,0.0,0.0,0.0,615.0,660.0
145,MARTIN MIDDLE,0.0,0.0,0.0,0.0,0.0,432.0,450.0,0.0,0.0,0.0,0.0,-432.0,-18.0,0.0,0.0,0.0,0.0,432.0,450.0
146,O HENRY MIDDLE,0.0,0.0,0.0,0.0,0.0,867.0,862.0,0.0,0.0,0.0,0.0,-867.0,5.0,0.0,0.0,0.0,0.0,867.0,862.0
