,name,gsId,type,gradeRange,enrollment,address,ncesId,lat,lon,gsRating,parentRating
170,Pickle Elementary School,9142,public,PK-5,695,"1101 Wheatley Avenue, 
Austin, TX  78752",480894009078,30.333408,-97.693825,2,3
171,Mcbee Elementary School,9148,public,PK-5,490,"1101 West Braker Lane, 
Austin, TX  78758",480894008939,30.38325,-97.69106,7,3
172,Paredes Middle School,9472,public,6-8,997,"10100 South Mary Moore Searight Drive, 
Austin, TX  78748",480894008938,30.165659,-97.81159,4,3
173,Dessau Middle School,9473,public,6-8,760,"12900 Dessau Road, 
Austin, TX  78754",483483008942,30.397984,-97.64358,3,3
174,International High School,10730,public,9-12,294,"1012 Arthur Stiles Road, 
Austin, TX  78721",480894011057,30.257113,-97.68206,,3
175,Gorzycki Middle School,10746,public,6-8,1341,"7412 West Slaughter Lane, 
Austin, TX  78749",480894011059,30.214663,-97.89199,9,3
176,Blazier Elementary School,10788,public,PK-5,842,"8601 Nuckols Crossing Road, 
Austin, TX  78744",480894011062,30.158,-97.754295,7,3
177,Widen Elementary School,611,public,PK-5,450,"4500 Manchaca Road, 
Austin, TX  78744",480894006213,30.188713,-97.74008,1,2
178,Dailey Middle School,19852,public,6-8,710,"14000 Westall Street, 
Austin, TX  78725",481662012337,30.243408,-97.59058,3,2
179,Joseph Gilbert Elementary School,20411,public,PK-5,680,"5412 Gilbert Road, 
Austin, TX  78724",481662012601,30.258514,-97.59251,4,2
180,Daep- El,18842,public,PK-6,16,"906 West Milton Street, 
Austin, TX  78704",480894006356,30.250395,-97.75945,,1
181,Leadership Academy,616,public,6-12,27,"2515 South Congress Avenue, 
Austin, TX  78704",480894007137,30.235638,-97.75366,,
182,Phoenix Academy,8614,public,6-12,34,"400 West Live Oak Street, 
Austin, TX  78704",480894008389,30.24414,-97.75614,,
183,Joe Lee Johnson Elementary School,9137,public,PK-5,,"2800 Sauls Drive, 
Austin, TX  78728",,30.45655,-97.68175,5,
184,Guerrero Thompson,10789,public,PK-5,673,"102 East Rundberg Lane, 
Austin, TX  78753",480894011063,30.363888,-97.691666,7,
185,Padron Elementary School,10791,public,PK-5,772,"1111 West 6th Street, 
Austin, TX  78703",480894011065,30.272375,-97.756516,7,
186,Austin St Hospital,10849,public,PK-12,19,"1111 West 6th Street, 
Austin, TX  78703",480894005646,30.272375,-97.756516,,
187,Wall Sp Prog,11403,public,K-8,3,"2515 Speedway, 
Austin, TX  78712",483738008476,30.289062,-97.736496,,
188,Travis County State Jail,11475,public,n/a,,"8101 Farm to Market 969, 
Austin, TX  78724",,30.278334,-97.64186,,
189,Travis County Day School,18840,public,6-12,6,"8011 Cameron Road, 
Austin, TX  78754",480894012204,30.335697,-97.68336,,
190,El Daep,18843,public,K-5,5,"13414 Broadmeade Avenue, 
Austin, TX  78729",483808009461,30.470728,-97.78183,,
191,Garcia Ymla,24939,public,6-8,425,"7414 Johnny Morris Road, 
Austin, TX  78724",,30.311398,-97.64303,3,
