,name,gsId,type,gradeRange,enrollment,address,ncesId,lat,lon,gsRating,parentRating
26,George M Kometzky School,9366,charter,K-12,53,"2200 East 6th Street, 
Austin, TX  78702",480007109072,30.260305,-97.71761,1,
27,Magnolia Montessori For All,25022,charter,PK-8,475,"5100 Pecan Brook Drive, 
Austin, TX  78724",,30.317167,-97.65826,3,
28,Tnc Campus (Texas Neurorehabilitat,9929,charter,K-12,73,"1106 West Dittmar Road, 
Austin, TX  78745",480007109408,30.18896,-97.8058,1,
29,Helping Hand,18838,charter,K-7,24,"3804 Avenue B, 
Austin, TX  78751",480007112104,30.302364,-97.73645,,
30,Sci-Tech Preparatory,24673,charter,6-12,431,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.191423,-97.767136,3,
31,Kipp Austin Beacon Prep,20398,charter,5-8,426,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,4,
32,Kipp Austin Vista Middle Schools,20399,charter,5-8,431,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,4,
33,Kipp Austin Connections Elementary School,20401,charter,PK-4,601,"8509 Farm to Market 969, 
Austin, TX  78724",480026412559,30.27235,-97.638405,3,
34,Premier High School At Travis,20405,charter,9-12,123,"1211 East Oltorf Street, 
Austin, TX  78704",,30.233839,-97.743256,1,
35,Premier High School At Lanier,20406,charter,9-12,124,"1201 Payton Gin Road, 
Austin, TX  78758",,30.360209,-97.70832,1,
36,The Excel Center (For Adults),25102,charter,9-12,147,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
37,IDEA Montopolis College Preparatory,24649,charter,6-12,1374,"1701 Vargas Road, 
Austin, TX  78741",480021112940,30.226158,-97.699524,7,
38,KIPP Austin Leadership Elementary School,24677,charter,K-4,471,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.204409,-97.75847,3,
39,Athlos Leadership Academy- Austin,24723,charter,PK-9,,"3711 Shoreline Drive, 
Austin, TX  78728",480017912987,30.457558,-97.688,,
40,Harmony School of Innovation,24798,charter,K-5,468,"2124 East Saint Elmo Road, 
Austin, TX  78744",,30.21006,-97.74532,6,
41,Altamira Academy,24802,charter,PK-4,320,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",,30.191423,-97.767136,3,
42,Austin Oaks,24857,charter,K-12,3,"1407 West Stassney Lane, 
Austin, TX  78745",,30.21135,-97.792694,,
43,IDEA Rundberg Academy,24980,charter,K-5,940,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",480021113220,30.360958,-97.687805,6,
44,IDEA Rundberg College Preparatory,24981,charter,6-10,940,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",,30.360958,-97.687805,6,
45,The Excel Center,25244,charter,9-12,282,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
46,KIPP Austin Brave,25309,charter,9-12,,"8509 Farm to Market 969, 
Austin, TX  78724",,30.27235,-97.638405,,
47,Cedars Academy Next Generation H S at Highland,25310,charter,8-12,,"6700 Middle Fiskville Road, 
Austin, TX  78752",,30.329008,-97.707436,8,
48,Idea Bluff Springs College Preparatory,25331,charter,6-9,,"1700 East Slaughter Lane, 
Austin, TX  78744",480021113523,30.153843,-97.769135,6,
49,Idea Bluff Springs Academy,25437,charter,K-5,,"1700 East Slaughter Lane, 
Austin, TX  78744",480021113510,30.153843,-97.769135,,
50,Excel Center Lockhart,25447,charter,9-12,,"1015 Norwood Park Boulevard, 
Austin, TX  78753",,30.339088,-97.69408,,
51,Kozmetsky At Rathgeber Village,25584,charter,7-12,,"4800 Manor Road, 
Austin, TX  78723",,30.296387,-97.68996,,
