,address,enrollment,gradeRange,gsId,gsRating,lat,level_0,lon,name,ncesId,parentRating,type
325,"1106 West Dittmar Road, 
Austin, TX  78745",73,K-12,9929,1,30.18896,325.0,-97.8058,Tnc Campus (Texas Neurorehabilitat,480007109408,,charter
326,"3804 Avenue B, 
Austin, TX  78751",24,K-7,18838,,30.302364,326.0,-97.73645,Helping Hand,480007112104,,charter
327,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",431,6-12,24673,3,30.191423,327.0,-97.767136,Sci-Tech Preparatory,,,charter
328,"8509 Farm to Market 969, 
Austin, TX  78724",426,5-8,20398,4,30.27235,328.0,-97.638405,Kipp Austin Beacon Prep,,,charter
329,"8509 Farm to Market 969, 
Austin, TX  78724",431,5-8,20399,4,30.27235,329.0,-97.638405,Kipp Austin Vista Middle Schools,,,charter
330,"8509 Farm to Market 969, 
Austin, TX  78724",601,PK-4,20401,3,30.27235,330.0,-97.638405,Kipp Austin Connections Elementary School,480026412559,,charter
331,"1211 East Oltorf Street, 
Austin, TX  78704",123,9-12,20405,1,30.233839,331.0,-97.743256,Premier High School At Travis,,,charter
332,"1201 Payton Gin Road, 
Austin, TX  78758",124,9-12,20406,1,30.360209,332.0,-97.70832,Premier High School At Lanier,,,charter
333,"1015 Norwood Park Boulevard, 
Austin, TX  78753",147,9-12,25102,,30.339088,333.0,-97.69408,The Excel Center (For Adults),,,charter
334,"1701 Vargas Road, 
Austin, TX  78741",1374,6-12,24649,7,30.226158,334.0,-97.699524,IDEA Montopolis College Preparatory,480021112940,,charter
335,"5107 South Interstate 35 Frontage Road, 
Austin, TX  78744",471,K-4,24677,3,30.204409,335.0,-97.75847,KIPP Austin Leadership Elementary School,,,charter
336,"3711 Shoreline Drive, 
Austin, TX  78728",,PK-9,24723,,30.457558,336.0,-97.688,Athlos Leadership Academy- Austin,480017912987,,charter
337,"2124 East Saint Elmo Road, 
Austin, TX  78744",468,K-5,24798,6,30.21006,337.0,-97.74532,Harmony School of Innovation,,,charter
338,"6405 South Interstate 35 Frontage Road, 
Austin, TX  78744",320,PK-4,24802,3,30.191423,338.0,-97.767136,Altamira Academy,,,charter
339,"1407 West Stassney Lane, 
Austin, TX  78745",3,K-12,24857,,30.21135,339.0,-97.792694,Austin Oaks,,,charter
340,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,K-5,24980,6,30.360958,340.0,-97.687805,IDEA Rundberg Academy,480021113220,,charter
341,"9504 North Interstate 35 Frontage Road, 
Austin, TX  78753",940,6-10,24981,6,30.360958,341.0,-97.687805,IDEA Rundberg College Preparatory,,,charter
342,"1015 Norwood Park Boulevard, 
Austin, TX  78753",282,9-12,25244,,30.339088,342.0,-97.69408,The Excel Center,,,charter
