Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2015-2016

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2015-2016",034907,"QUEEN CITY ISD",08,1011,83,296,-9999999,0,-9999999,571,1010,370,-9999999,-9999999,88,57
"STATE","DISTRICT","2015-2016",034909,"BLOOMBURG ISD",08,274,5,101,5,0,5,156,274,111,8,0,22,9
"STATE","DISTRICT","2015-2016",035901,"DIMMITT ISD",16,1207,39,391,237,183,36,1072,1207,590,9,6,85,11
"STATE","DISTRICT","2015-2016",035902,"HART ISD",16,256,9,81,22,0,22,230,256,150,0,-9999999,18,-9999999
"STATE","DISTRICT","2015-2016",035903,"NAZARETH ISD",16,231,-9999999,86,-9999999,0,-9999999,30,231,46,0,0,15,-9999999
"STATE","DISTRICT","2015-2016",036901,"ANAHUAC ISD",04,1303,83,320,102,0,102,757,932,421,0,0,106,37
"STATE","DISTRICT","2015-2016",036902,"BARBERS HILL ISD",04,5085,247,1128,149,95,51,873,2401,1385,50,9,367,103
"STATE","DISTRICT","2015-2016",036903,"EAST CHAMBERS ISD",05,1457,81,368,335,86,249,818,595,627,0,-9999999,132,34
"STATE","DISTRICT","2015-2016",037901,"ALTO ISD",07,644,28,204,102,0,97,444,643,343,9,-9999999,67,13
"STATE","DISTRICT","2015-2016",037904,"JACKSONVILLE ISD",07,4981,234,1050,1382,773,590,3885,4981,3386,13,16,436,141
"STATE","DISTRICT","2015-2016",037907,"RUSK ISD",07,2166,115,584,117,0,116,1313,1569,904,16,6,241,63
"STATE","DISTRICT","2015-2016",037908,"NEW SUMMERFIELD ISD",07,547,-9999999,145,225,0,169,526,547,388,0,0,35,14
"STATE","DISTRICT","2015-2016",037909,"WELLS ISD",07,283,11,99,16,0,16,188,283,168,0,0,27,13
"STATE","DISTRICT","2015-2016",038901,"CHILDRESS ISD",16,1135,83,272,29,0,29,606,1135,390,13,0,108,18
"STATE","DISTRICT","2015-2016",039902,"HENRIETTA ISD",09,967,54,354,-9999999,0,-9999999,394,456,375,10,6,125,54
"STATE","DISTRICT","2015-2016",039903,"PETROLIA CISD",09,515,16,166,-9999999,0,-9999999,262,304,99,-9999999,-9999999,54,34
"STATE","DISTRICT","2015-2016",039904,"BELLEVUE ISD",09,146,-9999999,39,0,0,0,70,146,58,0,0,17,-9999999
"STATE","DISTRICT","2015-2016",039905,"MIDWAY ISD",09,104,-9999999,37,0,0,0,55,104,16,0,0,16,0
"STATE","DISTRICT","2015-2016",040901,"MORTON ISD",17,419,27,128,75,0,75,391,404,296,0,0,31,0
"STATE","DISTRICT","2015-2016",040902,"WHITEFACE CISD",17,344,8,104,11,0,9,194,343,114,0,-9999999,41,5
"STATE","DISTRICT","2015-2016",041901,"BRONTE ISD",15,262,17,124,6,0,5,129,131,105,-9999999,0,26,13
"STATE","DISTRICT","2015-2016",041902,"ROBERT LEE ISD",15,289,8,92,-9999999,0,-9999999,175,166,108,0,10,41,-9999999
"STATE","DISTRICT","2015-2016",042901,"COLEMAN ISD",15,918,35,216,18,0,18,581,672,412,-9999999,7,108,27
"STATE","DISTRICT","2015-2016",042903,"SANTA ANNA ISD",15,256,16,59,0,0,0,196,158,98,-9999999,0,25,5
"STATE","DISTRICT","2015-2016",042905,"PANTHER CREEK CISD",15,150,-9999999,60,0,0,0,24,150,6,0,-9999999,15,-9999999
"STATE","DISTRICT","2015-2016",043801,"IMAGINE INTERNATIONAL ACADEMY OF N",10,1192,0,0,50,0,47,84,0,96,-9999999,0,61,34
"STATE","DISTRICT","2015-2016",043901,"ALLEN ISD",10,20822,2897,5336,1200,229,960,3100,31,5501,111,14,2177,1018
"STATE","DISTRICT","2015-2016",043902,"ANNA ISD",10,3072,95,773,352,142,208,1385,1622,752,34,6,311,93
"STATE","DISTRICT","2015-2016",043903,"CELINA ISD",10,2353,133,608,149,54,94,586,586,560,33,-9999999,181,58
"STATE","DISTRICT","2015-2016",043904,"FARMERSVILLE ISD",10,1565,94,285,149,18,131,825,1565,430,8,0,165,36
"STATE","DISTRICT","2015-2016",043905,"FRISCO ISD",10,53300,5810,10231,2656,388,2211,5753,7045,8604,547,42,4774,1622
"STATE","DISTRICT","2015-2016",043907,"MCKINNEY ISD",10,24765,2015,5677,2728,1675,1211,7600,4706,7245,168,30,2541,589
"STATE","DISTRICT","2015-2016",043908,"MELISSA ISD",10,2338,194,630,70,0,70,388,1152,375,24,-9999999,205,150
"STATE","DISTRICT","2015-2016",043910,"PLANO ISD",10,54570,10072,10866,7362,2048,5104,15591,12455,14105,5,-9999999,5847,1391
"STATE","DISTRICT","2015-2016",043911,"PRINCETON ISD",10,3876,134,651,665,276,163,2082,1485,1641,11,-9999999,434,32
"STATE","DISTRICT","2015-2016",043912,"PROSPER ISD",10,8296,764,2114,280,88,192,550,143,1495,101,6,636,335
"STATE","DISTRICT","2015-2016",043914,"WYLIE ISD",10,14615,1616,3362,1484,483,961,3959,2836,4863,216,35,1380,753
"STATE","DISTRICT","2015-2016",043917,"BLUE RIDGE ISD",10,699,54,170,63,0,62,389,695,193,0,-9999999,51,28
"STATE","DISTRICT","2015-2016",043918,"COMMUNITY ISD",10,1919,130,474,278,149,127,838,576,684,34,-9999999,178,169
"STATE","DISTRICT","2015-2016",043919,"LOVEJOY ISD",10,3946,771,1061,42,0,38,109,38,380,24,0,290,130
"STATE","DISTRICT","2015-2016",044902,"WELLINGTON ISD",16,593,11,141,53,0,53,354,593,258,-9999999,0,50,-9999999
"STATE","DISTRICT","2015-2016",045902,"COLUMBUS ISD",03,1597,59,416,174,0,174,940,761,822,5,33,179,37
"STATE","DISTRICT","2015-2016",045903,"RICE CISD",03,1320,42,329,128,0,128,976,1320,611,-9999999,-9999999,158,30
"STATE","DISTRICT","2015-2016",045905,"WEIMAR ISD",03,638,33,197,99,0,98,299,435,240,-9999999,0,60,13
"STATE","DISTRICT","2015-2016",046802,"TRINITY CHARTER SCHOOL",13,496,0,109,78,0,78,496,496,496,0,253,179,-9999999
"STATE","DISTRICT","2015-2016",046901,"NEW BRAUNFELS ISD",13,8459,604,1682,727,359,354,3073,3022,3401,176,71,657,356
"STATE","DISTRICT","2015-2016",046902,"COMAL ISD",13,21163,2484,5801,1230,896,617,6147,4288,7818,1130,161,2084,669
"STATE","DISTRICT","2015-2016",047901,"COMANCHE ISD",14,1337,72,385,175,96,79,867,665,628,15,12,125,51
"STATE","DISTRICT","2015-2016",047902,"DE LEON ISD",14,672,35,203,31,0,31,397,672,258,-9999999,0,68,57
"STATE","DISTRICT","2015-2016",047903,"GUSTINE ISD",14,194,-9999999,73,66,0,65,157,194,92,0,5,28,-9999999
"STATE","DISTRICT","2015-2016",047905,"SIDNEY ISD",14,140,8,49,0,0,0,91,140,42,0,-9999999,15,-9999999
"STATE","DISTRICT","2015-2016",048901,"EDEN CISD",15,245,5,66,10,0,8,166,238,116,-9999999,0,28,6
"STATE","DISTRICT","2015-2016",048903,"PAINT ROCK ISD",15,253,10,79,9,0,9,202,248,129,-9999999,-9999999,29,5
"STATE","DISTRICT","2015-2016",049901,"GAINESVILLE ISD",11,2862,122,618,625,161,452,2284,2115,1702,5,-9999999,229,48
"STATE","DISTRICT","2015-2016",049902,"MUENSTER ISD",11,491,17,187,-9999999,0,-9999999,76,491,112,-9999999,0,75,0
"STATE","DISTRICT","2015-2016",049903,"VALLEY VIEW ISD",11,776,35,242,86,0,86,381,769,352,-9999999,0,91,36
"STATE","DISTRICT","2015-2016",049905,"CALLISBURG ISD",11,1136,64,364,28,0,26,475,1136,236,5,-9999999,102,38
"STATE","DISTRICT","2015-2016",049906,"ERA ISD",11,483,23,145,7,0,7,162,482,148,9,-9999999,34,6
"STATE","DISTRICT","2015-2016",049907,"LINDSAY ISD",11,492,30,196,0,0,0,57,32,107,-9999999,0,25,27
"STATE","DISTRICT","2015-2016",049908,"WALNUT BEND ISD",11,83,-9999999,0,0,0,0,53,0,33,0,0,-9999999,0
"STATE","DISTRICT","2015-2016",049909,"SIVELLS BEND ISD",11,73,0,0,0,0,0,48,73,38,0,0,6,-9999999
"STATE","DISTRICT","2015-2016",050901,"EVANT ISD",12,239,-9999999,96,7,0,7,148,210,13,7,0,16,0
"STATE","DISTRICT","2015-2016",050902,"GATESVILLE ISD",12,2849,196,761,111,0,102,1468,910,940,157,26,361,201
"STATE","DISTRICT","2015-2016",050904,"OGLESBY ISD",12,165,-9999999,76,10,0,10,95,165,105,-9999999,0,14,6
"STATE","DISTRICT","2015-2016",050909,"JONESBORO ISD",12,219,-9999999,75,-9999999,0,-9999999,87,219,-9999999,0,0,23,0
"STATE","DISTRICT","2015-2016",050910,"COPPERAS COVE ISD",12,8016,464,2324,301,15,255,4330,4110,4073,2227,54,768,341
"STATE","DISTRICT","2015-2016",051901,"PADUCAH ISD",17,204,-9999999,91,0,0,0,137,204,126,0,-9999999,26,11
"STATE","DISTRICT","2015-2016",052901,"CRANE ISD",18,1148,68,330,198,45,147,485,804,488,0,-9999999,89,36
"STATE","DISTRICT","2015-2016",053001,"CROCKETT COUNTY CONSOLIDATED CSD",15,828,52,160,117,85,74,421,826,477,5,-9999999,61,47
"STATE","DISTRICT","2015-2016",054901,"CROSBYTON CISD",17,387,21,99,-9999999,0,-9999999,288,387,122,0,-9999999,36,17
"STATE","DISTRICT","2015-2016",054902,"LORENZO ISD",17,298,10,99,23,0,23,233,298,180,0,-9999999,43,-9999999
"STATE","DISTRICT","2015-2016",054903,"RALLS ISD",17,581,16,129,7,0,7,479,581,334,-9999999,-9999999,63,41
"STATE","DISTRICT","2015-2016",055901,"CULBERSON COUNTY-ALLAMOORE ISD",18,436,21,160,25,0,22,324,436,235,0,0,29,6
"STATE","DISTRICT","2015-2016",056901,"DALHART ISD",16,1758,32,463,167,0,167,969,1757,621,8,-9999999,131,21
"STATE","DISTRICT","2015-2016",056902,"TEXLINE ISD",16,177,9,61,27,0,27,116,177,86,0,0,19,5
"STATE","DISTRICT","2015-2016",057802,"PEGASUS SCHOOL OF LIBERAL ARTS AND",10,646,0,0,298,0,294,500,646,497,0,-9999999,58,11
"STATE","DISTRICT","2015-2016",057803,"UPLIFT EDUCATION",10,13959,0,2949,4447,0,4393,10402,12232,8479,49,-9999999,852,69
"STATE","DISTRICT","2015-2016",057804,"TEXANS CAN ACADEMIES",10,4484,0,806,765,0,766,4215,4484,4324,-9999999,0,430,0
"STATE","DISTRICT","2015-2016",057805,"LUMIN EDUCATION",10,281,0,0,120,0,115,186,281,138,-9999999,-9999999,19,-9999999
"STATE","DISTRICT","2015-2016",057806,"ADVANTAGE ACADEMY",10,1833,28,266,475,35,418,1386,1833,1309,-9999999,12,111,32
"STATE","DISTRICT","2015-2016",057807,"LIFE SCHOOL",10,5364,234,921,533,177,348,3052,4655,2239,0,0,374,133
"STATE","DISTRICT","2015-2016",057808,"UNIVERSAL ACADEMY",10,1985,143,30,533,5,518,658,0,580,-9999999,0,38,0
"STATE","DISTRICT","2015-2016",057809,"NOVA ACADEMY",10,197,0,0,69,0,60,188,197,134,-9999999,5,7,0
"STATE","DISTRICT","2015-2016",057810,"ACADEMY OF DALLAS",10,604,0,0,79,0,73,589,604,508,0,0,60,-9999999
"STATE","DISTRICT","2015-2016",057811,"CHILDREN FIRST ACADEMY OF DALLAS",10,783,0,0,0,0,0,783,781,-9999999,0,-9999999,15,0
"STATE","DISTRICT","2015-2016",057813,"TRINITY BASIN PREPARATORY",10,2353,0,0,1442,-9999999,1406,2148,2350,1843,0,0,153,0
"STATE","DISTRICT","2015-2016",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",10,486,0,67,71,0,65,486,486,486,0,-9999999,97,0
"STATE","DISTRICT","2015-2016",057816,"A W BROWN-FELLOWSHIP LEADERSHIP AC",10,2161,0,0,20,0,20,1796,2161,570,0,0,108,0
"STATE","DISTRICT","2015-2016",057817,"FOCUS LEARNING ACADEMY",10,1155,0,172,44,0,14,1155,1087,889,0,0,158,0
"STATE","DISTRICT","2015-2016",057819,"JEAN MASSIEU ACADEMY",10,195,0,6,105,0,105,187,195,111,0,0,13,0
"STATE","DISTRICT","2015-2016",057827,"NOVA ACADEMY (SOUTHEAST)",10,766,0,78,259,0,257,685,766,487,-9999999,-9999999,45,5
"STATE","DISTRICT","2015-2016",057828,"WINFREE ACADEMY CHARTER SCHOOLS",10,1381,0,1355,117,0,102,925,0,1327,0,-9999999,161,10
"STATE","DISTRICT","2015-2016",057829,"A+ ACADEMY",10,940,30,296,371,315,53,854,940,603,-9999999,0,106,22
"STATE","DISTRICT","2015-2016",057830,"INSPIRED VISION ACADEMY",10,1118,18,379,420,252,150,1029,1118,640,-9999999,-9999999,113,7
"STATE","DISTRICT","2015-2016",057831,"GATEWAY CHARTER ACADEMY",10,747,32,171,-9999999,0,-9999999,517,747,355,0,5,70,-9999999
"STATE","DISTRICT","2015-2016",057832,"ALPHA CHARTER SCHOOL",10,132,0,20,5,-9999999,-9999999,121,131,82,-9999999,0,24,0
"STATE","DISTRICT","2015-2016",057833,"EDUCATION CENTER INTERNATIONAL ACA",10,381,19,0,30,0,23,157,381,138,0,0,37,22
"STATE","DISTRICT","2015-2016",057834,"EVOLUTION ACADEMY CHARTER SCHOOL",10,795,0,318,42,0,34,457,795,730,0,-9999999,77,-9999999
"STATE","DISTRICT","2015-2016",057835,"GOLDEN RULE CHARTER SCHOOL",10,1526,0,0,899,508,372,1462,1525,903,-9999999,0,59,8
"STATE","DISTRICT","2015-2016",057836,"ST ANTHONY SCHOOL",10,316,24,0,0,0,0,221,316,84,0,0,22,-9999999
"STATE","DISTRICT","2015-2016",057837,"KIPP DALLAS-FORT WORTH",10,1234,-9999999,0,243,0,238,1107,1234,275,-9999999,0,71,0
"STATE","DISTRICT","2015-2016",057839,"LA ACADEMIA DE ESTRELLAS",10,1126,0,44,663,240,409,1011,1126,698,0,0,107,-9999999
"STATE","DISTRICT","2015-2016",057840,"RICHLAND COLLEGIATE HIGH SCHOOL",10,511,0,473,0,0,0,100,0,23,0,0,-9999999,-9999999
"STATE","DISTRICT","2015-2016",057841,"CITYSCAPE SCHOOLS",10,520,0,0,250,184,54,498,520,405,-9999999,-9999999,29,0
"STATE","DISTRICT","2015-2016",057844,"MANARA ACADEMY",10,873,9,0,201,0,186,429,866,318,0,0,52,-9999999
"STATE","DISTRICT","2015-2016",057845,"UME PREPARATORY ACADEMY",10,429,0,74,12,0,12,119,127,84,0,0,20,20
"STATE","DISTRICT","2015-2016",057846,"LEGACY PREPARATORY",10,1187,30,264,339,165,152,791,1187,739,0,0,74,41
"STATE","DISTRICT","2015-2016",057847,"VILLAGE TECH SCHOOLS",10,725,0,138,16,0,16,220,725,25,-9999999,-9999999,24,0
"STATE","DISTRICT","2015-2016",057848,"INTERNATIONAL LEADERSHIP OF TEXAS",10,5030,343,343,1077,705,370,2218,3460,1776,0,0,266,81
"STATE","DISTRICT","2015-2016",057849,"TRINITY ENVIRONMENTAL ACADEMY",10,143,0,0,12,0,9,129,0,94,0,0,14,-9999999
"STATE","DISTRICT","2015-2016",057903,"CARROLLTON-FARMERS BRANCH ISD",10,25796,1929,5032,7003,3806,3519,16676,23675,13471,7,27,2614,251
"STATE","DISTRICT","2015-2016",057904,"CEDAR HILL ISD",10,8020,339,2096,559,357,256,5131,5310,3796,158,122,658,88
"STATE","DISTRICT","2015-2016",057905,"DALLAS ISD",10,158604,20556,33959,68019,41052,23044,139161,153760,103423,37,146,11673,2820
"STATE","DISTRICT","2015-2016",057906,"DESOTO ISD",10,9740,900,2576,718,311,361,6984,6561,4839,41,195,926,82
"STATE","DISTRICT","2015-2016",057907,"DUNCANVILLE ISD",10,12768,804,4831,2310,1539,571,9596,8497,7952,96,99,1180,112
"STATE","DISTRICT","2015-2016",057909,"GARLAND ISD",10,57517,4169,15572,15091,8628,6136,37704,56765,28984,512,130,4802,471
"STATE","DISTRICT","2015-2016",057910,"GRAND PRAIRIE ISD",10,29339,1877,6946,8232,4428,3865,21504,21716,20996,331,12,2581,662
"STATE","DISTRICT","2015-2016",057911,"HIGHLAND PARK ISD",10,7081,815,725,51,0,44,0,0,804,0,0,599,184
"STATE","DISTRICT","2015-2016",057912,"IRVING ISD",10,34929,4357,9504,13709,8931,5570,27575,23486,25933,33,20,2603,782
"STATE","DISTRICT","2015-2016",057913,"LANCASTER ISD",10,7324,654,1879,531,276,240,6322,7324,4362,145,119,595,82
"STATE","DISTRICT","2015-2016",057914,"MESQUITE ISD",10,40805,1988,10983,9219,5919,3070,30639,27564,22361,21,48,4021,1759
"STATE","DISTRICT","2015-2016",057916,"RICHARDSON ISD",10,38738,3712,9740,9944,4105,5794,21828,19245,19707,156,70,4085,1167
"STATE","DISTRICT","2015-2016",057919,"SUNNYVALE ISD",10,1638,158,403,38,0,38,262,1638,334,15,5,151,27
"STATE","DISTRICT","2015-2016",057922,"COPPELL ISD",10,11881,2375,2602,1247,485,1011,1048,3771,3057,-9999999,-9999999,638,473
"STATE","DISTRICT","2015-2016",058902,"DAWSON ISD",17,176,24,65,11,0,11,87,176,66,0,0,11,-9999999
"STATE","DISTRICT","2015-2016",058905,"KLONDIKE ISD",17,268,30,80,16,0,16,84,268,50,0,-9999999,11,0
"STATE","DISTRICT","2015-2016",058906,"LAMESA ISD",17,2038,127,538,109,0,88,1674,1983,1370,18,35,186,147
"STATE","DISTRICT","2015-2016",058909,"SANDS CISD",17,257,-9999999,62,32,0,32,146,257,100,-9999999,-9999999,19,10
"STATE","DISTRICT","2015-2016",059901,"HEREFORD ISD",16,4262,144,1294,758,387,329,3514,4170,2804,16,11,313,76
"STATE","DISTRICT","2015-2016",059902,"WALCOTT ISD",16,139,-9999999,0,10,0,8,86,139,54,-9999999,0,10,0
"STATE","DISTRICT","2015-2016",060902,"COOPER ISD",08,802,108,227,17,0,17,465,802,255,7,6,75,56
"STATE","DISTRICT","2015-2016",060914,"FANNINDEL ISD",08,172,5,42,8,0,8,143,172,65,0,0,27,-9999999
"STATE","DISTRICT","2015-2016",061802,"NORTH TEXAS COLLEGIATE ACADEMY",11,380,0,0,104,0,102,279,380,249,0,-9999999,36,0
"STATE","DISTRICT","2015-2016",061804,"LEADERSHIP PREP SCHOOL",10,595,20,0,46,0,45,20,0,58,-9999999,0,52,23
"STATE","DISTRICT","2015-2016",061901,"DENTON ISD",11,27559,2714,7254,4204,2132,2079,11662,7298,9416,845,103,2942,558
"STATE","DISTRICT","2015-2016",061902,"LEWISVILLE ISD",11,53490,5599,9697,8291,4317,4626,17425,16150,19157,212,28,5497,1113
"STATE","DISTRICT","2015-2016",061903,"PILOT POINT ISD",11,1394,96,433,316,77,238,769,747,771,-9999999,0,105,65
"STATE","DISTRICT","2015-2016",061905,"KRUM ISD",11,2056,87,675,189,141,84,733,607,922,11,6,221,91
"STATE","DISTRICT","2015-2016",061906,"PONDER ISD",11,1274,113,397,76,0,75,508,605,362,16,7,98,53
"STATE","DISTRICT","2015-2016",061907,"AUBREY ISD",11,2316,140,689,87,0,85,678,1030,738,38,9,181,133
"STATE","DISTRICT","2015-2016",061908,"SANGER ISD",11,2696,93,654,194,25,169,1203,2695,964,40,14,275,151
"STATE","DISTRICT","2015-2016",061910,"ARGYLE ISD",11,2243,252,464,64,0,64,224,26,430,9,-9999999,199,66
"STATE","DISTRICT","2015-2016",061911,"NORTHWEST ISD",11,20976,2037,4447,1003,174,880,3907,4453,6649,307,28,1774,687
"STATE","DISTRICT","2015-2016",061912,"LAKE DALLAS ISD",11,3979,322,1181,338,155,172,1514,2685,1477,28,10,437,383
"STATE","DISTRICT","2015-2016",061914,"LITTLE ELM ISD",11,7194,274,1603,1250,572,655,3127,3084,3665,7,-9999999,565,248
"STATE","DISTRICT","2015-2016",062901,"CUERO ISD",03,2173,75,591,86,0,85,1164,1486,1158,35,18,229,70
"STATE","DISTRICT","2015-2016",062902,"NORDHEIM ISD",03,159,5,50,0,0,0,76,158,74,0,0,19,6
"STATE","DISTRICT","2015-2016",062903,"YOAKUM ISD",03,1626,62,332,274,0,273,1185,816,921,27,-9999999,210,51
"STATE","DISTRICT","2015-2016",062904,"YORKTOWN ISD",03,518,19,166,8,0,8,309,518,279,-9999999,0,60,31
"STATE","DISTRICT","2015-2016",062905,"WESTHOFF ISD",03,68,6,0,6,0,6,44,68,7,0,0,5,0
"STATE","DISTRICT","2015-2016",062906,"MEYERSVILLE ISD",03,109,6,10,0,0,0,26,109,-9999999,-9999999,0,6,-9999999
"STATE","DISTRICT","2015-2016",063903,"SPUR ISD",17,272,30,99,-9999999,0,-9999999,136,272,136,0,0,26,24
"STATE","DISTRICT","2015-2016",063906,"PATTON SPRINGS ISD",17,114,12,42,0,0,0,101,114,22,7,0,19,7
"STATE","DISTRICT","2015-2016",064903,"CARRIZO SPRINGS CISD",20,2314,189,643,146,93,22,1311,2314,1450,-9999999,-9999999,160,87
"STATE","DISTRICT","2015-2016",065901,"CLARENDON ISD",16,481,35,143,-9999999,0,-9999999,272,481,172,6,6,49,29
"STATE","DISTRICT","2015-2016",065902,"HEDLEY ISD",16,138,-9999999,68,6,0,6,109,138,13,0,0,8,0
"STATE","DISTRICT","2015-2016",066005,"RAMIREZ CSD",02,34,0,0,15,0,15,34,34,22,0,0,-9999999,0
"STATE","DISTRICT","2015-2016",066901,"BENAVIDES ISD",02,361,21,114,17,0,16,274,361,166,0,0,44,0
"STATE","DISTRICT","2015-2016",066902,"SAN DIEGO ISD",02,1379,98,289,35,0,29,1002,1379,909,0,0,112,28
"STATE","DISTRICT","2015-2016",066903,"FREER ISD",02,805,26,263,30,0,28,554,805,465,0,0,103,15
"STATE","DISTRICT","2015-2016",067902,"CISCO ISD",14,870,50,241,11,0,11,476,634,280,-9999999,-9999999,94,63
"STATE","DISTRICT","2015-2016",067903,"EASTLAND ISD",14,1099,45,285,74,0,72,605,804,474,-9999999,-9999999,117,51
"STATE","DISTRICT","2015-2016",067904,"GORMAN ISD",14,322,13,86,15,0,14,229,181,153,5,0,40,23
"STATE","DISTRICT","2015-2016",067907,"RANGER ISD",14,426,21,110,6,-9999999,5,313,214,259,0,6,60,7
"STATE","DISTRICT","2015-2016",067908,"RISING STAR ISD",14,160,-9999999,64,11,0,11,113,79,55,-9999999,0,9,6
"STATE","DISTRICT","2015-2016",068802,"COMPASS ACADEMY CHARTER SCHOOL",18,673,21,0,0,0,0,143,119,162,0,0,45,31
"STATE","DISTRICT","2015-2016",068803,"UTPB STEM ACADEMY",18,323,48,0,-9999999,0,-9999999,32,0,45,-9999999,-9999999,17,-9999999
"STATE","DISTRICT","2015-2016",068901,"ECTOR COUNTY ISD",18,31791,2682,6342,5217,3312,1868,16312,14290,18452,75,66,2394,599
"STATE","DISTRICT","2015-2016",069901,"ROCKSPRINGS ISD",15,266,10,87,14,0,14,203,266,115,0,0,32,6
"STATE","DISTRICT","2015-2016",069902,"NUECES CANYON CISD",15,292,9,95,-9999999,0,-9999999,190,292,68,0,0,30,0
"STATE","DISTRICT","2015-2016",070801,"WAXAHACHIE FAITH FAMILY ACADEMY",10,2567,46,461,1293,653,609,2122,2561,2072,-9999999,15,121,-9999999
"STATE","DISTRICT","2015-2016",070901,"AVALON ISD",10,379,14,96,10,0,10,207,379,80,0,0,49,16
"STATE","DISTRICT","2015-2016",070903,"ENNIS ISD",10,5803,451,1599,747,422,317,3952,5803,2847,-9999999,-9999999,613,316
"STATE","DISTRICT","2015-2016",070905,"FERRIS ISD",10,2497,78,733,606,160,417,1978,1256,1342,9,12,265,55
"STATE","DISTRICT","2015-2016",070907,"ITALY ISD",10,574,20,166,47,0,47,348,286,220,-9999999,-9999999,64,22
"STATE","DISTRICT","2015-2016",070908,"MIDLOTHIAN ISD",10,8146,529,1524,312,141,169,1773,1080,2799,122,28,740,408
"STATE","DISTRICT","2015-2016",070909,"MILFORD ISD",10,255,10,35,17,0,19,194,255,59,-9999999,0,31,-9999999
"STATE","DISTRICT","2015-2016",070910,"PALMER ISD",10,1164,44,348,85,17,65,601,836,408,0,-9999999,164,44
"STATE","DISTRICT","2015-2016",070911,"RED OAK ISD",10,5837,481,1846,543,144,337,2619,2626,2207,38,46,639,322
"STATE","DISTRICT","2015-2016",070912,"WAXAHACHIE ISD",10,8121,353,2651,627,413,184,3823,6506,3828,197,129,913,413
"STATE","DISTRICT","2015-2016",070915,"MAYPEARL ISD",10,1063,30,306,37,0,37,379,740,392,6,-9999999,89,59
"STATE","DISTRICT","2015-2016",071801,"BURNHAM WOOD CHARTER SCHOOL DISTRI",19,1031,0,0,269,159,77,535,1031,440,21,0,46,6
"STATE","DISTRICT","2015-2016",071803,"PASO DEL NORTE ACADEMY CHARTER DIS",19,248,0,52,36,0,36,236,248,240,-9999999,-9999999,16,0
"STATE","DISTRICT","2015-2016",071804,"EL PASO ACADEMY",19,367,-9999999,122,34,0,31,274,367,338,0,0,28,7
"STATE","DISTRICT","2015-2016",071806,"HARMONY SCIENCE ACAD (EL PASO)",19,2691,125,331,457,0,389,1821,2691,1093,0,0,200,53
"STATE","DISTRICT","2015-2016",071807,"LA FE PREPARATORY SCHOOL",19,262,0,44,193,215,21,247,262,211,0,0,15,0
"STATE","DISTRICT","2015-2016",071809,"VISTA DEL FUTURO CHARTER SCHOOL",19,364,0,0,97,86,-9999999,180,364,118,18,0,27,-9999999
"STATE","DISTRICT","2015-2016",071810,"EL PASO LEADERSHIP ACADEMY",19,181,5,0,17,0,5,136,72,41,16,0,17,0
"STATE","DISTRICT","2015-2016",071901,"CLINT ISD",19,11712,458,3211,3969,2657,954,10143,11712,7005,281,7,837,63
"STATE","DISTRICT","2015-2016",071902,"EL PASO ISD",19,60047,7263,15997,16303,12257,4595,42288,53864,35109,6416,30,6270,971
"STATE","DISTRICT","2015-2016",071903,"FABENS ISD",19,2366,168,554,974,505,286,2164,2366,1683,18,0,258,44
"STATE","DISTRICT","2015-2016",071904,"SAN ELIZARIO ISD",19,3958,197,1231,2002,1394,371,3756,3958,2818,8,-9999999,322,28
"STATE","DISTRICT","2015-2016",071905,"YSLETA ISD",19,42266,3198,12386,10879,9522,2399,31873,42052,23839,1108,54,4990,1033
"STATE","DISTRICT","2015-2016",071906,"ANTHONY ISD",19,838,41,130,215,107,49,835,838,454,-9999999,0,87,5
"STATE","DISTRICT","2015-2016",071907,"CANUTILLO ISD",19,6012,468,2075,1730,1362,625,4307,5787,3528,217,-9999999,560,37
"STATE","DISTRICT","2015-2016",071908,"TORNILLO ISD",19,1199,83,393,598,241,103,1141,1199,921,-9999999,-9999999,62,0
"STATE","DISTRICT","2015-2016",071909,"SOCORRO ISD",19,45269,2461,15050,9377,5991,2509,32014,45269,20667,3207,70,3864,419
"STATE","DISTRICT","2015-2016",072801,"PREMIER HIGH SCHOOLS",11,6461,0,746,1126,0,1126,3661,2966,5765,30,12,564,109
"STATE","DISTRICT","2015-2016",072802,"ERATH EXCELS ACADEMY INC",11,159,0,54,7,0,7,134,159,139,0,11,15,-9999999
"STATE","DISTRICT","2015-2016",072901,"THREE WAY ISD",11,99,0,0,21,0,21,79,99,26,0,0,-9999999,-9999999
"STATE","DISTRICT","2015-2016",072902,"DUBLIN ISD",11,1177,118,340,232,25,206,869,1177,584,6,0,70,52
