Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2015-2016

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2015-2016",014804,"ORENDA CHARTER SCHOOL",12,1383,0,0,16,0,10,169,54,538,20,55,120,48
"STATE","DISTRICT","2015-2016",014901,"ACADEMY ISD",12,1411,100,312,67,0,66,566,1100,484,28,11,90,32
"STATE","DISTRICT","2015-2016",014902,"BARTLETT ISD",13,369,5,129,37,0,37,278,364,214,-9999999,0,41,17
"STATE","DISTRICT","2015-2016",014903,"BELTON ISD",12,10862,1002,2380,782,375,386,4997,6092,5708,837,57,1160,333
"STATE","DISTRICT","2015-2016",014905,"HOLLAND ISD",12,678,36,239,14,0,14,318,468,225,0,-9999999,57,27
"STATE","DISTRICT","2015-2016",014906,"KILLEEN ISD",12,43258,1380,8359,4000,869,2707,24447,22760,23357,18450,268,4801,1840
"STATE","DISTRICT","2015-2016",014907,"ROGERS ISD",12,880,79,271,34,0,32,407,385,295,15,15,62,57
"STATE","DISTRICT","2015-2016",014908,"SALADO ISD",12,1665,104,442,132,0,130,417,893,464,129,5,102,68
"STATE","DISTRICT","2015-2016",014909,"TEMPLE ISD",12,8636,650,1908,883,618,380,6521,6543,5103,102,37,794,465
"STATE","DISTRICT","2015-2016",014910,"TROY ISD",12,1485,91,339,40,0,40,718,1040,450,33,6,155,80
"STATE","DISTRICT","2015-2016",015801,"POR VIDA ACADEMY",20,322,0,142,0,0,0,248,124,274,0,0,40,0
"STATE","DISTRICT","2015-2016",015802,"GEORGE GERVIN ACADEMY",20,1304,0,98,295,114,185,1302,1304,1303,10,-9999999,54,-9999999
"STATE","DISTRICT","2015-2016",015805,"NEW FRONTIERS CHARTER SCHOOL",20,707,0,28,79,0,77,599,569,435,13,-9999999,51,13
"STATE","DISTRICT","2015-2016",015806,"SCHOOL OF EXCELLENCE IN EDUCATION",20,1095,0,309,199,23,172,973,1095,716,5,6,83,47
"STATE","DISTRICT","2015-2016",015807,"SOUTHWEST PREPARATORY SCHOOL",20,891,25,418,99,0,64,720,891,691,7,-9999999,91,17
"STATE","DISTRICT","2015-2016",015808,"JOHN H WOOD JR PUBLIC CHARTER DIST",20,799,0,11,18,0,13,521,407,527,-9999999,111,202,8
"STATE","DISTRICT","2015-2016",015809,"BEXAR COUNTY ACADEMY",20,444,0,0,87,16,68,391,444,351,-9999999,-9999999,58,16
"STATE","DISTRICT","2015-2016",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL",20,163,0,9,7,0,6,147,163,150,0,0,19,0
