,Zipcode,Population,LAT,LNG,Percent Population
0,78732,17762.0,30.377889,-97.895023,1.185286221731671
1,78712,845.0,30.282172999999997,-97.731003,0.056388180236643506
2,78705,33075.0,30.294333,-97.738517,2.2071468181384426
3,78759,41847.0,30.402665000000002,-97.761062,2.792516187411622
4,78702,22876.0,30.263378000000003,-97.714483,1.5265514924182921
5,78745,62220.0,30.206851,-97.797384,4.15203854949581
6,78717,27764.0,30.492408,-97.748324,1.8527354273256453
7,78737,15879.0,30.190246000000002,-97.956906,1.0596306674291862
8,78747,20954.0,30.126965999999996,-97.73996899999999,1.39829340672027
9,78749,37453.0,30.216184000000002,-97.85585,2.499297650181076
10,78757,24059.0,30.351538,-97.732571,1.6054949447495932
11,78641,60135.0,30.562168,-97.90781700000001,4.012903217195926
12,78738,15746.0,30.319747999999997,-97.958224,1.050755368054661
13,78653,20822.0,30.339696000000004,-97.523512,1.3894848389199894
14,78729,29434.0,30.458396,-97.755344,1.9641771563140416
15,78719,2007.0,30.195371999999995,-97.66844499999999,0.1339302695088089
16,78723,33170.0,30.304274,-97.685715,2.213486317691675
17,78724,24833.0,30.292599,-97.61817099999999,1.6571451832148736
18,78727,28999.0,30.429937,-97.71779599999999,1.935148921517663
19,78730,8933.0,30.370265999999997,-97.836156,0.5961131527265521
20,78733,8754.0,30.321329,-97.884738,0.5841682009367778
21,78751,14949.0,30.310782,-97.722759,0.997570303381756
22,78610,32692.0,30.078514000000002,-97.838012,2.1815886252027807
23,78701,7875.0,30.270569000000002,-97.742589,0.5255111471758197
24,78735,17919.0,30.268138,-97.86919,1.195763078888065
25,78752,20302.0,30.331813,-97.704287,1.3547844203128243
26,78758,46618.0,30.387978999999998,-97.70685300000001,3.1108925281323634
27,78617,27900.0,30.147375,-97.600145,1.861810921422904
28,78722,7254.0,30.289963,-97.71469599999999,0.48407083956995506
29,78664,61361.0,30.501927000000002,-97.647251,4.094716127219742
30,78660,85450.0,30.439629999999998,-97.594687,5.702213019196672
31,78703,20788.0,30.293267999999998,-97.76605,1.3872159653956748
32,78721,12447.0,30.269969,-97.683557,0.8306079046218956
33,78726,14610.0,30.430940999999997,-97.840101,0.974948299712854
34,78728,21245.0,30.45417,-97.692183,1.4177122948254335
35,78736,8199.0,30.261084000000004,-97.959435,0.5471321772310535
36,78750,30758.0,30.418557,-97.802545,2.0525297606138238
37,78753,58693.0,30.382462,-97.673473,3.916676287135287
38,78652,4965.0,30.132804999999998,-97.874687,0.3313222661241835
39,78681,57234.0,30.534423999999998,-97.725741,3.8193149203124905
40,78704,47158.0,30.243032,-97.76508100000001,3.1469275782244197
41,78725,7517.0,30.230010999999998,-97.608576,0.5016212435962714
42,78739,20191.0,30.178420000000003,-97.888662,1.3473772155716794
43,78742,517.0,30.242354,-97.6592,0.03450022388443159
44,78744,48432.0,30.176044,-97.727787,3.2319436038119744
45,78748,49142.0,30.167109999999997,-97.823998,3.2793230215256037
46,78756,8377.0,30.322229999999998,-97.740167,0.5590103974465831
47,78731,27447.0,30.348236,-97.768136,1.8315815182901236
48,78734,18722.0,30.378736,-97.950592,1.2493485330064376
49,78741,52307.0,30.230506,-97.714185,3.4905284540096
50,78746,28268.0,30.296865000000004,-97.809578,1.8863681407448978
51,78754,23858.0,30.355657,-97.64468199999999,1.5920818983264389
52,78613,77779.0,30.503949,-97.8242,5.19031511316674
