PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","Two or More Races",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BURNET M S",227901046,"MIDDLE SCHOOL","White",44
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","Black or African American",89
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","Hispanic",65
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","Two or More Races",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CAMPBELL EL",227901111,"ELEMENTARY","White",23
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","Black or African American",26
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","Asian",15
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","Hispanic",442
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","Two or More Races",19
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASEY EL",227901173,"ELEMENTARY","White",113
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","Black or African American",9
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","Asian",26
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","Hispanic",89
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","Two or More Races",28
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CASIS EL",227901112,"ELEMENTARY","White",612
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","Black or African American",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","Asian",133
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","Hispanic",100
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","Two or More Races",46
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CLAYTON EL",227901184,"ELEMENTARY","White",551
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","Black or African American",39
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","Asian",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","Hispanic",390
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","Two or More Races",6
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COOK EL",227901161,"ELEMENTARY","White",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","Black or African American",41
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","Asian",14
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","Hispanic",385
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","Two or More Races",23
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COVINGTON MIDDLE",227901057,"MIDDLE SCHOOL","White",193
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","Black or African American",46
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","Asian",51
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","Hispanic",332
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","Two or More Races",46
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"COWAN EL",227901183,"ELEMENTARY","White",364
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","Black or African American",98
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","Asian",15
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","Hispanic",1092
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","Two or More Races",27
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CROCKETT H S",227901008,"HIGH SCHOOL","White",232
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","Black or African American",30
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","Asian",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","Hispanic",222
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","Two or More Races",22
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"CUNNINGHAM EL",227901113,"ELEMENTARY","White",103
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","Black or African American",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","Asian",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","Hispanic",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","Two or More Races",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAEP- EL",227901115,"ELEMENTARY","White",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","Black or African American",35
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","Asian",111
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","Hispanic",208
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","Two or More Races",43
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAVIS EL",227901179,"ELEMENTARY","White",404
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","Black or African American",30
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","Asian",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","Hispanic",261
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","Two or More Races",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DAWSON EL",227901114,"ELEMENTARY","White",51
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","Black or African American",78
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","Asian",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","Hispanic",459
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE MIDDLE",227901055,"MIDDLE SCHOOL","White",25
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","Black or African American",15
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","Asian",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","Hispanic",182
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","Two or More Races",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOBIE PK CENTER",227901192,"ELEMENTARY","White",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","Black or African American",23
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","Asian",85
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","Hispanic",118
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","Two or More Races",32
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"DOSS EL",227901154,"ELEMENTARY","White",574
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","Black or African American",76
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","Asian",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","Hispanic",398
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"EASTSIDE MEMORIAL AT THE JOHNSTON",227901019,"HIGH SCHOOL","White",10
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","Black or African American",63
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","Asian",26
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","Hispanic",658
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","Two or More Races",24
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"FULMORE M S",227901043,"MIDDLE SCHOOL","White",223
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","Black or African American",35
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","Hispanic",503
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","Two or More Races",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GALINDO EL",227901176,"ELEMENTARY","White",41
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","Black or African American",99
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","Asian",6
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","Hispanic",263
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARCIA YMLA",227901064,"MIDDLE SCHOOL","White",17
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","Black or African American",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","Hispanic",82
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","Two or More Races",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GARZA INDEPENDENCE H S",227901015,"HIGH SCHOOL","White",71
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","Black or African American",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","Asian",94
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","Hispanic",281
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","Two or More Races",53
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GORZYCKI MIDDLE",227901062,"MIDDLE SCHOOL","White",827
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","Black or African American",47
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","Hispanic",349
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","Two or More Races",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GOVALLE EL",227901116,"ELEMENTARY","White",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","Black or African American",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","Asian",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","Hispanic",61
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY LANIER",227901026,"HIGH SCHOOL","White",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","Black or African American",13
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","Hispanic",144
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","Two or More Races",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRADUATION PREP ACADEMY TRAVIS",227901025,"HIGH SCHOOL","White",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","Black or African American",83
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","Hispanic",482
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","Two or More Races",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GRAHAM EL",227901159,"ELEMENTARY","White",32
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","Black or African American",24
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","Asian",22
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","Hispanic",559
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","Two or More Races",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GUERRERO THOMPSON",227901186,"ELEMENTARY","White",18
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GULLETT EL",227901117,"ELEMENTARY","Black or African American",10
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GULLETT EL",227901117,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GULLETT EL",227901117,"ELEMENTARY","Asian",7
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"GULLETT EL",227901117,"ELEMENTARY","Hispanic",92
