PEIMS DATA FOR SCHOOL YEAR 2017-2018
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","White",1093
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Black or African American",35
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Asian",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Hispanic",116
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","Two or More Races",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"ELEMENTARY","White",12
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Black or African American",-9999999
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","American Indian or Alaska Native",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Asian",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Hispanic",5
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Native Hawaiian/Other or Pacific Islander",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","Two or More Races",0
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"ELEMENTARY / SECONDARY","White",8
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","Black or African American",44
"2017-2018",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"MIDDLE SCHOOL","American Indian or Alaska Native",-9999999
