Texas Education Agency,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total Enrollment Counts in Student Program and Special Populations Reports,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PEIMS Data 2012-2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SCOPE,AGG_LEVEL,YEAR,DISTRICT NUMBER,DISTRICT NAME,REGION,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL LEP STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL PRE-K MILITARY STUDENTS,TOTAL PRE-K FOSTER STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES
STATE,DISTRICT,2012-2013,37908,NEW SUMMERFIELD ISD,7,497,6,97,138,72,46,462,497,318,0,0,42
STATE,DISTRICT,2012-2013,37909,WELLS ISD,7,320,18,126,10,0,10,208,317,177,0,0,29
STATE,DISTRICT,2012-2013,38901,CHILDRESS ISD,16,1136,93,294,38,0,38,647,1136,360,0,0,125
STATE,DISTRICT,2012-2013,39902,HENRIETTA ISD,9,912,45,319,-9999999,0,-9999999,394,439,233,-9999999,-9999999,92
STATE,DISTRICT,2012-2013,39903,PETROLIA ISD,9,476,25,162,-9999999,0,-9999999,208,476,120,-9999999,-9999999,44
STATE,DISTRICT,2012-2013,39904,BELLEVUE ISD,9,159,-9999999,80,-9999999,0,-9999999,72,159,48,0,0,14
STATE,DISTRICT,2012-2013,39905,MIDWAY ISD,9,95,-9999999,43,0,0,0,41,95,26,0,0,15
STATE,DISTRICT,2012-2013,40901,MORTON ISD,17,422,9,130,75,0,75,386,410,204,0,0,37
STATE,DISTRICT,2012-2013,40902,WHITEFACE CISD,17,356,16,83,17,0,16,183,352,122,0,0,45
STATE,DISTRICT,2012-2013,41901,BRONTE ISD,15,263,27,116,12,0,12,116,130,88,0,0,21
STATE,DISTRICT,2012-2013,41902,ROBERT LEE ISD,15,241,12,83,-9999999,0,-9999999,126,130,79,0,0,25
STATE,DISTRICT,2012-2013,42901,COLEMAN ISD,15,876,33,199,14,0,14,553,642,312,0,-9999999,86
STATE,DISTRICT,2012-2013,42903,SANTA ANNA ISD,15,270,18,71,-9999999,0,-9999999,181,160,107,0,0,27
STATE,DISTRICT,2012-2013,42905,PANTHER CREEK CISD,15,161,8,56,0,0,0,110,161,23,0,-9999999,16
STATE,DISTRICT,2012-2013,43801,IMAGINE INTERNATIONAL ACADEMY OF N,10,900,0,0,-9999999,0,-9999999,75,0,-9999999,0,0,37
STATE,DISTRICT,2012-2013,43901,ALLEN ISD,10,19894,2760,4563,1300,245,1039,3321,1285,4397,-9999999,-9999999,2214
STATE,DISTRICT,2012-2013,43902,ANNA ISD,10,2527,67,548,224,86,137,1034,1350,709,-9999999,-9999999,267
STATE,DISTRICT,2012-2013,43903,CELINA ISD,10,2035,94,474,110,12,97,682,472,460,-9999999,0,171
STATE,DISTRICT,2012-2013,43904,FARMERSVILLE ISD,10,1474,89,291,99,0,99,759,1474,400,0,0,130
STATE,DISTRICT,2012-2013,43905,FRISCO ISD,10,42707,3493,6653,1851,404,1407,5136,2237,6703,6,5,3854
STATE,DISTRICT,2012-2013,43907,MCKINNEY ISD,10,24443,1706,4240,2486,1575,1015,7237,4844,6286,5,-9999999,2322
STATE,DISTRICT,2012-2013,43908,MELISSA ISD,10,1694,168,319,64,0,62,353,962,295,0,0,156
STATE,DISTRICT,2012-2013,43910,PLANO ISD,10,55185,9220,9154,6959,2732,3933,15091,10943,12033,8,-9999999,5711
STATE,DISTRICT,2012-2013,43911,PRINCETON ISD,10,3436,135,472,519,195,323,1992,1726,1246,-9999999,-9999999,379
STATE,DISTRICT,2012-2013,43912,PROSPER ISD,10,5505,400,1119,226,81,144,642,116,917,7,-9999999,391
STATE,DISTRICT,2012-2013,43914,WYLIE ISD,10,13426,1438,2262,1354,426,887,3868,2989,3554,-9999999,-9999999,1207
STATE,DISTRICT,2012-2013,43917,BLUE RIDGE ISD,10,658,47,163,26,0,33,311,653,118,-9999999,0,56
STATE,DISTRICT,2012-2013,43918,COMMUNITY ISD,10,1637,110,513,117,45,71,630,396,784,-9999999,0,141
STATE,DISTRICT,2012-2013,43919,LOVEJOY ISD,10,3649,668,741,40,0,38,85,33,279,0,0,249
STATE,DISTRICT,2012-2013,44902,WELLINGTON ISD,16,589,21,136,54,0,54,387,589,205,0,0,72
STATE,DISTRICT,2012-2013,45902,COLUMBUS ISD,3,1670,54,426,159,0,158,961,785,868,0,-9999999,183
STATE,DISTRICT,2012-2013,45903,RICE CISD,3,1271,59,341,132,0,132,952,1267,469,-9999999,-9999999,128
STATE,DISTRICT,2012-2013,45905,WEIMAR ISD,3,568,33,184,87,0,85,337,373,264,0,0,56
STATE,DISTRICT,2012-2013,46802,TRINITY CHARTER SCHOOL,13,137,0,28,5,0,5,137,137,137,0,0,54
STATE,DISTRICT,2012-2013,46901,NEW BRAUNFELS ISD,13,8104,542,1395,679,341,329,3288,2910,2856,-9999999,0,640
STATE,DISTRICT,2012-2013,46902,COMAL ISD,13,18693,2220,3700,967,420,490,5841,4155,5453,15,10,1722
STATE,DISTRICT,2012-2013,47901,COMANCHE ISD,14,1235,72,396,124,67,57,806,744,432,0,0,124
STATE,DISTRICT,2012-2013,47902,DE LEON ISD,14,623,33,178,20,0,20,352,623,224,0,0,56
STATE,DISTRICT,2012-2013,47903,GUSTINE ISD,14,237,-9999999,97,67,0,67,201,237,126,0,0,25
STATE,DISTRICT,2012-2013,47905,SIDNEY ISD,14,131,12,40,0,0,0,93,131,24,0,0,10
STATE,DISTRICT,2012-2013,48901,EDEN CISD,15,244,7,84,-9999999,0,-9999999,161,238,104,0,0,23
STATE,DISTRICT,2012-2013,48903,PAINT ROCK ISD,15,242,7,78,8,0,8,141,239,88,-9999999,0,24
STATE,DISTRICT,2012-2013,49901,GAINESVILLE ISD,11,2788,182,553,535,78,455,2206,2094,1417,0,-9999999,216
STATE,DISTRICT,2012-2013,49902,MUENSTER ISD,11,480,31,179,-9999999,0,-9999999,83,480,81,0,0,53
STATE,DISTRICT,2012-2013,49903,VALLEY VIEW ISD,11,698,32,232,37,0,37,325,498,205,0,0,71
STATE,DISTRICT,2012-2013,49905,CALLISBURG ISD,11,1131,68,380,20,0,20,534,1131,372,0,0,96
STATE,DISTRICT,2012-2013,49906,ERA ISD,11,451,25,166,5,0,5,160,446,106,0,0,29
STATE,DISTRICT,2012-2013,49907,LINDSAY ISD,11,522,43,184,0,0,0,49,21,70,0,0,20
STATE,DISTRICT,2012-2013,49908,WALNUT BEND ISD,11,90,-9999999,0,0,0,0,59,0,26,0,0,5
STATE,DISTRICT,2012-2013,49909,SIVELLS BEND ISD,11,59,-9999999,0,0,0,0,31,59,23,0,0,-9999999
STATE,DISTRICT,2012-2013,50901,EVANT ISD,12,217,8,75,9,0,9,136,217,130,0,0,21
STATE,DISTRICT,2012-2013,50902,GATESVILLE ISD,12,2908,175,798,107,0,95,1449,1654,888,7,0,358
STATE,DISTRICT,2012-2013,50904,OGLESBY ISD,12,168,-9999999,62,-9999999,0,-9999999,119,168,49,0,0,11
STATE,DISTRICT,2012-2013,50909,JONESBORO ISD,12,166,-9999999,56,-9999999,0,-9999999,82,0,8,0,0,14
STATE,DISTRICT,2012-2013,50910,COPPERAS COVE ISD,12,8370,511,1949,192,0,140,4168,3714,3236,623,18,677
STATE,DISTRICT,2012-2013,51901,PADUCAH ISD,17,220,-9999999,72,-9999999,0,-9999999,156,220,72,0,0,29
STATE,DISTRICT,2012-2013,52901,CRANE ISD,18,1071,55,200,130,0,129,400,791,484,0,-9999999,82
STATE,DISTRICT,2012-2013,53001,CROCKETT COUNTY CONSOLIDATED CSD,15,801,49,141,122,49,98,417,801,375,0,0,63
STATE,DISTRICT,2012-2013,54901,CROSBYTON CISD,17,388,25,113,-9999999,0,-9999999,298,386,134,0,0,43
STATE,DISTRICT,2012-2013,54902,LORENZO ISD,17,305,11,102,17,0,17,269,305,194,0,0,56
STATE,DISTRICT,2012-2013,54903,RALLS ISD,17,572,22,146,6,0,6,482,572,175,0,0,68
STATE,DISTRICT,2012-2013,55901,CULBERSON COUNTY-ALLAMOORE ISD,18,432,23,111,28,0,26,320,432,191,0,0,28
STATE,DISTRICT,2012-2013,56901,DALHART ISD,16,1758,27,330,111,0,111,1075,1748,667,0,0,145
STATE,DISTRICT,2012-2013,56902,TEXLINE ISD,16,146,8,46,29,0,29,101,146,54,0,0,11
STATE,DISTRICT,2012-2013,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,10,780,0,0,282,0,279,673,780,596,0,0,67
STATE,DISTRICT,2012-2013,57803,UPLIFT EDUCATION - NORTH HILLS PRE,10,1961,0,347,227,0,214,451,137,440,0,0,91
STATE,DISTRICT,2012-2013,57804,DALLAS CAN ACADEMY CHARTER,10,2109,0,375,295,0,269,2013,2109,2035,0,0,244
STATE,DISTRICT,2012-2013,57805,DALLAS COMMUNITY CHARTER SCHOOL,10,263,0,0,96,0,91,146,263,104,0,0,30
STATE,DISTRICT,2012-2013,57806,ADVANTAGE ACADEMY,10,1972,0,362,380,0,360,1341,1972,1255,-9999999,-9999999,144
STATE,DISTRICT,2012-2013,57807,LIFE SCHOOL,10,4206,209,280,326,89,231,2270,2108,1026,0,0,287
STATE,DISTRICT,2012-2013,57808,UNIVERSAL ACADEMY,10,1469,109,77,405,167,223,665,1469,451,0,0,27
STATE,DISTRICT,2012-2013,57809,NOVA ACADEMY,10,207,0,0,90,0,79,187,207,164,0,0,12
STATE,DISTRICT,2012-2013,57810,ACADEMY OF DALLAS,10,617,0,0,50,0,49,402,617,506,0,0,17
STATE,DISTRICT,2012-2013,57811,CHILDREN FIRST ACADEMY OF DALLAS,10,904,0,0,0,0,0,884,897,0,0,-9999999,44
STATE,DISTRICT,2012-2013,57813,TRINITY BASIN PREPARATORY,10,1622,0,0,959,137,810,1485,1622,1221,0,0,88
STATE,DISTRICT,2012-2013,57814,ACADEMY FOR ACADEMIC EXCELLENCE,10,579,0,254,53,0,52,579,579,579,0,0,124
STATE,DISTRICT,2012-2013,57815,FAITH FAMILY ACADEMY OF OAK CLIFF,10,2041,37,278,988,533,427,1937,2041,1740,-9999999,-9999999,107
STATE,DISTRICT,2012-2013,57816,A W BROWN-FELLOWSHIP LEADERSHIP AC,10,520,0,0,-9999999,0,-9999999,480,520,519,-9999999,0,7
STATE,DISTRICT,2012-2013,57817,FOCUS LEARNING ACADEMY,10,920,0,43,12,0,11,761,898,156,0,0,173
STATE,DISTRICT,2012-2013,57819,JEAN MASSIEU ACADEMY,10,200,0,20,58,0,58,135,200,104,0,0,22
STATE,DISTRICT,2012-2013,57825,HONORS ACADEMY,10,627,0,69,83,0,42,468,394,276,0,0,60
STATE,DISTRICT,2012-2013,57827,NOVA ACADEMY (SOUTHEAST),10,650,0,0,232,0,229,597,650,523,0,0,34
STATE,DISTRICT,2012-2013,57828,WINFREE ACADEMY CHARTER SCHOOLS,10,1506,0,1392,107,0,96,840,0,1346,0,0,184
STATE,DISTRICT,2012-2013,57829,A+ ACADEMY,10,988,38,326,326,167,152,918,988,433,0,0,88
STATE,DISTRICT,2012-2013,57830,INSPIRED VISION ACADEMY,10,982,0,202,377,165,166,907,982,424,0,0,60
STATE,DISTRICT,2012-2013,57831,GATEWAY CHARTER ACADEMY,10,804,13,268,6,0,6,688,804,236,0,0,54
STATE,DISTRICT,2012-2013,57832,ALPHA CHARTER SCHOOL,10,127,0,33,5,0,5,76,127,102,0,0,24
STATE,DISTRICT,2012-2013,57833,EDUCATION CENTER INTERNATIONAL ACA,10,140,9,0,17,0,14,91,0,61,0,0,15
STATE,DISTRICT,2012-2013,57834,EVOLUTION ACADEMY CHARTER SCHOOL,10,444,0,270,29,0,12,293,444,415,0,0,66
STATE,DISTRICT,2012-2013,57835,GOLDEN RULE CHARTER SCHOOL,10,1215,0,0,549,320,199,1190,1213,595,-9999999,0,47
STATE,DISTRICT,2012-2013,57836,ST ANTHONY SCHOOL,10,302,29,0,0,0,0,227,302,96,0,0,17
STATE,DISTRICT,2012-2013,57837,KIPP DALLAS-FORT WORTH,10,354,0,0,102,0,94,330,354,113,0,0,25
STATE,DISTRICT,2012-2013,57838,UPLIFT EDUCATION - PEAK PREPARATOR,10,1578,0,408,458,0,427,1398,1534,1091,0,0,109
STATE,DISTRICT,2012-2013,57839,LA ACADEMIA DE ESTRELLAS,10,950,0,32,499,258,236,899,0,641,0,0,82
STATE,DISTRICT,2012-2013,57840,RICHLAND COLLEGIATE HIGH SCHOOL,10,444,0,440,0,0,0,65,0,105,0,0,0
STATE,DISTRICT,2012-2013,57841,RECONCILIATION ACADEMY,10,201,0,0,118,86,39,196,201,166,0,0,5
STATE,DISTRICT,2012-2013,57842,UPLIFT EDUCATION - WILLIAMS PREPAR,10,1563,0,393,757,0,693,1474,1563,1029,0,0,85
STATE,DISTRICT,2012-2013,57843,UPLIFT EDUCATION - HAMPTON PREPARA,10,776,0,251,77,0,77,561,776,307,0,0,49
STATE,DISTRICT,2012-2013,57844,MANARA ACADEMY,10,458,0,0,97,0,95,241,457,151,0,0,31
STATE,DISTRICT,2012-2013,57845,UME PREPARATORY ACADEMY,10,337,0,0,7,0,6,45,0,13,0,0,9
STATE,DISTRICT,2012-2013,57846,LEGACY PREPARATORY,10,820,0,0,51,0,50,454,0,165,0,0,27
STATE,DISTRICT,2012-2013,57903,CARROLLTON-FARMERS BRANCH ISD,10,26385,2113,5414,6310,3465,3051,16452,16864,12059,-9999999,0,2443
STATE,DISTRICT,2012-2013,57904,CEDAR HILL ISD,10,8258,257,1902,500,361,152,5458,5642,3988,5,-9999999,714
STATE,DISTRICT,2012-2013,57905,DALLAS ISD,10,158932,18526,32327,62696,42033,16622,141273,155205,95137,7,8,11817
STATE,DISTRICT,2012-2013,57906,DESOTO ISD,10,8899,930,2126,608,251,324,6104,2124,3031,0,-9999999,910
STATE,DISTRICT,2012-2013,57907,DUNCANVILLE ISD,10,13271,790,3907,1955,1436,357,9627,9155,7173,-9999999,-9999999,1248
STATE,DISTRICT,2012-2013,57909,GARLAND ISD,10,58059,4172,14082,12768,7892,4343,35400,37283,27349,-9999999,9,5148
STATE,DISTRICT,2012-2013,57910,GRAND PRAIRIE ISD,10,26921,2114,5928,7079,4169,2915,19701,18952,14912,-9999999,0,2523
STATE,DISTRICT,2012-2013,57911,HIGHLAND PARK ISD,10,6848,671,626,52,0,42,0,0,554,0,0,533
STATE,DISTRICT,2012-2013,57912,IRVING ISD,10,35030,4247,8881,13766,9073,5081,28496,23271,23949,5,-9999999,2765
STATE,DISTRICT,2012-2013,57913,LANCASTER ISD,10,6536,516,1397,518,278,223,5438,6484,3041,-9999999,5,594
STATE,DISTRICT,2012-2013,57914,MESQUITE ISD,10,39127,2267,10010,7638,5007,2498,27450,20808,19321,7,8,4124
STATE,DISTRICT,2012-2013,57916,RICHARDSON ISD,10,38043,3552,8305,9078,3687,5356,22021,18714,15930,-9999999,12,4153
STATE,DISTRICT,2012-2013,57919,SUNNYVALE ISD,10,1291,113,375,39,0,39,138,1291,133,0,0,107
STATE,DISTRICT,2012-2013,57922,COPPELL ISD,10,10999,2634,1954,919,308,750,1128,4682,2108,-9999999,0,563
STATE,DISTRICT,2012-2013,58902,DAWSON ISD,17,163,17,57,8,0,7,80,163,80,0,0,12
STATE,DISTRICT,2012-2013,58905,KLONDIKE ISD,17,245,41,72,16,0,16,87,245,33,0,0,10
STATE,DISTRICT,2012-2013,58906,LAMESA ISD,17,1959,149,486,112,0,91,1474,1959,1220,0,-9999999,152
STATE,DISTRICT,2012-2013,58909,SANDS CISD,17,225,-9999999,69,39,0,39,127,225,96,0,0,20
STATE,DISTRICT,2012-2013,59901,HEREFORD ISD,16,4289,124,1475,711,531,161,3472,4281,2531,0,0,314
STATE,DISTRICT,2012-2013,59902,WALCOTT ISD,16,139,-9999999,0,11,0,11,23,139,46,0,0,7
STATE,DISTRICT,2012-2013,60902,COOPER ISD,8,774,90,216,17,0,16,496,774,286,0,-9999999,77
STATE,DISTRICT,2012-2013,60914,FANNINDEL ISD,8,195,-9999999,51,-9999999,0,-9999999,151,195,45,0,0,28
STATE,DISTRICT,2012-2013,61802,TEXAS EDUCATION CENTERS,11,646,0,115,33,0,33,338,216,378,0,0,107
STATE,DISTRICT,2012-2013,61804,LEADERSHIP PREP SCHOOL,10,350,0,0,34,0,32,16,0,39,0,0,7
STATE,DISTRICT,2012-2013,61901,DENTON ISD,11,25775,2282,5139,3700,1926,1756,11074,8427,8402,6,-9999999,2488
STATE,DISTRICT,2012-2013,61902,LEWISVILLE ISD,11,52528,5170,7370,7164,3766,3603,15732,17863,13076,11,22,5146
STATE,DISTRICT,2012-2013,61903,PILOT POINT ISD,11,1518,101,450,313,18,296,801,845,711,-9999999,0,135
STATE,DISTRICT,2012-2013,61905,KRUM ISD,11,1893,77,588,142,105,62,638,607,643,-9999999,0,180
STATE,DISTRICT,2012-2013,61906,PONDER ISD,11,1246,119,355,48,0,48,447,581,385,-9999999,0,107
STATE,DISTRICT,2012-2013,61907,AUBREY ISD,11,2006,127,593,78,0,76,601,1023,507,0,0,168
STATE,DISTRICT,2012-2013,61908,SANGER ISD,11,2665,101,769,150,24,125,1169,2647,831,-9999999,-9999999,261
STATE,DISTRICT,2012-2013,61910,ARGYLE ISD,11,1907,225,416,65,0,67,243,31,341,0,0,181
STATE,DISTRICT,2012-2013,61911,NORTHWEST ISD,11,17811,1513,3623,850,163,764,4126,3983,4008,13,10,1435
STATE,DISTRICT,2012-2013,61912,LAKE DALLAS ISD,11,4015,306,1151,248,131,110,1461,1441,1030,-9999999,0,444
STATE,DISTRICT,2012-2013,61914,LITTLE ELM ISD,11,6400,255,1019,969,613,423,2925,1955,2519,-9999999,7,563
STATE,DISTRICT,2012-2013,62901,CUERO ISD,3,2092,91,490,45,0,45,1231,1166,1219,0,0,177
STATE,DISTRICT,2012-2013,62902,NORDHEIM ISD,3,138,-9999999,40,0,0,0,81,138,24,0,0,17
STATE,DISTRICT,2012-2013,62903,YOAKUM ISD,3,1622,78,349,219,41,180,1136,805,826,0,0,182
STATE,DISTRICT,2012-2013,62904,YORKTOWN ISD,3,525,10,124,-9999999,0,-9999999,297,525,230,0,0,58
STATE,DISTRICT,2012-2013,62905,WESTHOFF ISD,3,69,15,0,-9999999,0,-9999999,35,68,11,0,0,-9999999
STATE,DISTRICT,2012-2013,62906,MEYERSVILLE ISD,3,122,-9999999,0,-9999999,0,-9999999,37,122,21,0,0,13
STATE,DISTRICT,2012-2013,63903,SPUR ISD,17,297,21,99,0,0,0,161,297,42,0,0,30
STATE,DISTRICT,2012-2013,63906,PATTON SPRINGS ISD,17,106,11,20,-9999999,0,-9999999,88,106,33,0,0,7
STATE,DISTRICT,2012-2013,64903,CARRIZO SPRINGS CISD,20,2444,199,642,169,128,18,1827,2444,1477,-9999999,0,179
STATE,DISTRICT,2012-2013,65901,CLARENDON ISD,16,472,31,125,-9999999,0,-9999999,249,472,141,0,0,45
STATE,DISTRICT,2012-2013,65902,HEDLEY ISD,16,116,-9999999,68,0,0,0,72,116,23,0,0,8
STATE,DISTRICT,2012-2013,66005,RAMIREZ CSD,2,27,0,0,13,0,13,25,27,15,0,0,-9999999
STATE,DISTRICT,2012-2013,66901,BENAVIDES ISD,2,362,22,108,25,-9999999,23,254,362,126,0,0,43
STATE,DISTRICT,2012-2013,66902,SAN DIEGO ISD,2,1345,112,407,51,0,43,1058,1343,797,0,0,104
STATE,DISTRICT,2012-2013,66903,FREER ISD,2,807,34,232,38,0,36,562,807,439,0,0,89
STATE,DISTRICT,2012-2013,67902,CISCO ISD,14,880,66,258,15,0,12,541,633,269,-9999999,0,93
STATE,DISTRICT,2012-2013,67903,EASTLAND ISD,14,1147,30,359,104,0,101,669,857,462,0,0,108
STATE,DISTRICT,2012-2013,67904,GORMAN ISD,14,331,21,88,13,0,12,227,193,102,0,0,37
STATE,DISTRICT,2012-2013,67907,RANGER ISD,14,456,30,102,6,0,6,350,249,158,0,0,63
STATE,DISTRICT,2012-2013,67908,RISING STAR ISD,14,192,9,83,11,0,11,141,108,78,0,0,18
STATE,DISTRICT,2012-2013,68801,RICHARD MILBURN ACADEMY (ECTOR COU,18,656,0,283,0,0,0,410,656,501,0,0,72
STATE,DISTRICT,2012-2013,68802,COMPASS ACADEMY CHARTER SCHOOL,18,373,33,0,-9999999,0,-9999999,113,0,79,0,0,15
STATE,DISTRICT,2012-2013,68901,ECTOR COUNTY ISD,18,29649,2005,4282,4057,2757,1020,15375,17740,14801,0,-9999999,2173
STATE,DISTRICT,2012-2013,69901,ROCKSPRINGS ISD,15,273,12,90,15,0,14,195,273,98,0,0,21
STATE,DISTRICT,2012-2013,69902,NUECES CANYON CISD,15,254,11,110,5,0,0,164,254,69,0,0,32
STATE,DISTRICT,2012-2013,70801,WAXAHACHIE FAITH FAMILY ACADEMY,10,450,0,78,49,0,48,197,448,257,0,-9999999,21
STATE,DISTRICT,2012-2013,70901,AVALON ISD,10,321,16,61,15,0,15,211,321,90,0,0,40
STATE,DISTRICT,2012-2013,70903,ENNIS ISD,10,5790,448,1420,771,427,344,4023,5788,2962,6,0,575
STATE,DISTRICT,2012-2013,70905,FERRIS ISD,10,2408,95,618,532,201,314,1912,1406,1120,0,0,215
STATE,DISTRICT,2012-2013,70907,ITALY ISD,10,549,32,168,46,0,46,340,290,177,0,0,63
STATE,DISTRICT,2012-2013,70908,MIDLOTHIAN ISD,10,7560,496,1575,253,125,126,1898,1048,2454,-9999999,-9999999,760
STATE,DISTRICT,2012-2013,70909,MILFORD ISD,10,230,7,44,21,0,21,179,230,100,0,0,28
STATE,DISTRICT,2012-2013,70910,PALMER ISD,10,1097,52,304,87,0,84,569,790,290,0,0,151
STATE,DISTRICT,2012-2013,70911,RED OAK ISD,10,5634,509,1828,373,103,240,2428,1506,2036,-9999999,5,556
STATE,DISTRICT,2012-2013,70912,WAXAHACHIE ISD,10,7651,339,2145,523,343,123,3817,6996,3173,0,-9999999,781
STATE,DISTRICT,2012-2013,70915,MAYPEARL ISD,10,1010,43,309,38,0,38,401,465,279,0,0,130
STATE,DISTRICT,2012-2013,71801,BURNHAM WOOD CHARTER SCHOOL DISTRI,19,857,0,0,160,85,41,406,857,187,0,0,38
STATE,DISTRICT,2012-2013,71803,PASO DEL NORTE ACADEMY CHARTER DIS,19,316,0,26,0,0,0,290,316,296,0,0,12
STATE,DISTRICT,2012-2013,71804,EL PASO ACADEMY,19,484,0,153,35,0,32,341,484,436,0,0,31
STATE,DISTRICT,2012-2013,71806,HARMONY SCIENCE ACAD (EL PASO),19,2260,154,87,338,0,288,1419,2260,483,0,0,96
STATE,DISTRICT,2012-2013,71807,LA FE PREPARATORY SCHOOL,19,268,0,0,202,262,0,240,268,213,0,0,18
STATE,DISTRICT,2012-2013,71809,VISTA DEL FUTURO CHARTER SCHOOL,19,182,0,0,46,0,45,99,182,56,0,0,7
STATE,DISTRICT,2012-2013,71901,CLINT ISD,19,11762,371,3084,4062,3029,712,9869,11761,6789,33,0,748
STATE,DISTRICT,2012-2013,71902,EL PASO ISD,19,63210,7391,15895,15456,10312,3405,43888,55763,34998,471,-9999999,5661
STATE,DISTRICT,2012-2013,71903,FABENS ISD,19,2387,191,600,922,465,251,2132,2387,1546,0,0,273
STATE,DISTRICT,2012-2013,71904,SAN ELIZARIO ISD,19,4158,171,915,2011,1334,410,3844,4158,2698,0,0,310
STATE,DISTRICT,2012-2013,71905,YSLETA ISD,19,43680,3462,12009,9987,9539,1821,35342,43410,20893,126,-9999999,4490
STATE,DISTRICT,2012-2013,71906,ANTHONY ISD,19,856,44,160,231,115,50,856,856,499,-9999999,0,58
STATE,DISTRICT,2012-2013,71907,CANUTILLO ISD,19,6068,445,2509,1617,1361,459,4507,6049,3573,13,-9999999,542
STATE,DISTRICT,2012-2013,71908,TORNILLO ISD,19,1355,93,390,560,256,69,1292,1355,858,0,0,63
STATE,DISTRICT,2012-2013,71909,SOCORRO ISD,19,44259,2626,13331,8825,6614,1765,31807,44259,20280,181,-9999999,3566
STATE,DISTRICT,2012-2013,72801,PREMIER HIGH SCHOOLS,11,3874,-9999999,175,1230,0,1230,2774,3640,3221,0,0,292
STATE,DISTRICT,2012-2013,72802,ERATH EXCELS ACADEMY INC,11,173,0,67,9,0,9,151,173,164,0,0,24
STATE,DISTRICT,2012-2013,72901,THREE WAY ISD,11,53,0,0,18,0,18,45,53,29,0,0,5
STATE,DISTRICT,2012-2013,72902,DUBLIN ISD,11,1199,127,273,236,19,215,909,1199,597,0,0,76
STATE,DISTRICT,2012-2013,72903,STEPHENVILLE,11,3693,196,772,356,222,102,1877,2681,1265,-9999999,-9999999,287
STATE,DISTRICT,2012-2013,72904,BLUFF DALE ISD,11,117,-9999999,0,-9999999,0,-9999999,23,117,21,0,0,6
STATE,DISTRICT,2012-2013,72908,HUCKABAY ISD,11,158,5,59,8,0,8,68,158,45,0,0,7
STATE,DISTRICT,2012-2013,72909,LINGLEVILLE ISD,11,239,10,59,50,0,47,138,239,107,0,0,15
STATE,DISTRICT,2012-2013,72910,MORGAN MILL ISD,11,119,13,0,-9999999,0,-9999999,57,0,27,0,0,5
STATE,DISTRICT,2012-2013,73901,CHILTON ISD,12,525,38,188,82,0,82,434,525,452,0,-9999999,72
STATE,DISTRICT,2012-2013,73903,MARLIN ISD,12,987,50,221,119,37,81,892,980,625,0,0,163
STATE,DISTRICT,2012-2013,73904,WESTPHALIA ISD,12,155,-9999999,0,0,0,0,35,0,15,0,0,13
STATE,DISTRICT,2012-2013,73905,ROSEBUD-LOTT ISD,12,687,46,210,17,0,17,465,675,358,0,-9999999,89
STATE,DISTRICT,2012-2013,74903,BONHAM ISD,10,1951,70,477,138,86,62,1306,1951,669,0,7,236
STATE,DISTRICT,2012-2013,74904,DODD CITY ISD,10,347,-9999999,73,-9999999,0,-9999999,159,347,83,0,0,27
STATE,DISTRICT,2012-2013,74905,ECTOR ISD,10,275,19,81,-9999999,0,5,147,25,59,0,0,35
STATE,DISTRICT,2012-2013,74907,HONEY GROVE ISD,10,585,39,137,44,0,44,375,296,162,0,0,58
STATE,DISTRICT,2012-2013,74909,LEONARD ISD,10,869,44,230,24,0,25,479,587,304,0,0,90
STATE,DISTRICT,2012-2013,74911,SAVOY ISD,10,272,32,72,-9999999,0,-9999999,137,269,78,0,0,41
STATE,DISTRICT,2012-2013,74912,TRENTON ISD,10,551,14,124,17,0,17,225,272,100,0,-9999999,48
STATE,DISTRICT,2012-2013,74917,SAM RAYBURN ISD,10,483,20,127,15,0,15,240,292,132,0,-9999999,47
STATE,DISTRICT,2012-2013,75901,FLATONIA ISD,13,617,57,164,85,0,85,356,616,215,0,0,57
STATE,DISTRICT,2012-2013,75902,LA GRANGE ISD,13,1911,140,330,208,117,89,1073,1269,689,-9999999,0,178
STATE,DISTRICT,2012-2013,75903,SCHULENBURG ISD,13,697,58,262,77,0,77,384,697,278,0,0,63
STATE,DISTRICT,2012-2013,75906,FAYETTEVILLE ISD,13,213,12,48,7,0,7,63,213,44,0,0,19
STATE,DISTRICT,2012-2013,75908,ROUND TOP-CARMINE ISD,13,260,8,86,25,0,25,77,53,84,0,0,28
STATE,DISTRICT,2012-2013,76903,ROBY CISD,14,242,-9999999,76,6,0,6,107,242,89,0,0,19
STATE,DISTRICT,2012-2013,76904,ROTAN ISD,14,310,13,93,6,0,5,203,161,112,0,0,35
