PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Ethnicity Name","Enrollment by Ethnicity"
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"Two or More Races",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"White",6
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Black or African American",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Hispanic",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Two or More Races",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"White",10
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Black or African American",38
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Asian",33
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Hispanic",421
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"Two or More Races",35
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BAILEY M S",227901059,"White",344
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Black or African American",7
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Asian",54
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Hispanic",207
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"Two or More Races",42
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BALDWIN EL",227901187,"White",475
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Black or African American",26
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Asian",55
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Hispanic",337
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"Two or More Races",49
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARANOFF EL",227901182,"White",514
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Black or African American",55
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Asian",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Hispanic",555
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Native Hawaiian/Other or Pacific Islander",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"Two or More Races",5
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARRINGTON EL",227901149,"White",11
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Black or African American",8
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Asian",5
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Hispanic",94
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Native Hawaiian/Other or Pacific Islander",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"Two or More Races",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BARTON HILLS EL",227901103,"White",274
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Black or African American",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"American Indian or Alaska Native",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Asian",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Hispanic",219
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"Two or More Races",12
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BECKER EL",227901104,"White",118
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"Black or African American",50
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"American Indian or Alaska Native",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"Asian",11
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"Hispanic",769
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"Native Hawaiian/Other or Pacific Islander",0
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"BEDICHEK MIDDLE",227901054,"Two or More Races",13
