Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",033902,"PANHANDLE ISD",16,675,47,200,-9999999,0,-9999999,151,321,162,-9999999,0,57
"STATE","DISTRICT","2013-2014",033904,"WHITE DEER ISD",16,378,23,113,0,0,0,161,378,116,0,0,23
"STATE","DISTRICT","2013-2014",034901,"ATLANTA ISD",08,1830,144,463,36,0,36,1179,1830,781,11,21,170
"STATE","DISTRICT","2013-2014",034902,"AVINGER ISD",08,152,7,63,0,0,0,134,152,69,0,0,11
"STATE","DISTRICT","2013-2014",034903,"HUGHES SPRINGS ISD",08,1204,55,348,41,0,39,695,1204,470,0,-9999999,86
"STATE","DISTRICT","2013-2014",034905,"LINDEN-KILDARE CISD",08,752,53,239,26,0,26,550,752,373,0,-9999999,79
"STATE","DISTRICT","2013-2014",034906,"MCLEOD ISD",08,411,9,96,0,0,0,168,411,183,0,0,38
"STATE","DISTRICT","2013-2014",034907,"QUEEN CITY ISD",08,1017,76,290,5,0,5,561,1016,486,0,0,88
"STATE","DISTRICT","2013-2014",034909,"BLOOMBURG ISD",08,265,7,109,-9999999,0,-9999999,153,265,116,0,0,25
"STATE","DISTRICT","2013-2014",035901,"DIMMITT ISD",16,1231,28,377,232,167,48,1099,1231,745,7,15,83
"STATE","DISTRICT","2013-2014",035902,"HART ISD",16,250,5,84,19,0,19,228,250,164,0,-9999999,21
"STATE","DISTRICT","2013-2014",035903,"NAZARETH ISD",16,227,5,60,6,0,6,49,226,35,0,-9999999,16
"STATE","DISTRICT","2013-2014",036901,"ANAHUAC ISD",04,1231,99,303,118,0,114,662,894,568,0,6,100
"STATE","DISTRICT","2013-2014",036902,"BARBERS HILL ISD",04,4688,152,1060,119,73,34,939,1888,1204,25,5,304
"STATE","DISTRICT","2013-2014",036903,"EAST CHAMBERS ISD",05,1410,74,339,297,45,251,790,599,685,0,-9999999,121
"STATE","DISTRICT","2013-2014",037901,"ALTO ISD",07,649,33,206,77,0,71,466,385,385,6,6,60
"STATE","DISTRICT","2013-2014",037904,"JACKSONVILLE ISD",07,4943,221,950,1215,771,416,3980,4943,3315,10,10,441
"STATE","DISTRICT","2013-2014",037907,"RUSK ISD",07,2229,122,496,127,0,127,1354,1634,995,17,5,241
"STATE","DISTRICT","2013-2014",037908,"NEW SUMMERFIELD ISD",07,511,7,104,163,84,43,482,511,338,0,0,35
"STATE","DISTRICT","2013-2014",037909,"WELLS ISD",07,317,11,108,13,0,13,212,317,186,0,0,21
"STATE","DISTRICT","2013-2014",038901,"CHILDRESS ISD",16,1132,86,319,33,0,35,651,1132,399,10,0,104
"STATE","DISTRICT","2013-2014",039902,"HENRIETTA ISD",09,948,46,340,6,0,6,419,462,343,-9999999,14,106
"STATE","DISTRICT","2013-2014",039903,"PETROLIA ISD",09,509,20,147,5,0,5,235,509,123,6,-9999999,46
"STATE","DISTRICT","2013-2014",039904,"BELLEVUE ISD",09,145,-9999999,58,0,0,0,62,145,61,0,0,17
"STATE","DISTRICT","2013-2014",039905,"MIDWAY ISD",09,106,-9999999,35,0,0,0,40,106,35,-9999999,0,18
"STATE","DISTRICT","2013-2014",040901,"MORTON ISD",17,449,11,132,81,0,81,414,441,270,0,0,35
"STATE","DISTRICT","2013-2014",040902,"WHITEFACE CISD",17,370,15,112,10,0,8,197,367,151,0,-9999999,46
"STATE","DISTRICT","2013-2014",041901,"BRONTE ISD",15,272,21,122,9,0,9,141,134,102,0,0,28
"STATE","DISTRICT","2013-2014",041902,"ROBERT LEE ISD",15,242,9,74,-9999999,0,-9999999,145,133,106,0,0,28
"STATE","DISTRICT","2013-2014",042901,"COLEMAN ISD",15,881,33,220,9,0,9,515,627,422,6,-9999999,90
"STATE","DISTRICT","2013-2014",042903,"SANTA ANNA ISD",15,245,15,70,0,0,0,175,146,123,0,6,23
"STATE","DISTRICT","2013-2014",042905,"PANTHER CREEK CISD",15,148,6,49,0,0,0,21,148,20,-9999999,-9999999,13
"STATE","DISTRICT","2013-2014",043801,"IMAGINE INTERNATIONAL ACADEMY OF N",10,1022,0,0,13,0,12,74,16,149,0,0,40
"STATE","DISTRICT","2013-2014",043901,"ALLEN ISD",10,20381,2814,5139,1270,249,1011,3226,1326,4888,135,5,2153
"STATE","DISTRICT","2013-2014",043902,"ANNA ISD",10,2597,61,563,274,150,119,1162,1401,925,31,12,259
"STATE","DISTRICT","2013-2014",043903,"CELINA ISD",10,2075,94,541,118,27,90,619,500,594,7,-9999999,163
"STATE","DISTRICT","2013-2014",043904,"FARMERSVILLE ISD",10,1530,89,288,102,18,84,807,1530,488,9,-9999999,142
"STATE","DISTRICT","2013-2014",043905,"FRISCO ISD",10,46053,4181,7611,2028,402,1582,5196,8161,8722,149,35,4182
"STATE","DISTRICT","2013-2014",043907,"MCKINNEY ISD",10,24565,1760,4893,2519,1599,1045,7447,4816,6743,-9999999,19,2359
"STATE","DISTRICT","2013-2014",043908,"MELISSA ISD",10,1895,199,334,75,0,73,400,1071,522,17,-9999999,175
"STATE","DISTRICT","2013-2014",043910,"PLANO ISD",10,54822,9609,10371,7045,2411,4381,15069,11009,13210,-9999999,5,5590
"STATE","DISTRICT","2013-2014",043911,"PRINCETON ISD",10,3623,123,540,585,178,404,2075,1846,1501,22,5,394
"STATE","DISTRICT","2013-2014",043912,"PROSPER ISD",10,6413,507,1408,264,101,163,687,46,1043,32,5,488
"STATE","DISTRICT","2013-2014",043914,"WYLIE ISD",10,13726,1471,2266,1405,429,941,3789,2079,4217,221,32,1303
"STATE","DISTRICT","2013-2014",043917,"BLUE RIDGE ISD",10,655,47,161,30,0,34,288,655,209,0,-9999999,50
"STATE","DISTRICT","2013-2014",043918,"COMMUNITY ISD",10,1680,131,437,178,82,94,712,396,938,5,-9999999,155
"STATE","DISTRICT","2013-2014",043919,"LOVEJOY ISD",10,3739,711,798,35,0,33,134,23,384,9,-9999999,273
"STATE","DISTRICT","2013-2014",044902,"WELLINGTON ISD",16,613,22,145,52,0,52,381,613,274,-9999999,0,71
"STATE","DISTRICT","2013-2014",045902,"COLUMBUS ISD",03,1669,52,418,172,0,172,968,786,968,6,34,183
"STATE","DISTRICT","2013-2014",045903,"RICE CISD",03,1263,53,315,143,0,142,954,1261,596,0,0,128
"STATE","DISTRICT","2013-2014",045905,"WEIMAR ISD",03,607,26,185,97,0,94,309,252,272,7,0,52
"STATE","DISTRICT","2013-2014",046802,"TRINITY CHARTER SCHOOL",13,315,0,140,6,0,-9999999,312,210,315,0,188,113
"STATE","DISTRICT","2013-2014",046901,"NEW BRAUNFELS ISD",13,8299,560,1537,690,307,366,3198,2922,3246,162,42,657
"STATE","DISTRICT","2013-2014",046902,"COMAL ISD",13,19500,2269,3864,1045,495,495,5983,4690,7011,832,139,1844
"STATE","DISTRICT","2013-2014",047901,"COMANCHE ISD",14,1262,65,436,133,75,58,834,778,572,9,14,140
"STATE","DISTRICT","2013-2014",047902,"DE LEON ISD",14,648,34,204,20,0,20,376,648,313,-9999999,-9999999,62
"STATE","DISTRICT","2013-2014",047903,"GUSTINE ISD",14,231,-9999999,81,68,0,68,187,231,126,0,5,27
"STATE","DISTRICT","2013-2014",047905,"SIDNEY ISD",14,133,9,31,0,0,0,92,133,54,0,0,10
"STATE","DISTRICT","2013-2014",048901,"EDEN CISD",15,235,5,73,-9999999,0,-9999999,159,231,125,0,0,22
"STATE","DISTRICT","2013-2014",048903,"PAINT ROCK ISD",15,229,7,71,8,0,8,157,225,137,-9999999,5,25
"STATE","DISTRICT","2013-2014",049901,"GAINESVILLE ISD",11,2828,172,537,572,99,471,2276,2117,1562,-9999999,-9999999,214
"STATE","DISTRICT","2013-2014",049902,"MUENSTER ISD",11,488,28,171,-9999999,0,-9999999,70,487,128,-9999999,-9999999,55
"STATE","DISTRICT","2013-2014",049903,"VALLEY VIEW ISD",11,742,31,263,56,0,56,358,543,247,-9999999,0,72
"STATE","DISTRICT","2013-2014",049905,"CALLISBURG ISD",11,1160,70,364,20,0,20,564,1160,342,6,-9999999,123
"STATE","DISTRICT","2013-2014",049906,"ERA ISD",11,450,21,165,-9999999,0,-9999999,158,450,160,6,-9999999,31
"STATE","DISTRICT","2013-2014",049907,"LINDSAY ISD",11,489,36,144,-9999999,0,-9999999,31,27,112,-9999999,0,14
"STATE","DISTRICT","2013-2014",049908,"WALNUT BEND ISD",11,86,-9999999,0,0,0,0,64,0,24,0,0,6
"STATE","DISTRICT","2013-2014",049909,"SIVELLS BEND ISD",11,71,0,0,0,0,0,44,70,33,0,0,7
"STATE","DISTRICT","2013-2014",050901,"EVANT ISD",12,243,-9999999,86,11,0,11,155,243,165,7,0,23
"STATE","DISTRICT","2013-2014",050902,"GATESVILLE ISD",12,2820,178,574,115,0,106,1402,913,1065,169,18,334
"STATE","DISTRICT","2013-2014",050904,"OGLESBY ISD",12,170,-9999999,61,0,0,0,119,169,64,-9999999,0,12
"STATE","DISTRICT","2013-2014",050909,"JONESBORO ISD",12,189,-9999999,64,-9999999,0,-9999999,102,189,10,0,0,16
"STATE","DISTRICT","2013-2014",050910,"COPPERAS COVE ISD",12,8266,490,1913,226,0,157,4277,3723,4097,2155,27,709
"STATE","DISTRICT","2013-2014",051901,"PADUCAH ISD",17,210,-9999999,65,-9999999,0,0,136,210,122,0,0,26
"STATE","DISTRICT","2013-2014",052901,"CRANE ISD",18,1147,64,212,158,17,140,419,264,648,0,-9999999,91
"STATE","DISTRICT","2013-2014",053001,"CROCKETT COUNTY CONSOLIDATED CSD",15,810,44,154,123,48,97,490,810,508,-9999999,8,62
"STATE","DISTRICT","2013-2014",054901,"CROSBYTON CISD",17,363,24,85,0,0,0,278,363,173,0,0,43
"STATE","DISTRICT","2013-2014",054902,"LORENZO ISD",17,299,7,95,20,0,20,262,299,212,0,0,62
"STATE","DISTRICT","2013-2014",054903,"RALLS ISD",17,533,20,136,8,0,8,455,533,277,-9999999,0,56
"STATE","DISTRICT","2013-2014",055901,"CULBERSON COUNTY-ALLAMOORE ISD",18,460,30,110,30,0,28,336,460,268,0,0,26
"STATE","DISTRICT","2013-2014",056901,"DALHART ISD",16,1784,34,495,120,0,120,1061,1783,885,8,6,127
"STATE","DISTRICT","2013-2014",056902,"TEXLINE ISD",16,157,8,53,25,0,25,96,157,80,0,0,15
"STATE","DISTRICT","2013-2014",057802,"PEGASUS SCHOOL OF LIBERAL ARTS AND",10,726,0,0,280,0,278,588,726,582,0,0,53
"STATE","DISTRICT","2013-2014",057803,"UPLIFT EDUCATION - NORTH HILLS PRE",10,2198,0,400,247,0,236,599,673,587,5,0,105
"STATE","DISTRICT","2013-2014",057804,"TEXANS CAN ACADEMIES",10,4285,0,622,628,0,623,4034,4285,4089,0,0,498
"STATE","DISTRICT","2013-2014",057805,"DALLAS COMMUNITY CHARTER SCHOOL",10,273,0,0,107,0,101,158,273,113,0,0,23
"STATE","DISTRICT","2013-2014",057806,"ADVANTAGE ACADEMY",10,1630,0,249,383,27,340,1199,1627,995,6,-9999999,106
"STATE","DISTRICT","2013-2014",057807,"LIFE SCHOOL",10,4644,207,763,392,121,263,2574,4531,1731,0,0,320
"STATE","DISTRICT","2013-2014",057808,"UNIVERSAL ACADEMY",10,1520,59,14,453,183,254,650,815,490,0,0,29
"STATE","DISTRICT","2013-2014",057809,"NOVA ACADEMY",10,200,0,0,80,0,74,181,200,134,-9999999,0,5
"STATE","DISTRICT","2013-2014",057810,"ACADEMY OF DALLAS",10,603,0,0,49,0,51,329,603,494,0,0,83
"STATE","DISTRICT","2013-2014",057813,"TRINITY BASIN PREPARATORY",10,1732,0,0,1169,54,1096,1567,0,1446,0,0,117
"STATE","DISTRICT","2013-2014",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",10,535,0,234,45,0,45,535,535,535,0,-9999999,137
"STATE","DISTRICT","2013-2014",057815,"FAITH FAMILY ACADEMY OF OAK CLIFF",10,2182,32,299,1117,615,488,2095,2181,1947,0,5,104
"STATE","DISTRICT","2013-2014",057816,"A W BROWN-FELLOWSHIP LEADERSHIP AC",10,1991,-9999999,0,15,0,15,1641,1991,1974,0,0,127
"STATE","DISTRICT","2013-2014",057817,"FOCUS LEARNING ACADEMY",10,888,0,76,10,0,9,732,879,135,0,0,140
"STATE","DISTRICT","2013-2014",057819,"JEAN MASSIEU ACADEMY",10,197,0,12,91,0,91,183,197,118,0,0,21
"STATE","DISTRICT","2013-2014",057825,"HONORS ACADEMY",10,759,0,90,77,0,77,566,759,420,35,-9999999,70
"STATE","DISTRICT","2013-2014",057827,"NOVA ACADEMY (SOUTHEAST)",10,680,0,125,204,0,204,638,680,378,-9999999,9,42
"STATE","DISTRICT","2013-2014",057828,"WINFREE ACADEMY CHARTER SCHOOLS",10,1406,0,1301,134,0,121,758,0,1303,0,0,196
"STATE","DISTRICT","2013-2014",057829,"A+ ACADEMY",10,995,42,358,362,279,75,927,995,743,-9999999,0,104
"STATE","DISTRICT","2013-2014",057830,"INSPIRED VISION ACADEMY",10,1081,27,276,414,217,166,980,1080,646,-9999999,0,92
"STATE","DISTRICT","2013-2014",057831,"GATEWAY CHARTER ACADEMY",10,779,22,259,6,0,6,673,779,369,0,0,61
"STATE","DISTRICT","2013-2014",057832,"ALPHA CHARTER SCHOOL",10,116,0,16,-9999999,0,-9999999,70,-9999999,93,0,0,15
"STATE","DISTRICT","2013-2014",057833,"EDUCATION CENTER INTERNATIONAL ACA",10,362,9,0,25,0,21,149,362,182,0,0,29
"STATE","DISTRICT","2013-2014",057834,"EVOLUTION ACADEMY CHARTER SCHOOL",10,546,0,285,25,0,24,377,508,534,0,0,66
"STATE","DISTRICT","2013-2014",057835,"GOLDEN RULE CHARTER SCHOOL",10,1349,0,0,644,425,194,1320,1349,690,0,-9999999,48
"STATE","DISTRICT","2013-2014",057836,"ST ANTHONY SCHOOL",10,311,25,0,0,0,0,211,311,98,0,0,18
"STATE","DISTRICT","2013-2014",057837,"KIPP DALLAS-FORT WORTH",10,564,0,0,157,0,148,533,376,171,0,0,32
"STATE","DISTRICT","2013-2014",057838,"UPLIFT EDUCATION - PEAK PREPARATOR",10,1943,0,496,589,0,527,1631,1943,1040,6,-9999999,138
"STATE","DISTRICT","2013-2014",057839,"LA ACADEMIA DE ESTRELLAS",10,1059,0,40,549,162,378,1001,1058,719,0,0,103
"STATE","DISTRICT","2013-2014",057840,"RICHLAND COLLEGIATE HIGH SCHOOL",10,460,0,265,0,0,-9999999,84,0,145,0,0,0
"STATE","DISTRICT","2013-2014",057841,"RECONCILIATION ACADEMY",10,203,0,0,112,79,38,198,203,142,0,0,9
"STATE","DISTRICT","2013-2014",057842,"UPLIFT EDUCATION - WILLIAMS PREPAR",10,2335,0,596,1238,0,1082,2128,2078,1566,7,-9999999,121
"STATE","DISTRICT","2013-2014",057843,"UPLIFT EDUCATION - HAMPTON PREPARA",10,950,0,265,105,0,103,709,950,448,0,0,58
"STATE","DISTRICT","2013-2014",057844,"MANARA ACADEMY",10,495,0,0,109,0,107,246,495,149,0,0,31
"STATE","DISTRICT","2013-2014",057845,"UME PREPARATORY ACADEMY",10,392,0,27,9,0,8,67,0,14,0,0,21
"STATE","DISTRICT","2013-2014",057846,"LEGACY PREPARATORY",10,980,0,0,145,49,85,727,980,220,0,-9999999,47
"STATE","DISTRICT","2013-2014",057847,"VILLAGE TECH SCHOOLS",10,636,0,0,0,0,0,175,0,17,0,0,5
"STATE","DISTRICT","2013-2014",057848,"INTERNATIONAL LEADERSHIP OF TEXAS",10,2499,117,0,539,394,146,1373,2499,559,0,0,111
"STATE","DISTRICT","2013-2014",057903,"CARROLLTON-FARMERS BRANCH ISD",10,26347,2121,5364,6484,3683,3055,16401,17390,12778,9,19,2425
"STATE","DISTRICT","2013-2014",057904,"CEDAR HILL ISD",10,7866,223,1978,504,355,175,5357,0,3999,33,24,678
"STATE","DISTRICT","2013-2014",057905,"DALLAS ISD",10,159713,18905,31254,64552,41814,18638,142301,155843,105652,102,75,11869
"STATE","DISTRICT","2013-2014",057906,"DESOTO ISD",10,9404,983,2426,668,304,325,6197,5259,3420,48,75,916
"STATE","DISTRICT","2013-2014",057907,"DUNCANVILLE ISD",10,13104,743,3989,2030,1466,407,9790,8948,8507,53,64,1221
"STATE","DISTRICT","2013-2014",057909,"GARLAND ISD",10,57616,4211,14135,13487,8093,4844,35050,35205,30395,256,125,5017
"STATE","DISTRICT","2013-2014",057910,"GRAND PRAIRIE ISD",10,27740,2093,6213,7541,4539,3234,19867,19252,17377,0,0,2494
"STATE","DISTRICT","2013-2014",057911,"HIGHLAND PARK ISD",10,7037,849,604,56,0,47,0,0,616,0,0,520
"STATE","DISTRICT","2013-2014",057912,"IRVING ISD",10,35328,4315,8506,13485,8931,4886,28442,23434,24748,62,57,2685
"STATE","DISTRICT","2013-2014",057913,"LANCASTER ISD",10,6820,585,1836,505,245,238,5720,6820,3448,0,20,590
"STATE","DISTRICT","2013-2014",057914,"MESQUITE ISD",10,39909,2127,10182,8260,5329,2766,28136,23330,21428,150,42,4049
"STATE","DISTRICT","2013-2014",057916,"RICHARDSON ISD",10,38283,3512,8946,9489,3908,5547,22027,18922,15740,177,33,4036
"STATE","DISTRICT","2013-2014",057919,"SUNNYVALE ISD",10,1371,138,376,32,0,32,148,1371,262,5,-9999999,116
"STATE","DISTRICT","2013-2014",057922,"COPPELL ISD",10,11364,2601,2016,1002,386,803,1154,4492,2765,0,-9999999,563
"STATE","DISTRICT","2013-2014",058902,"DAWSON ISD",17,170,16,63,8,0,8,88,170,71,0,0,14
"STATE","DISTRICT","2013-2014",058905,"KLONDIKE ISD",17,256,36,77,17,0,17,89,256,63,0,11,15
"STATE","DISTRICT","2013-2014",058906,"LAMESA ISD",17,2050,136,453,116,0,94,1493,2022,1334,31,18,153
"STATE","DISTRICT","2013-2014",058909,"SANDS CISD",17,214,5,55,30,0,30,115,214,99,-9999999,0,18
"STATE","DISTRICT","2013-2014",059901,"HEREFORD ISD",16,4240,121,1456,730,508,199,3477,4195,2879,0,0,289
"STATE","DISTRICT","2013-2014",059902,"WALCOTT ISD",16,145,-9999999,0,10,0,10,105,145,56,0,0,7
"STATE","DISTRICT","2013-2014",060902,"COOPER ISD",08,792,97,219,14,0,14,508,791,384,0,-9999999,75
"STATE","DISTRICT","2013-2014",060914,"FANNINDEL ISD",08,200,5,62,-9999999,0,-9999999,165,200,85,0,0,23
"STATE","DISTRICT","2013-2014",061802,"TEXAS EDUCATION CENTERS",11,664,0,137,101,0,93,337,497,466,0,-9999999,89
"STATE","DISTRICT","2013-2014",061804,"LEADERSHIP PREP SCHOOL",10,425,0,0,36,0,44,17,0,52,-9999999,0,20
"STATE","DISTRICT","2013-2014",061901,"DENTON ISD",11,26312,2415,5585,3840,1980,1845,11207,6592,10115,26,56,2593
"STATE","DISTRICT","2013-2014",061902,"LEWISVILLE ISD",11,52801,5324,8345,7381,4100,3662,16260,17132,16032,225,49,5155
"STATE","DISTRICT","2013-2014",061903,"PILOT POINT ISD",11,1414,104,453,275,15,262,726,763,725,5,-9999999,105
"STATE","DISTRICT","2013-2014",061905,"KRUM ISD",11,1998,81,585,154,131,58,717,659,819,14,10,195
"STATE","DISTRICT","2013-2014",061906,"PONDER ISD",11,1255,118,354,61,0,61,494,577,447,5,-9999999,96
"STATE","DISTRICT","2013-2014",061907,"AUBREY ISD",11,2066,134,614,79,0,78,586,1072,678,33,-9999999,155
"STATE","DISTRICT","2013-2014",061908,"SANGER ISD",11,2677,96,745,160,24,136,1168,2676,968,16,5,252
"STATE","DISTRICT","2013-2014",061910,"ARGYLE ISD",11,1983,254,454,66,0,66,245,33,341,-9999999,-9999999,189
"STATE","DISTRICT","2013-2014",061911,"NORTHWEST ISD",11,18950,1690,4007,919,179,827,3606,4465,5796,32,19,1526
"STATE","DISTRICT","2013-2014",061912,"LAKE DALLAS ISD",11,3961,303,1206,278,132,140,1626,1749,1394,19,5,442
"STATE","DISTRICT","2013-2014",061914,"LITTLE ELM ISD",11,6637,264,1675,1134,572,545,3165,3037,3023,20,10,553
"STATE","DISTRICT","2013-2014",062901,"CUERO ISD",03,2111,72,534,58,0,58,1189,1508,1296,24,12,202
"STATE","DISTRICT","2013-2014",062902,"NORDHEIM ISD",03,173,-9999999,41,0,0,0,77,171,83,0,0,18
"STATE","DISTRICT","2013-2014",062903,"YOAKUM ISD",03,1619,66,325,241,18,220,1143,813,952,24,-9999999,173
"STATE","DISTRICT","2013-2014",062904,"YORKTOWN ISD",03,505,10,122,8,0,8,278,505,272,0,0,52
"STATE","DISTRICT","2013-2014",062905,"WESTHOFF ISD",03,69,11,0,-9999999,0,-9999999,35,68,15,0,0,-9999999
"STATE","DISTRICT","2013-2014",062906,"MEYERSVILLE ISD",03,116,-9999999,19,0,0,0,31,116,52,0,0,10
"STATE","DISTRICT","2013-2014",063903,"SPUR ISD",17,293,25,92,0,0,0,158,293,114,0,0,30
"STATE","DISTRICT","2013-2014",063906,"PATTON SPRINGS ISD",17,105,13,16,-9999999,0,-9999999,90,105,29,-9999999,0,12
"STATE","DISTRICT","2013-2014",064903,"CARRIZO SPRINGS CISD",20,2457,207,628,182,133,19,1849,2457,1644,-9999999,0,177
"STATE","DISTRICT","2013-2014",065901,"CLARENDON ISD",16,458,31,125,-9999999,0,-9999999,240,249,163,-9999999,-9999999,43
"STATE","DISTRICT","2013-2014",065902,"HEDLEY ISD",16,112,-9999999,57,0,0,0,83,112,26,0,0,16
"STATE","DISTRICT","2013-2014",066005,"RAMIREZ CSD",02,24,0,0,11,0,11,24,24,14,0,0,0
"STATE","DISTRICT","2013-2014",066901,"BENAVIDES ISD",02,371,21,107,27,-9999999,25,279,370,176,0,0,42
"STATE","DISTRICT","2013-2014",066902,"SAN DIEGO ISD",02,1346,87,261,42,0,36,1038,1346,950,-9999999,0,102
"STATE","DISTRICT","2013-2014",066903,"FREER ISD",02,834,40,239,37,0,34,566,830,468,0,0,94
"STATE","DISTRICT","2013-2014",067902,"CISCO ISD",14,880,63,252,15,0,13,541,880,278,-9999999,0,85
"STATE","DISTRICT","2013-2014",067903,"EASTLAND ISD",14,1081,34,280,81,0,82,555,792,500,-9999999,6,92
"STATE","DISTRICT","2013-2014",067904,"GORMAN ISD",14,313,13,83,9,0,8,210,168,114,5,-9999999,39
"STATE","DISTRICT","2013-2014",067907,"RANGER ISD",14,472,32,126,9,0,9,361,253,154,0,0,54
"STATE","DISTRICT","2013-2014",067908,"RISING STAR ISD",14,180,6,80,17,0,17,145,100,88,0,-9999999,16
"STATE","DISTRICT","2013-2014",068801,"RICHARD MILBURN ACADEMY (ECTOR COU",18,714,0,285,10,0,5,430,714,635,0,-9999999,69
"STATE","DISTRICT","2013-2014",068802,"COMPASS ACADEMY CHARTER SCHOOL",18,465,40,0,-9999999,0,-9999999,135,0,205,0,0,19
"STATE","DISTRICT","2013-2014",068901,"ECTOR COUNTY ISD",18,30857,2319,4617,4543,3572,1095,15645,16682,19298,5,34,2201
"STATE","DISTRICT","2013-2014",069901,"ROCKSPRINGS ISD",15,276,14,70,17,0,16,206,276,133,0,0,25
"STATE","DISTRICT","2013-2014",069902,"NUECES CANYON CISD",15,293,14,107,-9999999,0,-9999999,207,293,85,0,0,32
"STATE","DISTRICT","2013-2014",070801,"WAXAHACHIE FAITH FAMILY ACADEMY",10,414,0,67,51,0,49,180,414,292,-9999999,15,26
"STATE","DISTRICT","2013-2014",070901,"AVALON ISD",10,337,15,81,12,0,12,205,337,92,-9999999,0,39
"STATE","DISTRICT","2013-2014",070903,"ENNIS ISD",10,5703,431,1379,788,426,359,3990,4151,2900,6,-9999999,550
"STATE","DISTRICT","2013-2014",070905,"FERRIS ISD",10,2473,84,656,559,145,395,1980,1430,1335,12,5,221
"STATE","DISTRICT","2013-2014",070907,"ITALY ISD",10,518,25,138,46,0,45,296,280,218,0,0,52
"STATE","DISTRICT","2013-2014",070908,"MIDLOTHIAN ISD",10,7720,514,1602,280,137,140,1807,1107,2972,104,42,717
"STATE","DISTRICT","2013-2014",070909,"MILFORD ISD",10,246,9,49,19,0,24,187,246,137,-9999999,-9999999,26
"STATE","DISTRICT","2013-2014",070910,"PALMER ISD",10,1158,47,325,92,13,77,655,844,412,-9999999,-9999999,157
"STATE","DISTRICT","2013-2014",070911,"RED OAK ISD",10,5584,521,1804,450,123,290,2448,1522,2332,17,27,571
"STATE","DISTRICT","2013-2014",070912,"WAXAHACHIE ISD",10,7814,342,2228,533,339,144,3901,7166,3492,48,62,792
"STATE","DISTRICT","2013-2014",070915,"MAYPEARL ISD",10,1037,41,266,40,0,40,409,483,310,0,-9999999,115
"STATE","DISTRICT","2013-2014",071801,"BURNHAM WOOD CHARTER SCHOOL DISTRI",19,914,0,0,152,97,32,419,914,210,-9999999,0,38
"STATE","DISTRICT","2013-2014",071803,"PASO DEL NORTE ACADEMY CHARTER DIS",19,321,0,71,-9999999,0,-9999999,300,321,310,5,0,10
"STATE","DISTRICT","2013-2014",071804,"EL PASO ACADEMY",19,436,10,216,34,0,30,297,436,409,-9999999,0,30
"STATE","DISTRICT","2013-2014",071806,"HARMONY SCIENCE ACAD (EL PASO)",19,1740,58,176,319,0,263,1295,1740,720,0,0,95
"STATE","DISTRICT","2013-2014",071807,"LA FE PREPARATORY SCHOOL",19,275,0,0,211,237,0,258,275,216,0,0,16
"STATE","DISTRICT","2013-2014",071809,"VISTA DEL FUTURO CHARTER SCHOOL",19,255,0,0,63,55,0,143,255,79,0,0,14
"STATE","DISTRICT","2013-2014",071901,"CLINT ISD",19,11850,363,2965,4088,2980,772,10116,11825,7470,315,9,762
"STATE","DISTRICT","2013-2014",071902,"EL PASO ISD",19,61620,7462,15935,15084,10048,3655,42845,55023,36744,6386,40,5910
"STATE","DISTRICT","2013-2014",071903,"FABENS ISD",19,2355,188,592,981,483,295,2104,2355,1652,16,0,256
"STATE","DISTRICT","2013-2014",071904,"SAN ELIZARIO ISD",19,4128,171,1138,2031,1399,349,3841,4128,2944,18,5,323
"STATE","DISTRICT","2013-2014",071905,"YSLETA ISD",19,43063,3268,11833,10455,9693,2130,34823,42934,24218,1247,43,4481
"STATE","DISTRICT","2013-2014",071906,"ANTHONY ISD",19,814,44,138,213,104,43,814,814,522,0,0,70
"STATE","DISTRICT","2013-2014",071907,"CANUTILLO ISD",19,6001,456,2557,1645,1276,527,4476,6001,3457,153,9,561
"STATE","DISTRICT","2013-2014",071908,"TORNILLO ISD",19,1343,95,410,599,244,95,1261,1343,926,0,0,69
"STATE","DISTRICT","2013-2014",071909,"SOCORRO ISD",19,44517,2527,13587,8941,6218,2036,32085,44517,22130,3041,38,3538
"STATE","DISTRICT","2013-2014",072801,"PREMIER HIGH SCHOOLS",11,3430,0,99,1021,0,1021,2261,3261,3055,23,-9999999,259
"STATE","DISTRICT","2013-2014",072802,"ERATH EXCELS ACADEMY INC",11,212,0,85,14,0,14,183,212,183,0,6,25
"STATE","DISTRICT","2013-2014",072901,"THREE WAY ISD",11,61,0,0,18,0,18,48,61,26,-9999999,0,5
"STATE","DISTRICT","2013-2014",072902,"DUBLIN ISD",11,1182,117,287,252,33,217,898,1177,686,-9999999,5,69
