Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2013-2014

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES"
"STATE","DISTRICT","2013-2014",014804,"ORENDA CHARTER SCHOOL",12,1206,0,-9999999,15,0,10,307,126,497,-9999999,113,147
"STATE","DISTRICT","2013-2014",014901,"ACADEMY ISD",12,1271,100,284,57,0,55,461,1271,435,33,-9999999,91
"STATE","DISTRICT","2013-2014",014902,"BARTLETT ISD",13,395,7,132,44,0,43,288,394,249,-9999999,0,37
"STATE","DISTRICT","2013-2014",014903,"BELTON ISD",12,10343,872,2197,715,336,365,5200,4536,4646,732,25,1112
"STATE","DISTRICT","2013-2014",014905,"HOLLAND ISD",12,633,42,184,19,0,19,320,442,215,-9999999,0,54
"STATE","DISTRICT","2013-2014",014906,"KILLEEN ISD",12,41402,1526,6539,3456,747,2378,23720,21871,21688,18221,317,4713
"STATE","DISTRICT","2013-2014",014907,"ROGERS ISD",12,862,66,301,31,0,31,428,862,342,-9999999,0,62
"STATE","DISTRICT","2013-2014",014908,"SALADO ISD",12,1471,73,374,101,0,100,403,767,485,75,7,92
"STATE","DISTRICT","2013-2014",014909,"TEMPLE ISD",12,8684,707,1486,798,503,334,6638,6626,5107,75,22,788
"STATE","DISTRICT","2013-2014",014910,"TROY ISD",12,1435,83,327,39,0,39,688,1027,532,26,-9999999,135
"STATE","DISTRICT","2013-2014",015801,"POR VIDA ACADEMY",20,307,0,156,-9999999,0,-9999999,212,190,199,0,0,52
"STATE","DISTRICT","2013-2014",015802,"GEORGE GERVIN ACADEMY",20,1331,0,58,276,96,180,1288,1331,1163,9,0,42
"STATE","DISTRICT","2013-2014",015803,"HIGGS CARTER KING GIFTED & TALENTE",20,485,0,48,48,0,48,459,485,81,-9999999,-9999999,28
"STATE","DISTRICT","2013-2014",015805,"NEW FRONTIERS CHARTER SCHOOL",20,615,0,0,70,0,62,549,615,454,7,-9999999,54
"STATE","DISTRICT","2013-2014",015806,"SCHOOL OF EXCELLENCE IN EDUCATION",20,1384,0,207,177,0,174,1281,1384,974,5,21,94
"STATE","DISTRICT","2013-2014",015807,"SOUTHWEST PREPARATORY SCHOOL",20,627,26,322,77,0,53,483,627,501,0,-9999999,80
"STATE","DISTRICT","2013-2014",015808,"JOHN H WOOD JR PUBLIC CHARTER DIST",20,489,0,0,27,0,26,489,489,489,30,88,200
"STATE","DISTRICT","2013-2014",015809,"BEXAR COUNTY ACADEMY",20,505,0,0,102,34,61,177,505,385,-9999999,-9999999,58
