PEIMS DATA FOR SCHOOL YEAR 2016-2017
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Group","Ethnicity Name","Enrollment by Ethnicity"
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Black or African American",198
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","American Indian or Alaska Native",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Asian",77
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Hispanic",2094
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","Two or More Races",50
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"HIGH SCHOOL","White",259
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Black or African American",19
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","American Indian or Alaska Native",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Asian",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Hispanic",438
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","Two or More Races",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"ELEMENTARY","White",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Black or African American",15
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","American Indian or Alaska Native",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Asian",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Hispanic",74
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Native Hawaiian/Other or Pacific Islander",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","Two or More Races",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"ELEMENTARY / SECONDARY","White",16
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Black or African American",123
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","American Indian or Alaska Native",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Asian",180
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Hispanic",710
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Native Hawaiian/Other or Pacific Islander",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","Two or More Races",83
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"HIGH SCHOOL","White",1114
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Black or African American",78
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","American Indian or Alaska Native",-9999999
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Asian",15
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Hispanic",461
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Native Hawaiian/Other or Pacific Islander",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","Two or More Races",5
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"ELEMENTARY","White",11
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Black or African American",100
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","American Indian or Alaska Native",0
"2016-2017",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"HIGH SCHOOL","Asian",38
