Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2014-2015

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2014-2015",001902,"CAYUGA ISD",07,577,60,181,-9999999,0,-9999999,210,577,206,6,-9999999,76,33
"STATE","DISTRICT","2014-2015",001903,"ELKHART ISD",07,1217,47,273,16,0,16,648,861,406,0,-9999999,126,36
"STATE","DISTRICT","2014-2015",001904,"FRANKSTON ISD",07,803,46,213,19,0,19,446,803,334,8,11,78,37
"STATE","DISTRICT","2014-2015",001906,"NECHES ISD",07,370,24,118,-9999999,0,-9999999,156,370,117,-9999999,0,41,9
"STATE","DISTRICT","2014-2015",001907,"PALESTINE ISD",07,3353,103,1096,523,121,349,2458,3353,2069,32,10,293,20
"STATE","DISTRICT","2014-2015",001908,"WESTWOOD ISD",07,1596,33,334,95,0,86,1020,919,796,13,20,149,0
"STATE","DISTRICT","2014-2015",001909,"SLOCUM ISD",07,389,16,148,0,0,0,163,389,138,0,-9999999,48,0
"STATE","DISTRICT","2014-2015",002901,"ANDREWS ISD",18,4015,119,867,507,428,98,1466,3976,1690,0,5,265,26
"STATE","DISTRICT","2014-2015",003801,"PINEYWOODS COMMUNITY ACADEMY",07,811,60,75,41,0,41,407,811,273,15,6,49,27
"STATE","DISTRICT","2014-2015",003902,"HUDSON ISD",07,2816,148,694,178,0,168,1499,2816,988,13,14,200,85
"STATE","DISTRICT","2014-2015",003903,"LUFKIN ISD",07,8348,876,1641,1548,1217,729,6159,131,5106,29,20,883,189
"STATE","DISTRICT","2014-2015",003904,"HUNTINGTON ISD",07,1757,91,537,17,0,17,890,1757,810,7,16,171,105
"STATE","DISTRICT","2014-2015",003905,"DIBOLL ISD",07,1940,75,475,367,198,156,1306,1939,1147,9,-9999999,213,35
"STATE","DISTRICT","2014-2015",003906,"ZAVALLA ISD",07,412,20,138,0,0,0,245,412,184,-9999999,-9999999,57,8
"STATE","DISTRICT","2014-2015",003907,"CENTRAL ISD",07,1579,58,437,52,0,52,837,1579,703,0,-9999999,166,29
"STATE","DISTRICT","2014-2015",004901,"ARANSAS COUNTY ISD",02,3254,130,882,119,0,118,1802,3254,1598,33,20,286,112
"STATE","DISTRICT","2014-2015",005901,"ARCHER CITY ISD",09,485,37,137,8,0,6,179,252,152,5,0,55,21
"STATE","DISTRICT","2014-2015",005902,"HOLLIDAY ISD",09,902,48,211,-9999999,0,-9999999,213,644,319,26,-9999999,82,53
