Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2014-2015

"SCOPE","AGG_LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","TOTAL ENROLLMENT","TOTAL G & T STUDENTS","TOTAL CTE STUDENTS","TOTAL LEP STUDENTS","TOTAL BILINGUAL STUDENTS","TOTAL ESL STUDENTS","TOTAL ECONOMICALLY DISADVANTAGED STUDENTS","TOTAL TITLE I STUDENTS","TOTAL AT RISK STUDENTS","TOTAL MILITARY CONNECTED STUDENTS","TOTAL FOSTER CARE STUDENTS","TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES","TOTAL DYSLEXIC STUDENTS"
"STATE","DISTRICT","2014-2015",005904,"WINDTHORST ISD",09,458,36,198,38,0,38,158,185,200,-9999999,0,35,37
"STATE","DISTRICT","2014-2015",006902,"CLAUDE ISD",16,357,9,92,-9999999,0,-9999999,146,357,119,-9999999,0,37,14
"STATE","DISTRICT","2014-2015",007901,"CHARLOTTE ISD",20,514,11,123,32,0,27,356,514,349,-9999999,0,54,0
"STATE","DISTRICT","2014-2015",007902,"JOURDANTON ISD",20,1638,83,500,35,0,35,919,1131,767,32,6,138,38
"STATE","DISTRICT","2014-2015",007904,"LYTLE ISD",20,1724,75,545,146,0,138,1229,1204,900,7,7,116,46
"STATE","DISTRICT","2014-2015",007905,"PLEASANTON ISD",20,3569,149,961,110,0,109,1821,3558,1677,19,5,257,134
"STATE","DISTRICT","2014-2015",007906,"POTEET ISD",20,1745,93,478,78,0,70,1337,1745,1024,-9999999,-9999999,137,89
"STATE","DISTRICT","2014-2015",008901,"BELLVILLE ISD",06,2165,230,546,182,13,169,997,871,906,13,-9999999,179,92
"STATE","DISTRICT","2014-2015",008902,"SEALY ISD",06,2803,159,671,348,219,122,1587,1320,1278,6,5,234,94
"STATE","DISTRICT","2014-2015",008903,"BRAZOS ISD",06,836,24,249,96,0,93,475,414,368,-9999999,33,57,10
"STATE","DISTRICT","2014-2015",009901,"MULESHOE ISD",17,1423,30,308,278,219,57,1210,1423,732,-9999999,8,153,13
"STATE","DISTRICT","2014-2015",010901,"MEDINA ISD",20,269,13,93,19,0,19,163,269,118,0,0,33,10
"STATE","DISTRICT","2014-2015",010902,"BANDERA ISD",20,2280,132,637,87,0,83,1154,1097,1034,36,27,239,39
"STATE","DISTRICT","2014-2015",011901,"BASTROP ISD",13,9928,700,2303,2256,1521,549,6651,5588,6305,99,37,1076,647
"STATE","DISTRICT","2014-2015",011902,"ELGIN ISD",13,4277,355,1281,897,636,300,3110,2104,2837,17,7,389,243
"STATE","DISTRICT","2014-2015",011904,"SMITHVILLE ISD",13,1763,125,408,85,0,83,1003,1763,720,-9999999,5,142,62
"STATE","DISTRICT","2014-2015",011905,"MCDADE ISD",13,206,8,0,58,0,55,142,206,149,0,-9999999,21,-9999999
"STATE","DISTRICT","2014-2015",012901,"SEYMOUR ISD",09,594,18,154,-9999999,0,-9999999,314,594,166,-9999999,-9999999,64,49
"STATE","DISTRICT","2014-2015",013801,"ST MARY'S ACADEMY CHARTER SCHOOL",02,450,23,0,7,0,7,323,450,213,10,9,24,5
"STATE","DISTRICT","2014-2015",013901,"BEEVILLE ISD",02,3431,181,873,102,0,81,2595,3402,2215,-9999999,20,333,28
"STATE","DISTRICT","2014-2015",013902,"PAWNEE ISD",02,182,9,0,-9999999,0,7,118,182,47,6,0,16,6
"STATE","DISTRICT","2014-2015",013903,"PETTUS ISD",02,432,17,177,-9999999,0,-9999999,240,431,218,-9999999,47,53,0
"STATE","DISTRICT","2014-2015",013905,"SKIDMORE-TYNAN ISD",02,805,42,262,9,0,8,409,805,349,0,6,84,-9999999
"STATE","DISTRICT","2014-2015",014801,"RICHARD MILBURN ALTER HIGH SCHOOL",12,1705,0,1179,9,0,5,1233,1705,1508,-9999999,0,167,9
"STATE","DISTRICT","2014-2015",014802,"TRANSFORMATIVE CHARTER ACADEMY",12,72,0,30,0,0,0,47,72,72,0,0,-9999999,0
"STATE","DISTRICT","2014-2015",014803,"PRIORITY CHARTER SCHOOLS",12,914,0,0,11,0,11,463,695,189,134,6,88,0
"STATE","DISTRICT","2014-2015",014804,"ORENDA CHARTER SCHOOL",12,1322,0,32,14,0,10,318,129,477,35,117,147,44
"STATE","DISTRICT","2014-2015",014901,"ACADEMY ISD",12,1364,91,341,57,0,57,538,1364,465,35,5,98,32
"STATE","DISTRICT","2014-2015",014902,"BARTLETT ISD",13,395,5,135,44,0,43,304,388,231,-9999999,0,42,17
"STATE","DISTRICT","2014-2015",014903,"BELTON ISD",12,10542,938,2358,738,388,340,4810,5935,4839,836,58,1146,295
"STATE","DISTRICT","2014-2015",014905,"HOLLAND ISD",12,653,38,205,20,0,20,314,442,206,6,0,55,28
"STATE","DISTRICT","2014-2015",014906,"KILLEEN ISD",12,42638,1437,7417,3677,775,2475,24454,22615,23139,19275,273,4802,1700
"STATE","DISTRICT","2014-2015",014907,"ROGERS ISD",12,857,69,292,34,0,34,395,375,323,-9999999,12,59,41
"STATE","DISTRICT","2014-2015",014908,"SALADO ISD",12,1563,79,435,123,0,122,399,848,515,116,11,82,53
"STATE","DISTRICT","2014-2015",014909,"TEMPLE ISD",12,8635,715,1887,813,535,341,6521,6579,5290,118,39,785,425
"STATE","DISTRICT","2014-2015",014910,"TROY ISD",12,1468,91,343,40,0,40,704,1042,574,27,9,154,73
"STATE","DISTRICT","2014-2015",015801,"POR VIDA ACADEMY",20,352,0,162,-9999999,0,-9999999,224,172,253,0,0,35,0
"STATE","DISTRICT","2014-2015",015802,"GEORGE GERVIN ACADEMY",20,1123,0,55,149,86,75,1121,1123,992,11,8,55,6
"STATE","DISTRICT","2014-2015",015803,"HIGGS CARTER KING GIFTED & TALENTE",20,469,0,0,32,0,32,463,469,56,6,-9999999,17,5
"STATE","DISTRICT","2014-2015",015805,"NEW FRONTIERS CHARTER SCHOOL",20,675,0,0,76,0,73,573,675,470,11,-9999999,55,12
"STATE","DISTRICT","2014-2015",015806,"SCHOOL OF EXCELLENCE IN EDUCATION",20,1115,0,204,172,0,170,1044,1115,802,15,14,76,42
"STATE","DISTRICT","2014-2015",015807,"SOUTHWEST PREPARATORY SCHOOL",20,898,38,388,114,0,58,721,898,742,-9999999,-9999999,100,-9999999
"STATE","DISTRICT","2014-2015",015808,"JOHN H WOOD JR PUBLIC CHARTER DIST",20,773,0,0,31,0,27,636,773,648,16,59,270,-9999999
"STATE","DISTRICT","2014-2015",015809,"BEXAR COUNTY ACADEMY",20,432,0,0,87,23,60,367,432,323,0,-9999999,51,17
"STATE","DISTRICT","2014-2015",015814,"POSITIVE SOLUTIONS CHARTER SCHOOL",20,172,0,11,17,0,15,160,172,158,0,0,18,0
"STATE","DISTRICT","2014-2015",015815,"RADIANCE ACADEMY OF LEARNING",20,579,0,222,133,0,130,389,579,469,8,-9999999,36,13
"STATE","DISTRICT","2014-2015",015816,"ACADEMY OF CAREERS AND TECHNOLOGIE",20,222,-9999999,222,-9999999,0,7,81,222,217,0,0,11,0
"STATE","DISTRICT","2014-2015",015819,"SHEKINAH RADIANCE ACADEMY",20,749,11,131,35,0,31,526,458,598,-9999999,-9999999,56,33
"STATE","DISTRICT","2014-2015",015820,"SAN ANTONIO SCHOOL FOR INQUIRY & C",20,438,34,229,0,0,0,385,438,386,0,-9999999,65,19
"STATE","DISTRICT","2014-2015",015822,"JUBILEE ACADEMIC CENTER",20,4251,143,150,747,314,338,2968,3833,2295,11,24,265,101
"STATE","DISTRICT","2014-2015",015823,"SAN ANTONIO TECHNOLOGY ACADEMY",20,58,0,25,-9999999,0,-9999999,56,58,55,0,0,6,0
"STATE","DISTRICT","2014-2015",015825,"LIGHTHOUSE CHARTER SCHOOL",20,262,0,0,60,0,60,232,262,192,-9999999,0,22,0
"STATE","DISTRICT","2014-2015",015826,"KIPP SAN ANTONIO",20,1920,0,44,483,507,290,1644,1806,875,5,0,150,37
"STATE","DISTRICT","2014-2015",015827,"SCHOOL OF SCIENCE AND TECHNOLOGY",20,844,56,174,55,0,52,482,844,288,0,0,59,13
"STATE","DISTRICT","2014-2015",015828,"HARMONY SCIENCE ACAD (SAN ANTONIO)",20,3150,169,589,596,0,523,2149,2651,1365,0,0,158,32
"STATE","DISTRICT","2014-2015",015830,"BROOKS ACADEMY OF SCIENCE AND ENGI",20,1777,57,714,125,54,58,1227,1777,985,48,6,72,18
"STATE","DISTRICT","2014-2015",015831,"SCHOOL OF SCIENCE AND TECHNOLOGY D",20,1082,62,51,63,0,59,672,1082,315,0,0,72,11
"STATE","DISTRICT","2014-2015",015832,"CITY CENTER HEALTH CAREERS",20,111,7,42,32,0,32,97,111,79,0,0,10,-9999999
"STATE","DISTRICT","2014-2015",015833,"HENRY FORD ACADEMY ALAMEDA SCHOOL",20,158,0,60,-9999999,0,-9999999,108,158,103,5,0,20,0
"STATE","DISTRICT","2014-2015",015834,"BASIS TEXAS",20,1052,0,0,-9999999,0,-9999999,0,0,-9999999,0,0,0,0
"STATE","DISTRICT","2014-2015",015835,"GREAT HEARTS TEXAS",20,572,0,0,13,0,11,80,0,33,-9999999,0,20,0
"STATE","DISTRICT","2014-2015",015836,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",20,258,0,0,8,0,7,49,0,47,16,0,7,6
"STATE","DISTRICT","2014-2015",015901,"ALAMO HEIGHTS ISD",20,4763,849,553,233,203,90,979,86,1347,8,-9999999,337,224
"STATE","DISTRICT","2014-2015",015904,"HARLANDALE ISD",20,15289,894,4258,2557,2418,729,13510,15079,10671,101,36,1424,679
"STATE","DISTRICT","2014-2015",015905,"EDGEWOOD ISD",20,11735,707,2186,2188,1708,459,11047,11735,9189,56,18,1083,461
"STATE","DISTRICT","2014-2015",015906,"RANDOLPH FIELD ISD",20,1293,100,333,6,0,5,116,42,222,1067,0,73,13
"STATE","DISTRICT","2014-2015",015907,"SAN ANTONIO ISD",20,53750,2569,10214,10207,6314,2516,49243,53394,38292,352,255,5541,2062
"STATE","DISTRICT","2014-2015",015908,"SOUTH SAN ANTONIO ISD",20,9960,470,2240,1514,1080,354,9205,9960,7157,40,34,740,172
"STATE","DISTRICT","2014-2015",015909,"SOMERSET ISD",20,3964,184,1068,547,385,98,3140,3948,2484,9,30,351,183
"STATE","DISTRICT","2014-2015",015910,"NORTH EAST ISD",20,67971,3884,12214,6931,4547,3247,30610,17724,26141,3533,186,6332,998
"STATE","DISTRICT","2014-2015",015911,"EAST CENTRAL ISD",20,9836,625,1912,905,1105,148,6268,5657,5651,147,61,1033,638
"STATE","DISTRICT","2014-2015",015912,"SOUTHWEST ISD",20,13524,761,2679,2036,1471,536,11172,13286,9270,341,64,1395,397
"STATE","DISTRICT","2014-2015",015913,"LACKLAND ISD",20,884,49,244,17,0,17,303,108,203,806,-9999999,96,-9999999
"STATE","DISTRICT","2014-2015",015914,"FT SAM HOUSTON ISD",20,1514,65,227,53,0,51,450,0,403,1302,-9999999,198,0
"STATE","DISTRICT","2014-2015",015915,"NORTHSIDE ISD",20,103606,9387,21023,8173,4456,3118,52784,42107,41313,6973,383,11603,2751
"STATE","DISTRICT","2014-2015",015916,"JUDSON ISD",20,23340,1754,5631,2026,1363,668,14767,9171,17106,2157,175,2327,1244
"STATE","DISTRICT","2014-2015",015917,"SOUTHSIDE ISD",20,5335,410,1637,799,616,178,4159,5315,3537,44,63,551,271
"STATE","DISTRICT","2014-2015",016901,"JOHNSON CITY ISD",13,683,31,205,46,0,46,266,251,231,-9999999,-9999999,78,31
"STATE","DISTRICT","2014-2015",016902,"BLANCO ISD",13,998,80,227,66,0,66,507,488,404,0,0,93,31
"STATE","DISTRICT","2014-2015",017901,"BORDEN COUNTY ISD",17,249,9,93,-9999999,0,-9999999,60,249,42,0,0,17,0
"STATE","DISTRICT","2014-2015",018901,"CLIFTON ISD",12,1026,53,283,82,0,81,554,1026,493,-9999999,-9999999,109,27
"STATE","DISTRICT","2014-2015",018902,"MERIDIAN ISD",12,494,35,130,28,0,27,310,240,184,0,10,62,16
"STATE","DISTRICT","2014-2015",018903,"MORGAN ISD",12,108,0,43,7,0,9,104,108,50,0,0,20,0
"STATE","DISTRICT","2014-2015",018904,"VALLEY MILLS ISD",12,621,21,104,48,0,48,384,621,292,-9999999,0,79,26
"STATE","DISTRICT","2014-2015",018905,"WALNUT SPRINGS ISD",12,172,18,57,31,0,31,143,172,88,-9999999,-9999999,21,20
"STATE","DISTRICT","2014-2015",018906,"IREDELL ISD",12,134,-9999999,61,-9999999,0,-9999999,70,134,62,0,0,14,-9999999
"STATE","DISTRICT","2014-2015",018907,"KOPPERL ISD",12,232,5,81,0,0,0,164,232,119,0,0,31,-9999999
"STATE","DISTRICT","2014-2015",018908,"CRANFILLS GAP ISD",12,125,0,55,8,0,8,83,125,70,0,0,13,0
"STATE","DISTRICT","2014-2015",019901,"DEKALB ISD",08,801,48,272,51,0,43,535,801,270,0,0,90,9
"STATE","DISTRICT","2014-2015",019902,"HOOKS ISD",08,857,26,294,27,0,27,476,857,285,0,-9999999,96,0
"STATE","DISTRICT","2014-2015",019903,"MAUD ISD",08,484,20,158,0,0,0,272,484,177,5,0,55,32
"STATE","DISTRICT","2014-2015",019905,"NEW BOSTON ISD",08,1372,75,350,16,0,16,830,1372,581,0,0,189,62
"STATE","DISTRICT","2014-2015",019906,"REDWATER ISD",08,1148,102,416,-9999999,0,-9999999,462,1113,279,-9999999,0,91,64
"STATE","DISTRICT","2014-2015",019907,"TEXARKANA ISD",08,7200,402,1680,411,255,159,4947,4765,3621,64,-9999999,693,161
"STATE","DISTRICT","2014-2015",019908,"LIBERTY-EYLAU ISD",08,2560,135,733,43,0,43,2092,1135,1368,10,-9999999,323,36
"STATE","DISTRICT","2014-2015",019909,"SIMMS ISD",08,507,23,180,0,0,0,283,505,248,0,-9999999,85,10
"STATE","DISTRICT","2014-2015",019910,"MALTA ISD",08,128,6,0,-9999999,0,-9999999,71,128,24,0,0,12,-9999999
"STATE","DISTRICT","2014-2015",019911,"RED LICK ISD",08,533,64,0,-9999999,0,-9999999,53,140,92,-9999999,0,34,23
"STATE","DISTRICT","2014-2015",019912,"PLEASANT GROVE ISD",08,2120,344,591,48,0,46,593,639,803,37,-9999999,186,116
"STATE","DISTRICT","2014-2015",019913,"HUBBARD ISD",08,88,-9999999,10,7,0,7,49,88,26,0,-9999999,10,-9999999
"STATE","DISTRICT","2014-2015",019914,"LEARY ISD",08,113,-9999999,0,0,0,0,76,113,46,0,0,7,-9999999
"STATE","DISTRICT","2014-2015",020901,"ALVIN ISD",04,20866,1743,4418,3424,1791,1615,10271,11204,9256,129,92,1972,666
"STATE","DISTRICT","2014-2015",020902,"ANGLETON ISD",04,6734,287,1432,630,727,181,4095,4734,3643,45,-9999999,561,0
"STATE","DISTRICT","2014-2015",020904,"DANBURY ISD",04,785,67,225,32,0,32,249,422,336,-9999999,-9999999,63,14
"STATE","DISTRICT","2014-2015",020905,"BRAZOSPORT ISD",04,12411,948,3292,1124,679,356,6837,6068,6496,48,30,1037,186
"STATE","DISTRICT","2014-2015",020906,"SWEENY ISD",04,1903,126,775,50,0,49,924,1896,612,0,-9999999,156,84
"STATE","DISTRICT","2014-2015",020907,"COLUMBIA-BRAZORIA ISD",04,3083,113,707,143,0,111,1634,1783,1404,7,-9999999,252,107
"STATE","DISTRICT","2014-2015",020908,"PEARLAND ISD",04,20550,1697,5212,1587,904,655,5555,4280,6045,131,54,1802,610
"STATE","DISTRICT","2014-2015",020910,"DAMON ISD",04,189,23,15,33,0,31,189,189,117,-9999999,-9999999,22,7
"STATE","DISTRICT","2014-2015",021803,"BRAZOS SCHOOL FOR INQUIRY & CREATI",06,434,0,0,89,0,82,398,434,260,-9999999,0,27,-9999999
"STATE","DISTRICT","2014-2015",021805,"ARROW ACADEMY",06,844,0,0,220,147,68,625,753,613,-9999999,-9999999,31,8
"STATE","DISTRICT","2014-2015",021901,"COLLEGE STATION ISD",06,12534,1469,2766,969,774,538,4231,2034,3002,21,-9999999,1051,355
"STATE","DISTRICT","2014-2015",021902,"BRYAN ISD",06,15984,2033,3417,3550,2587,1085,11746,11349,10447,32,64,1338,857
"STATE","DISTRICT","2014-2015",022004,"TERLINGUA CSD",18,87,5,12,29,0,29,68,87,51,0,0,10,0
"STATE","DISTRICT","2014-2015",022901,"ALPINE ISD",18,1013,77,296,83,0,79,491,1013,695,-9999999,0,85,14
"STATE","DISTRICT","2014-2015",022902,"MARATHON ISD",18,42,-9999999,14,0,0,0,28,42,10,0,0,6,0
"STATE","DISTRICT","2014-2015",022903,"SAN VICENTE ISD",18,29,0,0,0,0,0,8,0,12,0,0,-9999999,0
"STATE","DISTRICT","2014-2015",023902,"SILVERTON ISD",16,185,9,66,15,0,16,100,185,54,0,0,18,14
"STATE","DISTRICT","2014-2015",024901,"BROOKS COUNTY ISD",02,1539,63,459,33,0,31,1276,1538,973,0,0,131,19
"STATE","DISTRICT","2014-2015",025901,"BANGS ISD",15,1022,79,302,16,0,16,422,703,390,12,17,110,58
"STATE","DISTRICT","2014-2015",025902,"BROWNWOOD ISD",15,3598,227,1093,114,0,108,2383,3598,1644,65,77,310,85
"STATE","DISTRICT","2014-2015",025904,"BLANKET ISD",15,210,9,70,-9999999,0,-9999999,103,210,83,5,15,32,-9999999
"STATE","DISTRICT","2014-2015",025905,"MAY ISD",15,295,21,87,9,0,9,169,160,92,0,5,24,-9999999
"STATE","DISTRICT","2014-2015",025906,"ZEPHYR ISD",15,208,15,78,0,0,0,134,208,77,0,-9999999,13,9
"STATE","DISTRICT","2014-2015",025908,"BROOKESMITH ISD",15,181,7,44,-9999999,0,-9999999,112,181,48,-9999999,0,25,-9999999
"STATE","DISTRICT","2014-2015",025909,"EARLY ISD",15,1229,107,337,18,0,17,541,570,481,18,26,133,32
"STATE","DISTRICT","2014-2015",026901,"CALDWELL ISD",06,1773,122,476,188,31,155,944,1233,787,11,10,119,89
"STATE","DISTRICT","2014-2015",026902,"SOMERVILLE ISD",06,468,27,75,41,0,40,342,289,296,-9999999,-9999999,54,11
"STATE","DISTRICT","2014-2015",026903,"SNOOK ISD",06,517,39,155,21,0,22,341,517,274,0,-9999999,43,21
"STATE","DISTRICT","2014-2015",027903,"BURNET CISD",13,3140,94,935,218,51,164,1775,2253,1323,31,20,328,147
"STATE","DISTRICT","2014-2015",027904,"MARBLE FALLS ISD",13,4064,281,1143,523,305,209,2421,2855,1919,16,16,430,164
"STATE","DISTRICT","2014-2015",028902,"LOCKHART ISD",13,5365,347,1519,826,507,204,3758,2736,2974,35,35,676,158
"STATE","DISTRICT","2014-2015",028903,"LULING ISD",13,1384,67,444,184,99,88,993,1382,803,0,5,138,55
"STATE","DISTRICT","2014-2015",028906,"PRAIRIE LEA ISD",13,163,23,65,-9999999,0,-9999999,131,160,40,-9999999,0,16,9
"STATE","DISTRICT","2014-2015",029901,"CALHOUN COUNTY ISD",03,4224,305,1281,476,103,367,2564,3029,2217,12,-9999999,345,88
"STATE","DISTRICT","2014-2015",030901,"CROSS PLAINS ISD",14,350,33,116,11,0,11,199,208,139,0,-9999999,33,7
"STATE","DISTRICT","2014-2015",030902,"CLYDE CISD",14,1454,65,401,8,0,9,683,1057,647,41,13,145,30
"STATE","DISTRICT","2014-2015",030903,"BAIRD ISD",14,322,11,90,-9999999,0,-9999999,217,151,166,-9999999,0,36,10
"STATE","DISTRICT","2014-2015",030906,"EULA ISD",14,405,15,129,0,0,0,209,226,163,9,6,39,15
"STATE","DISTRICT","2014-2015",031901,"BROWNSVILLE ISD",01,48355,4952,14624,15697,11372,3772,45779,48355,31482,157,62,4991,1471
"STATE","DISTRICT","2014-2015",031903,"HARLINGEN CISD",01,18681,1141,5446,2678,2390,591,13747,13197,11034,205,38,1625,219
"STATE","DISTRICT","2014-2015",031905,"LA FERIA ISD",01,3602,184,805,524,395,75,2989,3592,1726,23,21,277,141
"STATE","DISTRICT","2014-2015",031906,"LOS FRESNOS CISD",01,10649,794,2680,2357,1680,462,8333,10649,4714,144,29,813,585
"STATE","DISTRICT","2014-2015",031909,"POINT ISABEL ISD",01,2505,130,687,896,615,214,1893,2505,1695,8,-9999999,222,11
"STATE","DISTRICT","2014-2015",031911,"RIO HONDO ISD",01,2183,97,672,323,213,74,1823,2180,1203,21,14,178,32
"STATE","DISTRICT","2014-2015",031912,"SAN BENITO CISD",01,11035,332,3270,2612,1604,651,8444,10955,6956,113,37,838,85
"STATE","DISTRICT","2014-2015",031913,"SANTA MARIA ISD",01,719,78,246,268,180,82,684,717,560,0,0,47,-9999999
"STATE","DISTRICT","2014-2015",031914,"SANTA ROSA ISD",01,1150,38,349,180,128,33,1031,1150,758,7,16,84,-9999999
"STATE","DISTRICT","2014-2015",031916,"SOUTH TEXAS ISD",01,3376,742,3019,97,0,101,1935,3376,836,0,0,50,0
"STATE","DISTRICT","2014-2015",032902,"PITTSBURG ISD",08,2440,82,753,392,85,296,1958,2440,1283,-9999999,7,252,67
"STATE","DISTRICT","2014-2015",033901,"GROOM ISD",16,136,9,35,-9999999,0,-9999999,46,136,38,0,-9999999,13,6
"STATE","DISTRICT","2014-2015",033902,"PANHANDLE ISD",16,648,41,181,-9999999,0,-9999999,129,312,150,-9999999,-9999999,57,49
"STATE","DISTRICT","2014-2015",033904,"WHITE DEER ISD",16,369,13,108,0,0,0,161,369,132,0,-9999999,30,10
"STATE","DISTRICT","2014-2015",034901,"ATLANTA ISD",08,1784,144,562,40,0,40,1178,1784,729,9,9,181,91
"STATE","DISTRICT","2014-2015",034902,"AVINGER ISD",08,167,7,55,0,0,0,142,167,62,-9999999,-9999999,14,0
"STATE","DISTRICT","2014-2015",034903,"HUGHES SPRINGS ISD",08,1231,54,371,43,0,40,761,1231,519,0,-9999999,93,0
"STATE","DISTRICT","2014-2015",034905,"LINDEN-KILDARE CISD",08,743,44,233,25,0,25,527,743,403,0,0,78,15
"STATE","DISTRICT","2014-2015",034906,"MCLEOD ISD",08,380,9,97,0,0,0,134,380,188,0,-9999999,36,29
"STATE","DISTRICT","2014-2015",034907,"QUEEN CITY ISD",08,1034,89,291,-9999999,0,-9999999,564,1034,485,-9999999,-9999999,90,51
"STATE","DISTRICT","2014-2015",034909,"BLOOMBURG ISD",08,276,7,100,-9999999,0,-9999999,163,276,95,-9999999,0,26,7
"STATE","DISTRICT","2014-2015",035901,"DIMMITT ISD",16,1234,33,377,236,174,46,1084,1233,751,8,7,95,12
"STATE","DISTRICT","2014-2015",035902,"HART ISD",16,246,5,68,16,0,16,223,246,161,0,0,19,-9999999
"STATE","DISTRICT","2014-2015",035903,"NAZARETH ISD",16,227,5,98,6,0,6,42,227,48,0,-9999999,13,-9999999
"STATE","DISTRICT","2014-2015",036901,"ANAHUAC ISD",04,1222,101,306,109,0,109,650,857,494,0,0,95,52
"STATE","DISTRICT","2014-2015",036902,"BARBERS HILL ISD",04,4903,172,1136,123,83,34,951,2352,1292,49,6,332,85
"STATE","DISTRICT","2014-2015",036903,"EAST CHAMBERS ISD",05,1425,75,352,310,69,241,802,640,631,-9999999,0,116,23
"STATE","DISTRICT","2014-2015",037901,"ALTO ISD",07,646,35,221,99,0,93,406,645,368,10,0,69,15
"STATE","DISTRICT","2014-2015",037904,"JACKSONVILLE ISD",07,4980,238,981,1279,687,561,3975,4445,3332,10,10,427,128
"STATE","DISTRICT","2014-2015",037907,"RUSK ISD",07,2210,116,538,118,0,118,1284,1635,1027,16,8,254,54
"STATE","DISTRICT","2014-2015",037908,"NEW SUMMERFIELD ISD",07,539,-9999999,130,205,0,149,514,539,345,0,0,39,12
"STATE","DISTRICT","2014-2015",037909,"WELLS ISD",07,299,15,73,16,0,15,181,299,194,0,0,30,0
"STATE","DISTRICT","2014-2015",038901,"CHILDRESS ISD",16,1152,83,279,32,0,33,594,1152,428,14,0,119,20
"STATE","DISTRICT","2014-2015",039902,"HENRIETTA ISD",09,985,62,355,-9999999,0,-9999999,420,485,361,9,-9999999,119,46
"STATE","DISTRICT","2014-2015",039903,"PETROLIA ISD",09,520,22,160,-9999999,0,-9999999,258,520,114,-9999999,9,49,33
"STATE","DISTRICT","2014-2015",039904,"BELLEVUE ISD",09,147,-9999999,57,0,0,0,71,147,56,0,0,14,-9999999
"STATE","DISTRICT","2014-2015",039905,"MIDWAY ISD",09,97,0,37,0,0,0,35,97,23,0,0,16,-9999999
"STATE","DISTRICT","2014-2015",040901,"MORTON ISD",17,433,19,115,77,0,77,403,430,288,0,-9999999,33,14
"STATE","DISTRICT","2014-2015",040902,"WHITEFACE CISD",17,362,15,105,14,0,11,177,359,143,0,0,44,5
