FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
366,07530,Agua Dulce ISD,Agua Dulce,178901,178-901,178901,4807530,4,252906082.056,83115.953158,324562968.314453,94197.3960318112
367,46380,Woodsboro ISD,Woodsboro,196902,196-902,196902,4846380,3,559322172.655,169167.07034,723863857.015625,192450.940747462
368,09000,Austwell-Tivoli ISD,Austwell-Tivoli,196901,196-901,196901,4809000,6,681842890.312,140602.947864,886156833.097656,160314.489228929
369,41550,Sterling City ISD,Sterling City,216901,216-901,216901,4841550,7,2382016358.97,201157.97187,3323366060.17578,237698.796096898
370,45900,Willis ISD,Willis,170904,170-904,170904,4845900,4,421213144.921,124391.568987,570872913.324219,144744.205937914
371,41070,Splendora ISD,Splendora,170907,170-907,170907,4841070,1,192241885.214,69433.6388282,259545884.535156,80673.5053477972
372,31260,Montgomery ISD,Montgomery,170903,170-903,170903,4831260,3,603601187.987,142258.855617,817423025.058594,165538.73015918
373,36990,Richards ISD,Richards,93905,093-905,093905,4836990,2,318405925.866,140330.489999,432631524.976563,163555.366986161
374,24330,Iraan-Sheffield ISD,Iraan-Sheffield,186903,186-903,186903,4824330,2,2227727599.1,259718.268855,3043467059.63672,303607.390824916
375,20190,Fort Stockton ISD,Fort Stockton,186902,186-902,186902,4820190,5,7811304805.38,449133.517944,10640384503.7344,524399.010322514
376,11910,Buena Vista ISD,Buena Vista,186901,186-901,186901,4811910,4,2250127956,315298.372644,3089990257.79297,369765.917764961
377,36360,Rains ISD,Rains,190903,190-903,190903,4836360,1,610215070.773,144009.158968,870460115.160156,171996.475719343
378,30810,Miller Grove ISD,Miller Grove,112907,112-907,112907,4830810,4,173458843.338,75321.2041107,248255162.136719,90104.7604763043
379,07650,Alba-Golden ISD,Alba-Golden,250906,250-906,250906,4807650,7,245465946.401,116724.446822,349369238.140625,139283.924064187
380,34630,Perrin-Whitt Cons ISD,Perrin-Whitt Cons,119903,119-903,119903,4834630,2,448214555.168,151892.420338,641449421.398438,181748.621076381
381,30660,Midway ISD (Clay),Midway (Clay),39905,039-905,039905,4830660,4,667969573.856,169033.174442,967017197.738281,203297.687447543
382,21330,Graford ISD,Graford,182902,182-902,182902,4821330,4,611261221.575,171858.299776,873041882.472656,205348.593016698
383,11820,Bryson ISD,Bryson,119901,119-901,119901,4811820,3,469239875.455,135310.855635,673594352.035156,162224.231012947
384,10990,Bowie ISD,Bowie,169901,169-901,169901,4810990,7,730499404.542,175674.906789,1056470729.23047,211221.425998632
385,43320,Tulia ISD,Tulia,219903,219-903,219903,4843320,5,1118317195.75,158799.54038,1653631132.54688,192998.056774261
386,25950,Kress ISD,Kress,219905,219-905,219905,4825950,7,676621328.28,130592.61953,996863385.015625,158338.475112119
387,20700,Gilmer ISD,Gilmer,230902,230-902,230902,4820700,6,553560765.118,213825.549627,787275557.429688,255049.514642424
388,45090,West Orange-Cove Cons ISD,West Orange-Cove Cons,181906,181-906,181906,4845090,2,87722549.7703,75656.8183977,118043179.207031,87782.4042457752
389,33780,Orangefield ISD,Orangefield,181905,181-905,181905,4833780,7,183842040.607,99652.0335728,247311745.296875,115575.166382541
390,27690,Little Cypress-Mauriceville Cons ISD,Little Cypress-Mauriceville Cons,181908,181-908,181908,4827690,4,261485105.028,121078.077832,352577686.945313,140505.174644817
391,11310,Bridge City ISD,Bridge City,181901,181-901,181901,4811310,3,170048422.31,90793.2256618,228428524.113281,105258.604574077
392,44160,Vidor ISD,Vidor,181907,181-907,181907,4844160,6,313717659.69,108083.459948,422773978.378906,125462.645318125
393,44820,Weimar ISD,Weimar,45905,045-905,045905,4844820,6,447046320.883,113211.99644,596160882.789063,130718.910163306
394,22120,Hallettsville ISD,Hallettsville,143901,143-901,143901,4822120,2,1285999562.36,267257.391222,1706503223.11328,307819.521888909
395,45570,Whiteface Cons ISD,Whiteface Cons,40902,040-902,040902,4845570,7,1576441765.06,279267.800282,2282181759.70703,336269.441242453
396,31470,Morton ISD,Morton,40901,040-901,040901,4831470,3,596154162.997,151976.688545,866163534.125,183119.697559892
397,26970,Lazbuddie ISD,Lazbuddie,185904,185-904,185904,4826970,4,514408019.245,101693.423572,758227639.078125,123407.563253101
398,23010,Hereford ISD,Hereford,59901,059-901,059901,4823010,4,1836053373.84,218968.219954,2735056590.70703,267174.732988836
399,19980,Friona ISD,Friona,185903,185-903,185903,4819980,5,899442265.757,202378.26094,1332723782.76172,246365.210864496
400,10950,Bovina ISD,Bovina,185901,185-901,185901,4810950,6,554966837.1,139156.29588,820959620.714844,169289.210594301
401,16980,Dew ISD,Dew,81906,081-906,081906,4816980,2,155982717.097,69418.1162166,216560562.007813,81779.0859123238
402,46470,Wortham ISD,Wortham,81905,081-905,081905,4846470,1,286917952.804,104558.692075,400053668.992188,123430.76786098
403,42300,Teague ISD,Teague,81904,081-904,081904,4842300,5,578308270.284,132305.811143,802929006.230469,155922.052882838
404,33340,Oakwood ISD,Oakwood,145907,145-907,145907,4833340,4,403816758.64,152854.342205,560084990.359375,180044.721854987
405,30420,Mexia ISD,Mexia,147903,147-903,147903,4830420,4,439335130.94,137055.167589,610766201.136719,161627.917583244
406,18940,Fairfield ISD,Fairfield,81902,081-902,081902,4818940,3,1189861667.02,240981.239187,1659186562.0625,284555.605482856
407,15330,Corsicana ISD,Corsicana,175903,175-903,175903,4815330,6,584863561.091,234440.586105,819693613.625,277487.63853461
408,11990,Buffalo ISD,Buffalo,145901,145-901,145901,4811990,6,689860357.941,200728.604104,954976016.429688,236184.772409472
409,25560,Kermit ISD,Kermit,248901,248-901,248901,4825560,3,1031066654.79,155547.541483,1441690805.87891,183904.786556749
410,46170,Wink-Loving ISD,Wink-Loving,248902,248-902,248902,4846170,7,2884291608.81,352747.238211,4023473084.88672,416270.668759395
411,45450,White Deer ISD,White Deer,33904,033-904,033904,4845450,2,675167070.619,125870.888559,1019261310.87109,154631.646415254
412,45420,Wheeler ISD,Wheeler,242903,242-903,242903,4845420,3,475769792.404,154989.950928,716979825.824219,190251.472758216
413,34170,Pampa ISD,Pampa,90904,090-904,090904,4834170,4,1175919369.37,206753.561205,1780505315.21094,254570.903980378
414,39510,Schleicher ISD,Schleicher,207901,207-901,207901,4839510,6,3380282680.93,244805.2098,4625029897.80859,286127.623857082
415,18330,Electra ISD,Electra,243902,243-902,243902,4818330,7,556279976.588,126006.804389,813257199.871094,152489.420478127
416,30480,Miami ISD,Miami,197902,197-902,197902,4830480,3,2019998468.32,257956.032623,3073303908.57813,318260.103222489
417,27090,Lefors ISD,Lefors,90902,090-902,090902,4827090,1,372421309.388,103603.825894,561313158.851563,127127.939418425
418,21560,Grandview-Hopkins ISD,Grandview-Hopkins,90905,090-905,090905,4821560,5,335442886.941,82026.367676,504644167.101563,100637.357973747
419,11400,Fort Elliott Cons ISD,Fort Elliott Cons,242906,242-906,242906,4811400,2,1283537644.52,239010.174421,1941548595.82813,293946.320937412
420,29880,McLean ISD,McLean,90903,090-903,090903,4829880,6,936361503.922,198944.524699,1405608917.42188,243697.980712414
421,13890,Chillicothe ISD,Chillicothe,99902,099-902,099902,4813890,5,680241633.838,199957.101033,999644309.742188,242449.186375803
422,36180,Quanah ISD,Quanah,99903,099-903,099903,4836180,1,1448874667.58,195992.470496,2131177245.66797,237772.972833897
423,13860,Childress ISD,Childress,38901,038-901,038901,4813860,4,1684759689.71,239974.00178,2485685234.71094,291568.46255608
424,35040,Plains ISD,Plains,251902,251-902,251902,4835040,3,1548525038.95,187159.218571,2225224089.60938,224345.730028809
425,16770,Denver City ISD,Denver City,251901,251-901,251901,4816770,7,403205141.041,144869.219845,576926188.0625,173196.442411251
426,11610,Brownfield ISD,Brownfield,223901,223-901,223901,4811610,2,994235062.12,194589.427523,1428850344.80078,233234.820617556
427,39600,Seagraves ISD,Seagraves,83901,083-901,083901,4839600,1,498208364.308,139262.217173,711679490.265625,166478.055789779
428,38430,Sabinal ISD,Sabinal,232902,232-902,232902,4838430,5,943037772.943,207444.210919,1249859926.4375,238879.367802822
429,25800,Knippa ISD,Knippa,232901,232-901,232901,4825800,7,282501976.495,108150.950668,373717324.933594,124359.209388156
430,43720,Uvalde Cons ISD,Uvalde Cons,232903,232-903,232903,4843720,4,2995179834.4,379241.307217,3957530426.07813,436108.977812416
431,33240,Nueces Canyon Cons ISD,Nueces Canyon Cons,69902,069-902,069902,4833240,6,2309787442.57,316018.98716,3086793083.41016,365340.543208466
432,24240,Iola ISD,Iola,93903,093-903,093903,4824240,2,345541548.629,114552.009039,471037125.992188,133727.862907515
433,08230,Anderson-Shiro Cons ISD,Anderson-Shiro Cons,93901,093-901,093901,4808230,5,681134587.796,186233.800495,925658681.734375,217067.73693346
434,28710,Madisonville Cons ISD,Madisonville Cons,154901,154-901,154901,4828710,1,1072083152.78,223564.066002,1468213184.09766,261557.55826216
435,39540,Schulenburg ISD,Schulenburg,75903,075-903,075903,4839540,3,367888944.042,92486.476506,491209434.964844,106843.405654803
436,26100,La Grange ISD,La Grange,75902,075-902,075902,4826100,1,816209978.067,171712.57229,1094320517.90234,198803.352501419
437,19280,Flatonia ISD,Flatonia,75901,075-901,075901,4819280,5,634263297.214,129595.27493,848000561.957031,149816.340739544
438,19140,Fayetteville ISD,Fayetteville,75906,075-906,075906,4819140,6,221437919.948,90226.0135945,297009864.773438,104529.488585086
439,46410,Woodson ISD,Woodson,224902,224-902,224902,4846410,3,453485678.849,146790.131164,648887693.273438,175624.489888109
440,42780,Throckmorton ISD,Throckmorton,224901,224-901,224901,4842780,7,1984492840.2,199499.95752,2850469790.06641,239086.717075297
441,31970,Munday Cons ISD,Munday Cons,138903,138-903,138903,4831970,2,504018701.96,150890.83523,728225648.304688,181412.679236852
442,43920,Van ISD,Van,234906,234-906,234906,4843920,1,583267283.195,207480.146098,825173188.394531,246793.093457946
443,29220,Martins Mill ISD,Martins Mill,234905,234-905,234905,4829220,3,167018612.39,90854.7982405,235954050.871094,107990.706665664
444,27510,Lindale ISD,Lindale,212903,212-903,212903,4827510,3,416714207.333,157407.495925,589967105.933594,187303.310302292
445,21450,Grand Saline ISD,Grand Saline,234904,234-904,234904,4821450,3,272698448.809,122035.534035,387133641.039063,145418.522844644
446,20070,Fruitvale ISD,Fruitvale,234909,234-909,234909,4820070,2,75709245.0325,53878.8597283,107569922.074219,64251.5301814269
447,18720,Eustace ISD,Eustace,107905,107-905,107905,4818720,3,207321442.509,91542.9991156,292158779,108660.419471311
448,18120,Edgewood ISD (Van Zandt),Edgewood (Van Zandt),234903,234-903,234903,4818120,5,194350367.072,94603.1675403,276172684.433594,112790.618128906
449,12750,Canton ISD,Canton,234902,234-902,234902,4812750,4,420008118.513,147414.181651,594496336.71875,175407.529109169
450,45950,Wills Point ISD,Wills Point,234907,234-907,234907,4845950,3,580644457.442,146054.076622,825377511.257813,174082.07581384
451,28680,Mabank ISD,Mabank,129905,129-905,129905,4828680,1,334375534.987,133176.510108,472202015.964844,158267.2228213
452,45330,Westphalia ISD,Westphalia,73904,073-904,073904,4845330,1,57470264.6695,42626.4688117,79013235.8632813,49986.7946117943
453,37410,Robinson ISD,Robinson,161922,161-922,161922,4837410,6,179116299.269,94753.4146188,247835528.65625,111425.932488786
454,37110,Riesel ISD,Riesel,161912,161-912,161912,4837110,4,151596736.141,79558.7505713,209980539.996094,93589.8554445106
455,29190,Mart ISD,Mart,161908,161-908,161908,4829190,7,407595968.966,150697.405182,565247688.058594,177426.877795922
456,29130,Marlin ISD,Marlin,73903,073-903,073903,4829130,5,782716052.638,184048.22877,1080152039.81641,216181.983267514
457,28200,Lorena ISD,Lorena,161907,161-907,161907,4828200,5,157762602.136,109449.946929,218107236.90625,128682.443228766
458,21810,Groesbeck ISD,Groesbeck,147902,147-902,147902,4821810,6,1288874548.43,226301.08259,1783532369.44141,266288.985939478
459,42630,Thorndale ISD,Thorndale,166905,166-905,166905,4842630,7,346147806.723,141530.64314,470809219.910156,165100.269461303
460,24600,Jarrell ISD,Jarrell,246907,246-907,246907,4824600,3,210432895.276,83266.4330444,287297502.480469,97253.7437930421
461,21590,Granger ISD,Granger,246905,246-905,246905,4821590,4,255635976.739,101521.445326,348440170.734375,118479.185045477
462,45480,White Oak ISD,White Oak,92908,092-908,092908,4845480,7,41379980.3549,41328.7634593,58585433.0078125,49205.4377956359
463,41190,Spring Hill ISD,Spring Hill,92907,092-907,092907,4841190,3,23471421.0267,26309.9970235,33257982.8671875,31310.0335206172
464,38460,Sabine ISD,Sabine,92906,092-906,092906,4838460,4,107856382.496,62614.3015298,152422469.574219,74444.4915934679
465,34980,Pine Tree ISD,Pine Tree,92904,092-904,092904,4834980,6,73053126.687,58179.2520286,103377105.867188,69225.4118275712
466,28110,Longview ISD,Longview,92903,092-903,092903,4828110,1,279755804.801,120492.000548,395876751.816406,143382.399779954
467,20760,Gladewater ISD,Gladewater,92901,092-901,092901,4820760,5,280087183.327,186744.75924,396613294.03125,222279.28976764
468,23140,Higgins ISD,Higgins,148903,148-903,148903,4823140,3,604228434.207,117819.519918,925578220.761719,145782.83563052
469,19500,Follett ISD,Follett,148902,148-902,148902,4819500,5,674990530.479,168158.103195,1038651287.65234,208527.548910989
470,16320,Darrouzett ISD,Darrouzett,148905,148-905,148905,4816320,1,491376314.798,134972.420711,755980245.84375,167451.304900948
471,39780,Seymour ISD,Seymour,12901,012-901,012901,4839780,5,2345902451.19,285257.025352,3400415771.66406,343379.377096854
472,42540,Texhoma ISD,Texhoma,211901,211-901,211901,4842540,6,614434687.536,134587.59083,945882552.855469,166982.116066841
473,21930,Gruver ISD,Gruver,98901,098-901,098901,4821930,1,1365803856.37,198258.69053,2100275693.90234,245755.750157277
474,18000,Ector County ISD,Ector County,68901,068-901,068901,4818000,5,2325959798.72,192920.059119,3247979431.94531,227971.998282058
475,43170,Trinidad ISD,Trinidad,107907,107-907,107907,4843170,2,38445088.9371,37431.2369989,53973759.3515625,44358.6064503723
476,32010,Murchison ISD,Murchison,107908,107-908,107908,4832010,4,32008567.316,29628.252887,45089052.4960938,35176.5396918023
477,28780,Malakoff ISD,Malakoff,107906,107-906,107906,4828780,5,291393196.141,144268.588719,409857848.441406,171053.078157919
478,15840,Cross Roads ISD,Cross Roads,107904,107-904,107904,4815840,4,287237754.578,95394.2016413,402916910.027344,112972.311079508
479,38790,San Benito Cons ISD,San Benito Cons,31912,031-912,031912,4838790,7,267985115.539,112319.074617,332443386.0625,125149.116080223
480,37170,Rio Hondo ISD,Rio Hondo,31911,031-911,031911,4837170,4,217768138.961,74251.0228036,271026655.183594,82858.5714869427
481,35250,Point Isabel ISD,Point Isabel,31909,031-909,031909,4835250,7,797677984.839,217334.127563,990072233.816406,242281.830791519
482,28290,Los Fresnos Cons ISD,Los Fresnos Cons,31906,031-906,031906,4828290,1,1262079511.84,220530.339491,1568846501.87109,245936.093567914
483,22530,Harlingen Cons ISD,Harlingen Cons,31903,031-903,031903,4822530,5,225105919.941,80187.5165067,279973360.537109,89496.9268755463
484,11680,Brownsville ISD,Brownsville,31901,031-901,031901,4811680,3,263986814.62,152828.684348,326523346,170059.366570686
485,33720,Orange Grove ISD,Orange Grove,125903,125-903,125903,4833720,3,479032210.958,106926.446178,617267031.792969,121309.744465765
486,26070,La Gloria ISD,La Gloria,125906,125-906,125906,4826070,2,118875036.829,48387.1557362,151069334.087891,54485.9804214547
487,09870,Ben Bolt-Palito Blanco ISD,Ben Bolt-Palito Blanco,125902,125-902,125902,4809870,7,357190072.226,93023.5279776,456537989.111328,105191.726219337
488,07800,Alice ISD,Alice,125901,125-901,125901,4807800,1,779938979.957,187701.687794,1001837204.33398,212775.836729997
489,00006,Aspermont ISD,Aspermont,217901,217-901,217901,4800006,1,2092547068.22,206048.578122,3005732505.68359,246903.639428781
490,35570,Bushland ISD,Bushland,188904,188-904,188904,4835570,7,1446013076.07,211802.106627,2179216024.25781,260034.38242298
491,37260,River Road ISD,River Road,188902,188-902,188902,4837260,1,408797049.195,107764.206316,615709865.347656,132377.987991283
492,35560,Highland Park ISD (Potter),Highland Park (Potter),188903,188-903,188903,4835560,2,485818463.786,119814.17462,731630829.628906,147242.38857332
493,08130,Amarillo ISD,Amarillo,188901,188-901,188901,4808130,6,193606357.916,66081.8978547,290448099.417969,80919.0952013795
494,26310,La Vernia ISD,La Vernia,247903,247-903,247903,4826310,6,293307670.426,90857.0730017,388698182.988281,104590.894298312
495,20460,Gary ISD,Gary,183904,183-904,183904,4820460,5,173895750.567,85304.2990299,243568526.347656,100892.029988572
496,13110,Carthage ISD,Carthage,183902,183-902,183902,4813110,3,1372903751.18,262037.056174,1928012081.72266,310499.534437739
497,09690,Beckville ISD,Beckville,183901,183-901,183901,4809690,1,302808488.848,130945.884619,426267963.828125,155373.21553746
498,42360,Tenaha ISD,Tenaha,210904,210-904,210904,4842360,1,158339205.265,97711.8020528,221416589.585938,115536.85070193
499,24810,Joaquin ISD,Joaquin,210902,210-902,210902,4824810,5,348893532.589,211962.935133,487352704.292969,250379.100268394
500,28550,Lufkin ISD,Lufkin,3903,003-903,003903,4828550,2,419311010.328,149902.659505,578966197.492188,176199.036594467
501,24000,Huntington ISD,Huntington,3904,003-904,003904,4824000,7,500516664.85,150908.846112,690064236.328125,177250.910774583
502,23790,Hudson ISD,Hudson,3902,003-902,003902,4823790,3,197824897.887,101609.926744,273121381.597656,119392.724448381
503,13500,Central ISD,Central,3907,003-907,003907,4813500,7,244224530.885,119567.712986,337937993.972656,140617.3130274
504,44940,Wells ISD,Wells,37909,037-909,037909,4844940,3,262371351.6,103381.663935,363651403.644531,121663.688347014
505,43290,Westwood ISD,Westwood,1908,001-908,001908,4843290,5,251617554.583,110132.334688,350218016.3125,129954.214336571
506,40500,Slocum ISD,Slocum,1909,001-909,001909,4840500,7,445811224.896,157280.17669,620119631.949219,185445.943228655
507,34050,Palestine ISD,Palestine,1907,001-907,001907,4834050,4,572393430.969,245400.333358,798815084.863281,289790.440815468
508,32250,Neches ISD,Neches,1906,001-906,001906,4832250,1,208110820.193,94609.3615236,290835515.46875,111858.387536461
509,26220,LaPoynor ISD,LaPoynor,107910,107-910,107910,4826220,5,391512824.072,124462.717664,549318009.277344,147427.979279093
510,18390,Elkhart ISD,Elkhart,1903,001-903,001903,4818390,2,418195054.986,150060.255316,580820281.363281,176778.010940968
511,13200,Cayuga ISD,Cayuga,1902,001-902,001902,4813200,6,607052957.005,204527.116633,848527931.820313,241655.582978866
512,08870,Athens ISD,Athens,107901,107-901,107901,4808870,1,609253134.278,210029.235041,857080591.960938,249123.525351921
513,30450,Meyersville ISD,Meyersville,62906,062-906,062906,4830450,1,247805616.048,100937.725026,325722652.855469,115721.615185561
514,46650,Yorktown ISD,Yorktown,62904,062-904,062904,4846650,2,539757473.392,140428.897391,710332563.40625,161025.054931106
515,46620,Yoakum ISD,Yoakum,62903,062-903,062903,4846620,7,673850070.791,196767.519633,890743208.796875,226258.279349328
516,45240,Westhoff ISD,Westhoff,62905,062-905,062905,4845240,4,199284047.667,76199.4650898,262942136.65625,87518.8760315968
517,32880,Nordheim ISD,Nordheim,62902,062-902,062902,4832880,5,273067173.856,89319.9241295,358700676.363281,102378.760407988
518,15960,Cuero ISD,Cuero,62901,062-901,062901,4815960,5,692968645.206,227343.816406,914218590.4375,261111.670815832
519,08280,Andrews ISD,Andrews,2901,002-901,002901,4808280,6,3872650913.88,256975.66526,5457820048.88281,304887.028591561
520,14250,Claude ISD,Claude,6902,006-902,006902,4814250,4,2132660295.49,254719.542758,3181923309.86719,311089.927923066
521,21840,Groom ISD,Groom,33901,033-901,033901,4821840,7,622321594.439,141814.871497,933868192.792969,173687.9820487
522,14160,Clarendon ISD,Clarendon,65901,065-901,065901,4814160,5,2263868379.7,322771.654615,3371877002.70703,394007.79939133
523,22350,Happy ISD,Happy,219901,219-901,219901,4822350,6,1047864420.74,259987.127009,1555952804.64453,316787.049987533
524,35370,Port Aransas ISD,Port Aransas,178908,178-908,178908,4835370,3,284022911.228,109754.345346,364443892.291016,124395.173811869
525,46080,Windthorst ISD,Windthorst,5904,005-904,005904,4846080,6,218215486.862,74752.1356681,316028094.453125,89986.4911874012
526,33630,Olney ISD,Olney,252903,252-903,252903,4833630,1,935892557.278,200871.18796,1350755710.42969,241328.077517074
527,24530,Jacksboro ISD,Jacksboro,119902,119-902,119902,4824530,5,1502950541.6,287853.514373,2162417752.54297,345242.661207058
528,40740,Somerset ISD,Somerset,15909,015-909,015909,4840740,5,219185221.105,93529.1652725,289586797.992188,107499.637809911
529,35520,Poteet ISD,Poteet,7906,007-906,007906,4835520,4,444563132.655,120959.816331,585777472.070313,138881.51762517
530,35190,Pleasanton ISD,Pleasanton,7905,007-905,007905,4835190,3,1151931708.67,197654.350609,1511970135.95313,226417.891032253
531,25140,Karnes City ISD,Karnes City,128901,128-901,128901,4825140,6,933983726.458,246515.421409,1227532552.61719,282500.684263544
532,24960,Jourdanton ISD,Jourdanton,7902,007-902,007902,4824960,1,721974083.014,178960.012762,946184344.195313,204856.409424121
533,13710,Charlotte ISD,Charlotte,7901,007-901,007901,4813710,7,632853920.564,149917.341373,829568570.882813,171705.668393981
534,28650,Lytle ISD,Lytle,7904,007-904,007904,4828650,7,112825930.987,56641.0926818,149037584.585938,65081.8606185456
535,14700,Columbus ISD,Columbus,45902,045-902,045902,4814700,4,1034142180.09,232756.385402,1381439748.27344,268995.644868138
536,42330,Temple ISD,Temple,14909,014-909,014909,4842330,6,154964915.786,103691.051283,212897068,121553.538652712
537,38580,Salado ISD,Salado,14908,014-908,014908,4838580,7,348000510.763,105397.315392,476549285.269531,123324.137521563
538,37710,Rogers ISD,Rogers,14907,014-907,014907,4837710,7,363403821.136,144481.021147,498055450.957031,169128.030011745
539,23370,Holland ISD,Holland,14905,014-905,014905,4823370,2,205081100.968,109336.7256,280501916.40625,127881.558046022
540,09860,Belton ISD,Belton,14903,014-903,014903,4809860,5,514307110.618,174534.829093,707054071.652344,204616.868537745
541,07470,Academy ISD,Academy,14901,014-901,014901,4807470,3,148680500.824,82945.965843,203771802.226563,97138.7375873164
542,19320,Florence ISD,Florence,246902,246-902,246902,4819320,2,366135324.218,152409.807601,500446548.585938,178171.551412004
543,09540,Bartlett ISD,Bartlett,14902,014-902,014902,4809540,1,262218686.932,111109.712013,358053367.207031,129791.112617866
544,43260,Troy ISD,Troy,14910,014-910,014910,4843260,4,271342018.596,97426.1151413,373452893.664063,114284.008172384
545,37900,Rosebud-Lott ISD,Rosebud-Lott,73905,073-905,073905,4837900,6,771158076.684,202229.938596,1060104954.46094,237080.570317715
546,11730,Bruceville-Eddy ISD,Bruceville-Eddy,161919,161-919,161919,4811730,2,182130462.874,89004.6924712,251270571.695313,104544.067757477
547,31290,Moody ISD,Moody,161910,161-910,161910,4831290,6,260983390.74,100338.832817,360096131.023438,117858.030065959
548,26640,Lampasas ISD,Lampasas,141901,141-901,141901,4826640,6,1565457456.86,333182.395521,2151776779.88672,390592.31563293
549,25660,Killeen ISD,Killeen,14906,014-906,014906,4825660,1,922997949.136,220673.614026,1268985255.44531,258768.441041668
550,20500,Gatesville ISD,Gatesville,50902,050-902,050902,4820500,3,1225045551.49,334011.432611,1694049215.11328,392820.361650659
551,15240,Copperas Cove ISD,Copperas Cove,50910,050-910,050910,4815240,5,168419476.306,82696.4893629,231643416.417969,97038.8268717196
552,34410,Pawnee ISD,Pawnee,13902,013-902,013902,4834410,6,390358265.878,129925.603072,509569603.957031,148426.458224478
553,42690,Three Rivers ISD,Three Rivers,149902,149-902,149902,4842690,5,1151040688.09,201865.321595,1499463890.5,230466.943125066
554,40410,Skidmore-Tynan ISD,Skidmore-Tynan,13905,013-905,013905,4840410,7,658790456.931,177978.21104,853597001.898438,202614.163299347
555,36780,Refugio ISD,Refugio,196903,196-903,196903,4836780,7,1049385230.68,268541.403086,1363071724.04297,306158.419914349
556,34770,Pettus ISD,Pettus,13903,013-903,013903,4834770,5,467768718.943,160615.759408,610694553.433594,183604.387962203
557,29400,Mathis ISD,Mathis,205904,205-904,205904,4829400,5,442541904.528,172823.803245,571577517.058594,196399.6079235
558,09720,Beeville ISD,Beeville,13901,013-901,013901,4809720,1,883712303.426,230804.344175,1148595105.17188,263137.983474234
559,31890,Muleshoe ISD,Muleshoe,9901,009-901,009901,4831890,5,1210567701.69,186719.714577,1775444313.02734,226058.566726692
560,41760,Sudan ISD,Sudan,140908,140-908,140908,4841760,4,1511822106.22,251608.748233,2208400233.59375,304132.990402912
561,19110,Farwell ISD,Farwell,185902,185-902,185902,4819110,2,427968596.374,129266.151701,630439629.957031,157010.777357603
562,07980,Alto ISD,Alto,37901,037-901,037901,4807980,2,506274967.933,165917.657542,703709597.109375,195593.632135461
563,39450,Savoy ISD,Savoy,74911,074-911,074911,4839450,5,127067532.387,68984.8808109,184214472.617188,83135.7255568919
564,38490,Sabine Pass ISD,Sabine Pass,123913,123-913,123913,4838490,7,986376249.078,194516.861304,1316012716.16406,224696.763836683
565,35430,Port Neches-Groves ISD,Port Neches-Groves,123908,123-908,123908,4835430,6,69993223.1583,45236.8034746,93929310.8515625,52395.2783773306
566,35400,Port Arthur ISD,Port Arthur,123907,123-907,123907,4835400,5,211016274.17,76274.325705,282743522.046875,88310.7421470951
567,32280,Nederland ISD,Nederland,123905,123-905,123905,4832280,2,48847706.5511,35229.0330191,65572362.5585938,40827.0060612468
568,44490,Walnut Bend ISD,Walnut Bend,49908,049-908,049908,4844490,1,53639953.5414,51179.0152612,78053234.953125,61735.4492227893
569,21030,Goliad ISD,Goliad,88902,088-902,088902,4821030,3,2220566440.21,225876.67395,2901067951.32813,258151.47909449
570,36210,Queen City ISD,Queen City,34907,034-907,034907,4836210,6,292282854.989,136455.678967,420048862.441406,163570.912730808
571,29910,McLeod ISD,McLeod,34906,034-906,034906,4829910,6,85477732.8863,49353.3080722,122078437.96875,58985.0188286503
572,27540,Linden-Kildare Cons ISD,Linden-Kildare Cons,34905,034-905,034905,4827540,3,708309784.092,175700.356958,1013118122.20313,210039.683066107
573,23850,Hughes Springs ISD,Hughes Springs,34903,034-903,034903,4823850,2,299801934.981,111534.253441,429140012.886719,133466.474395048
574,10440,Bloomburg ISD,Bloomburg,34909,034-909,034909,4810440,7,84251450.8009,52738.8958852,120921233.257813,63245.0493294817
575,08880,Atlanta ISD,Atlanta,34901,034-901,034901,4808880,4,650499129.991,255691.09307,932545466.609375,306204.298313266
576,39030,San Saba ISD,San Saba,206901,206-901,206901,4839030,1,1343289799.97,321823.784672,1848350008.07031,377556.397820021
577,37080,Richland Springs ISD,Richland Springs,206902,206-902,206902,4837080,2,894295416.257,181029.973469,1233172826.55859,212738.489990811
578,13740,Cherokee ISD,Cherokee,206903,206-903,206903,4813740,4,621288068.021,163117.677599,851620906.988281,190847.23619061
579,45690,Whitharral ISD,Whitharral,110908,110-908,110908,4845690,4,309361440.367,80324.0122019,449638162.371094,96836.7461596162
580,41850,Sundown ISD,Sundown,110907,110-907,110907,4841850,1,228297164.654,60725.7801277,329757646.070313,72985.3474079911
581,27240,Levelland ISD,Levelland,110902,110-902,110902,4827240,6,819035631.499,171867.350464,1187016567.51563,206956.048755933
582,44520,Walnut Springs ISD,Walnut Springs,18905,018-905,018905,4844520,2,265618026.589,106228.912789,372684085.285156,125804.073190807
583,21000,Goldthwaite Cons ISD,Goldthwaite Cons,167901,167-901,167901,4821000,5,1063830330.75,303135.575454,1472097685.85156,356606.880110144
584,11550,Brookesmith ISD,Brookesmith,25908,025-908,025908,4811550,3,409364284.761,123082.594866,567724001.992188,144967.98608272
585,40380,Sivells Bend ISD,Sivells Bend,49909,049-909,049909,4840380,3,199325181.756,91337.3526479,290092453.824219,110239.031295982
