FID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape_area,Shape_len,Shape__Area,Shape__Length
206,40170,Sidney ISD,Sidney,47905,047-905,047905,4840170,5,227297061.817,80925.9044989,318145625.667969,95760.1113979418
207,35820,Priddy ISD,Priddy,167904,167-904,167904,4835820,6,246163318.149,108368.614629,342169758.332031,127761.213360979
208,31920,Mullin ISD,Mullin,167902,167-902,167902,4831920,7,644695666.327,176409.713098,894293168.996094,207836.791183909
209,29520,May ISD,May,25905,025-905,025905,4829520,3,533800991.346,135355.891886,746918023.910156,160119.4407011
210,21990,Gustine ISD,Gustine,47903,047-903,047903,4821990,2,306880147.96,122003.442672,428231148.324219,144098.137491498
211,14760,Comanche ISD,Comanche,47901,047-901,047901,4814760,4,862705315.514,239105.793127,1205033394.85938,282622.504841587
212,10380,Blanket ISD,Blanket,25904,025-904,025904,4810380,1,243124986.509,89309.4178055,339190928.40625,105478.084549928
213,44670,Waskom ISD,Waskom,102903,102-903,102903,4844670,7,165840505.401,71387.7238582,234720322.296875,84956.2849080246
214,32460,New Diana ISD,New Diana,230906,230-906,230906,4832460,7,135447668.09,76062.9713612,192574168.851563,90710.110240575
215,29160,Marshall ISD,Marshall,102902,102-902,102902,4829160,6,903697029.571,193991.664804,1279369666.39063,230803.969784658
216,25110,Karnack ISD,Karnack,102901,102-901,102901,4825110,2,361017312.46,120297.257906,512570545.238281,143337.108015543
217,22500,Harleton ISD,Harleton,102905,102-905,102905,4822500,1,245323190.17,104477.852576,348544748.769531,124485.233798996
218,22170,Hallsville ISD,Hallsville,102904,102-904,102904,4822170,5,473224463.575,127586.66137,669913601.636719,151877.456900178
219,18480,Elysian Fields ISD,Elysian Fields,102906,102-906,102906,4818480,4,370693813.326,94731.52575,523152375.59375,112559.569477943
220,45210,Westbrook ISD,Westbrook,168903,168-903,168903,4845210,5,724957379.142,163797.808464,1021637787.27344,194486.072910982
221,28170,Loraine ISD,Loraine,168902,168-902,168902,4828170,3,423311289.153,122599.291738,597139316.265625,145735.719190746
222,24300,Ira ISD,Ira,208903,208-903,208903,4824300,1,317551826.808,119770.834629,450152861.585938,142568.209101375
223,14640,Colorado ISD,Colorado,168901,168-901,168901,4814640,4,1120796442.37,304467.133192,1579345104.98828,361312.627629908
224,30570,Midland ISD,Midland,165901,165-901,165901,4830570,7,2004780282.15,211025.629414,2798210307.05469,249365.198340292
225,21750,Greenwood ISD,Greenwood,165902,165-902,165902,4821750,6,321907082.518,111915.298196,450784367.816406,132469.207395626
226,34260,Paradise ISD,Paradise,249906,249-906,249906,4834260,2,187170079.92,89130.9714297,268365317.972656,106716.848356098
227,13800,Chico ISD,Chico,249904,249-904,249904,4813800,2,292350078.619,140959.927296,421075867.5,169183.065462936
228,11340,Bridgeport ISD,Bridgeport,249903,249-903,249903,4811340,1,376704052.605,178940.303567,540598242.941406,214451.947597808
229,41280,Springtown ISD,Springtown,184902,184-902,184902,4841280,7,264038031.142,106476.60451,377387812.699219,127276.315045135
230,35340,Poolville ISD,Poolville,184901,184-901,184901,4835340,6,191044443.885,92092.9877426,273141733.671875,110131.811248024
231,43740,Valentine ISD,Valentine,122902,122-902,122902,4843740,2,2318195021.69,257876.553531,3157049154.86328,300692.638232574
232,20100,Fort Davis ISD,Fort Davis,122901,122-901,122901,4820100,7,3522658065.06,291585.052277,4804380834.46484,340379.529109024
233,42990,Tornillo ISD,Tornillo,71908,071-908,071908,4842990,2,200595865.583,70878.1433468,277733879.179688,83400.7885655502
234,38850,San Elizario ISD,San Elizario,71904,071-904,071904,4838850,5,34571076.0877,29275.207232,47970759.046875,34484.7403512687
235,18900,Fabens ISD,Fabens,71903,071-903,071903,4818900,4,160262405.609,68088.0055681,222114511.609375,80118.448541905
236,14430,Clint ISD,Clint,71901,071-901,071901,4814430,1,972470111.976,146727.063388,1355264836.50391,173350.448200469
237,12780,Canutillo ISD,Canutillo,71907,071-907,071907,4812780,4,177522423.228,66399.7556536,248225737.613281,78494.9318242843
238,08430,Anthony ISD,Anthony,71906,071-906,071906,4808430,2,18743211.1398,22463.3776392,26236498.7695313,26564.6864940883
239,26670,Lancaster ISD,Lancaster,57913,057-913,057913,4826670,1,96781110.2412,48450.8145285,137222539.183594,57696.6777142564
240,23250,Highland Park ISD (Dallas),Highland Park (Dallas),57911,057-911,057911,4823250,5,16084789.8588,17991.6482132,22930089.1679688,21490.2918185822
241,21420,Grand Prairie ISD,Grand Prairie,57910,057-910,057910,4821420,7,137968589.005,74791.5097079,196183647.597656,89277.9089506705
242,17640,Duncanville ISD,Duncanville,57907,057-907,057907,4817640,1,76124711.5788,51262.1185502,108086355.046875,61074.7568738374
243,16860,DeSoto ISD,DeSoto,57906,057-906,057906,4816860,5,57775193.5235,32473.8205898,81904239.4804688,38662.7300312941
244,13230,Cedar Hill ISD,Cedar Hill,57904,057-904,057904,4813230,6,108756378.51,46627.0804354,154193745.132813,55515.4699393987
245,19170,Ferris ISD,Ferris,70905,070-905,070905,4819170,6,206831014.314,105536.080121,292732474.457031,125523.811141946
246,14490,Coahoma ISD,Coahoma,114902,114-902,114902,4814490,6,784171008.627,137852.457535,1106004121.66406,163766.891670464
247,10200,Big Spring ISD,Big Spring,114901,114-901,114901,4810200,7,622132650.165,194579.826923,877725108.941406,231045.670198639
248,19620,Forsan ISD,Forsan,114904,114-904,114904,4819620,2,539978543.709,154683.572203,758494539.726563,183229.002721597
249,10860,Borden County ISD,Borden County,17901,017-901,017901,4810860,4,2344363243.72,206931.961174,3334791099.01172,246809.386478315
250,41430,Stanton ISD,Stanton,156902,156-902,156902,4841430,4,875797218.024,160225.849697,1230371924.55859,189703.187228884
251,39120,Sands Consolidated ISD,Sands Consolidated,58909,058-909,058909,4839120,3,566111867.413,154678.925328,800335886.027344,183975.218288081
252,44110,Vernon ISD,Vernon,244903,244-903,244903,4844110,1,1462235612.88,259502.246091,2138201458.65625,313943.022861324
