YEAR,CAMPUS NAME,CAMPUS NUMBER,DISTRICT NAME,DISTRICT NUMBER,GRADEGRP1X,REGION,COUNTY NUMBER,COUNTY NAME,TOTAL ENROLLMENT,TOTAL G & T STUDENTS,TOTAL CTE STUDENTS,TOTAL ELL STUDENTS,TOTAL BILINGUAL STUDENTS,TOTAL ESL STUDENTS,TOTAL ECONOMICALLY DISADVANTAGED STUDENTS,TOTAL TITLE I STUDENTS,TOTAL AT RISK STUDENTS,TOTAL MILITARY CONNECTED STUDENTS,TOTAL FOSTER CARE STUDENTS,TOTAL STUDENTS RECEIVING SPECIAL EDUCATION SERVICES,TOTAL HOMELESS STUDENTS,TOTAL DYSLEXIC STUDENTS
2017-2018,REILLY EL,227901132,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,238,20,0,160,133,24,181,238,188,0,0,40,9,13
2017-2018,RIDGETOP EL,227901133,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,371,52,0,85,369,-9999999,116,371,148,0,-9999999,18,11,20
2017-2018,ST ELMO EL,227901136,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,297,17,0,151,135,11,246,297,195,-9999999,-9999999,29,15,-9999999
2017-2018,SUMMITT EL,227901138,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,844,62,0,256,272,45,249,7,380,-9999999,-9999999,89,7,33
2017-2018,SIMS EL,227901139,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,204,5,0,61,58,-9999999,197,204,122,0,-9999999,18,7,6
2017-2018,TRAVIS HTS EL,227901140,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,518,33,0,143,149,63,328,518,274,0,-9999999,60,12,26
2017-2018,WALNUT CREEK EL,227901141,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,642,13,0,478,411,65,606,642,555,0,0,72,28,18
2017-2018,PATTON EL,227901143,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,984,112,0,175,-9999999,171,215,-9999999,354,-9999999,-9999999,80,-9999999,43
2017-2018,WOOTEN EL,227901144,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,503,12,0,397,377,32,464,503,445,0,0,58,5,18
2017-2018,ZAVALA EL,227901145,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,298,17,0,97,76,19,286,298,177,-9999999,6,63,22,17
2017-2018,ZILKER EL,227901146,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,550,71,0,26,17,9,106,15,145,-9999999,-9999999,53,18,43
2017-2018,MENCHACA EL,227901147,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,717,35,0,151,140,42,302,717,315,0,0,91,8,42
2017-2018,OAK HILL EL,227901148,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,868,63,0,269,270,42,339,868,408,6,7,104,20,47
2017-2018,BARRINGTON EL,227901149,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,547,26,0,382,343,39,536,547,461,-9999999,0,53,21,12
2017-2018,NORMAN EL,227901150,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,192,13,0,53,47,5,187,192,112,0,0,13,6,-9999999
2017-2018,PILLOW EL,227901151,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,519,34,0,218,147,70,385,519,342,-9999999,-9999999,53,20,39
2017-2018,WOOLDRIDGE EL,227901152,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,532,14,0,367,318,47,506,532,443,0,0,39,-9999999,17
2017-2018,DOSS EL,227901154,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,835,53,0,127,0,126,126,5,212,0,0,51,5,47
2017-2018,HILL EL,227901155,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,954,90,0,86,-9999999,82,66,-9999999,209,0,-9999999,62,5,32
2017-2018,ODOM EL,227901156,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,463,18,0,198,189,8,400,463,319,0,0,31,19,11
2017-2018,WINN EL,227901157,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,259,13,0,140,132,7,218,259,179,0,0,42,-9999999,5
2017-2018,SUNSET VALLEY EL,227901158,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,543,51,0,188,350,15,271,543,288,-9999999,0,52,9,29
2017-2018,GRAHAM EL,227901159,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,610,28,0,362,345,17,507,610,461,0,-9999999,54,5,24
2017-2018,LINDER EL,227901160,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,306,20,0,168,137,30,287,306,225,0,0,44,-9999999,12
2017-2018,COOK EL,227901161,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,453,24,0,317,303,13,420,453,390,0,0,47,9,35
2017-2018,HOUSTON EL,227901162,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,642,27,0,345,331,13,600,642,496,-9999999,-9999999,56,18,16
2017-2018,HART EL,227901163,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,682,25,0,540,434,103,640,682,620,0,0,66,20,38
2017-2018,PICKLE EL,227901164,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,544,5,0,436,425,10,529,544,495,0,0,36,-9999999,10
2017-2018,MCBEE EL,227901165,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,395,6,0,306,289,17,373,395,344,-9999999,0,58,14,45
2017-2018,WILLIAMS EL,227901166,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,466,27,0,121,103,17,362,466,257,-9999999,-9999999,80,-9999999,27
2017-2018,LANGFORD EL,227901168,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,540,21,0,332,307,25,505,540,436,0,0,57,8,28
2017-2018,BOONE EL,227901170,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,535,38,0,63,18,45,225,535,194,6,7,86,-9999999,39
2017-2018,PALM EL,227901171,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,449,18,0,193,170,21,386,449,292,0,5,57,16,24
2017-2018,KOCUREK EL,227901172,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,578,28,0,103,83,19,384,578,272,-9999999,-9999999,73,9,33
2017-2018,CASEY EL,227901173,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,616,42,0,134,155,26,370,616,302,-9999999,5,63,11,25
2017-2018,RODRIGUEZ EL,227901174,AUSTIN ISD,227901,ELEMENTARY,13,227,TRAVIS COUNTY,503,22,0,308,297,11,485,503,405,0,0,53,12,19
