PEIMS DATA FOR SCHOOL YEAR 2013-2014
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade  9",756
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 10",633
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 11",611
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 12",565
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Pre-kindergarten",58
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Kindergarten",74
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  1",85
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  2",74
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  3",73
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  4",67
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  5",66
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  6",13
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  7",12
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  8",32
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  9",30
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 10",24
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 11",18
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 12",8
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade  9",-9999999
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 10",10
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 11",36
"2013-2014",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"AMERICAN YOUTHWORKS SERVICE LEARNI",227801002,"Grade 12",120
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade  9",578
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 10",575
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 11",491
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 12",541
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Early Education",-9999999
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Pre-kindergarten",114
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Kindergarten",105
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  1",116
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  2",119
"2013-2014",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  3",79
