PEIMS DATA FOR SCHOOL YEAR 2015-2016
STUDENT COUNTS LESS THAN 5 BUT NOT 0 AND RELATED INFORMATION ARE MASKED WITH "-9999999" IN COMPLIANCE WITH FERPA.
"Year","Region","County Name","District Name","District Number","Campus Name","Campus Number","Grade Level Name","Enrollment by Grade Level"
"2015-2016",13,"TRAVIS COUNTY","EANES ISD",227909,"ADULT TRANSITION SERVICES",227909005,"Grade 12",26
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade  9",846
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 10",688
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 11",610
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AKINS H S",227901017,"Grade 12",569
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Early Education",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Pre-kindergarten",80
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Kindergarten",80
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  1",81
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  2",95
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  3",76
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  4",71
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALLISON EL",227901101,"Grade  5",58
"2015-2016",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"Pre-kindergarten",69
"2015-2016",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"Kindergarten",79
"2015-2016",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"Grade  1",63
"2015-2016",13,"TRAVIS COUNTY","WAYSIDE SCHOOLS",227803,"ALTAMIRA ACADEMY",227803103,"Grade  2",70
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  6",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  7",13
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  8",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade  9",28
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 10",24
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 11",15
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ALTERNATIVE LEARNING CENTER",227901012,"Grade 12",10
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade  9",570
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 10",596
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 11",539
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDERSON H S",227901009,"Grade 12",565
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Early Education",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Pre-kindergarten",79
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Kindergarten",83
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  1",98
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  2",94
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  3",81
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  4",104
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"ANDREWS EL",227901102,"Grade  5",54
"2015-2016",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade  9",-9999999
"2015-2016",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 10",-9999999
"2015-2016",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 11",-9999999
"2015-2016",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"ANNUNCIATION MATERNITY HOME",227806017,"Grade 12",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  6",159
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  7",148
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  8",129
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ACHIEVE PUBLIC SCHOOLS",227825,"AUSTIN ACHIEVE PUBLIC SCHOOLS",227825001,"Grade  9",112
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Kindergarten",76
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  1",89
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  2",70
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  3",76
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  4",70
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  5",61
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  6",55
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  7",32
"2015-2016",13,"TRAVIS COUNTY","AUSTIN DISCOVERY SCHOOL",227821,"AUSTIN DISCOVERY SCH",227821101,"Grade  8",14
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade  9",580
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 10",545
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 11",489
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN H S",227901002,"Grade 12",470
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ISD CHILD DEVELOPMENT CENTE",227901194,"Pre-kindergarten",62
"2015-2016",13,"TRAVIS COUNTY","UNIVERSITY OF TEXAS UNIVERSITY CHA",227806,"AUSTIN OAKS",227806040,"Grade  8",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  1",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  2",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  5",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  6",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  7",-9999999
"2015-2016",13,"TRAVIS COUNTY","AUSTIN ISD",227901,"AUSTIN ST HOSPITAL",227901250,"Grade  8",-9999999
